SA4_CODE_2021,C21_450_549_1PF_CU15_DS,C21_450_549_1PF_CU15_NDS,C21_450_549_1PFnoCU15_DS,C21_450_549_1PF_NDCO,C21_450_549_Tot,C21_550_649_1PF_CU15_DS,C21_550_649_1PF_CU15_NDS,C21_550_649_1PFnoCU15_DS,C21_550_649_1PF_NDCO,C21_550_649_Tot,C21_650_749_1PF_CU15_DS,C21_650_749_1PF_CU15_NDS,C21_650_749_1PFnoCU15_DS,C21_650_749_1PF_NDCO,C21_650_749_Tot,C21_750_849_1PF_CU15_DS,C21_750_849_1PF_CU15_NDS,C21_750_849_1PFnoCU15_DS,C21_750_849_1PF_NDCO,C21_750_849_Tot,C21_850_949_1PF_CU15_DS,C21_850_949_1PF_CU15_NDS,C21_850_949_1PFnoCU15_DS,C21_850_949_1PF_NDCO,C21_850_949_Tot,C21_950over_1PF_CU15_DS,C21_950over_1PF_CU15_NDS,C21_950over_1PFnoCU15_DS,C21_950over_1PF_NDCO,C21_950over_Tot,C21_Rns_1PF_CU15_DS,C21_Rns_1PF_CU15_NDS,C21_Rns_1PFnoCU15_DS,C21_Rns_1PF_NDCO,C21_Rns_Tot,C21_Tot_1PF_CU15_DS,C21_Tot_1PF_CU15_NDS,C21_Tot_1PFnoCU15_DS,C21_Tot_1_pa_f_NDCO,C21_Tot_Tot
111,201,979,215,346,1739,70,300,65,103,539,24,66,18,20,139,8,34,10,11,70,0,9,9,7,20,4,11,5,3,32,24,129,25,81,262,759,4376,949,2210,8288
112,111,471,139,247,965,65,288,64,124,540,37,127,25,49,240,24,44,16,18,106,6,21,5,10,47,4,28,8,11,49,12,84,8,54,157,537,2795,618,1442,5388
113,16,56,9,25,104,5,15,3,6,26,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,5,0,0,5,9,61,4,34,109,297,2015,252,749,3311
114,60,266,44,135,507,24,70,21,30,143,10,19,5,8,50,0,6,7,4,21,0,4,0,0,9,0,6,0,0,13,8,22,3,32,74,279,1561,284,813,2932
115,57,244,108,139,542,79,270,121,175,650,51,138,86,103,374,27,60,35,35,151,12,36,21,22,90,14,21,10,22,66,3,20,13,19,60,275,1007,456,629,2370
116,222,831,216,486,1764,145,484,122,261,1007,36,138,51,90,312,10,23,4,6,47,0,0,3,5,12,6,10,3,3,21,36,145,28,130,345,1011,4517,1030,2794,9350
117,40,235,99,173,545,23,315,113,167,616,25,257,103,124,513,34,141,78,89,349,25,91,47,42,198,22,134,90,61,299,14,40,25,70,151,268,1921,803,1429,4420
118,21,252,85,145,495,36,300,115,172,626,38,216,57,96,406,26,164,60,56,303,24,88,38,42,193,93,287,131,95,602,7,52,26,45,133,292,1713,633,963,3592
119,254,1127,407,856,2652,219,676,270,527,1701,120,338,126,226,813,43,123,59,85,312,17,37,14,33,108,7,44,25,31,111,45,170,76,164,455,1092,4574,1738,3855,11258
120,52,423,201,302,971,55,354,173,179,759,56,223,106,126,510,37,121,65,83,312,19,77,37,42,171,30,88,60,51,227,16,45,24,44,127,344,1811,893,1266,4317
121,55,545,228,280,1112,79,508,248,237,1070,80,338,163,135,709,61,204,120,90,474,33,128,85,58,305,136,292,208,101,737,12,62,39,44,158,501,2445,1251,1219,5415
122,29,243,65,118,459,33,256,99,140,532,45,217,99,97,454,42,153,66,71,324,48,109,66,70,284,72,225,125,74,493,7,21,20,21,71,298,1351,582,718,2951
123,206,815,170,392,1577,71,248,56,125,505,17,51,15,23,105,0,7,0,8,19,0,7,0,3,11,5,9,4,8,11,22,129,37,90,274,743,3728,688,1928,7084
124,204,973,216,425,1814,95,289,65,133,575,19,85,19,33,158,4,21,3,18,48,0,7,0,3,21,0,10,3,5,18,18,121,18,63,216,717,4257,863,2067,7905
125,275,989,376,744,2382,144,465,185,357,1149,68,183,92,130,468,17,64,39,46,175,5,22,7,18,52,4,21,4,12,43,23,142,44,152,365,863,3696,1404,3048,9008
126,38,278,126,159,597,55,248,138,135,573,30,120,81,72,304,28,52,24,30,131,12,30,11,20,67,17,27,28,24,98,6,26,17,29,82,212,1103,581,759,2660
127,337,1151,410,985,2882,196,558,187,421,1356,58,162,53,121,396,17,53,11,38,114,0,12,4,14,28,3,14,6,14,34,40,160,51,169,413,1235,4581,1528,4104,11443
128,56,363,122,195,745,59,257,98,154,573,44,157,58,85,345,31,69,48,44,187,16,21,19,20,73,21,33,6,18,82,6,28,11,23,74,292,1354,494,856,3009
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,25,57,14,18,106,0,3,0,0,5,0,0,0,0,6,3,0,0,0,6,0,0,0,0,0,0,6,0,0,4,9,55,17,41,116,354,2044,379,892,3672
202,18,78,10,23,130,9,14,4,11,30,4,5,0,0,8,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,10,45,3,19,75,364,1831,357,748,3295
203,111,297,115,138,661,26,81,34,26,158,8,17,6,8,34,4,13,5,4,18,0,3,0,0,10,0,5,4,4,8,8,75,24,58,164,646,3025,784,1566,6030
204,25,45,12,15,100,0,5,0,3,11,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,7,51,3,30,88,339,1766,334,782,3218
205,20,82,16,26,147,6,9,0,3,23,0,3,0,0,4,0,6,0,0,4,0,0,0,0,0,0,0,0,4,8,16,84,19,48,164,536,3036,532,1267,5376
206,63,587,269,295,1212,55,333,170,132,693,43,224,82,69,426,27,128,55,45,247,16,76,47,23,171,39,109,77,40,266,20,116,51,120,298,564,3555,1470,2164,7755
207,111,473,306,205,1097,83,240,185,118,629,45,145,97,46,338,21,54,52,38,170,16,59,35,17,126,34,60,51,23,168,14,72,44,43,163,446,1873,1152,982,4458
208,103,544,278,288,1210,102,350,151,145,745,66,175,103,70,419,36,118,64,45,260,23,58,47,16,149,49,81,58,46,237,17,86,44,65,202,523,2499,1146,1413,5569
209,135,524,209,225,1098,36,117,76,44,281,15,49,17,9,93,5,17,10,6,31,0,10,5,9,31,8,28,13,13,53,31,156,44,124,350,871,3860,1310,2421,8460
210,104,371,134,194,813,21,76,38,41,178,7,26,8,16,61,3,7,0,6,17,0,8,0,0,11,5,24,0,18,50,34,111,45,105,295,721,3021,923,2044,6710
211,221,652,260,375,1514,54,145,75,82,361,15,38,24,22,96,3,20,14,13,47,0,9,0,6,14,3,16,9,16,35,20,98,42,92,256,770,3261,1208,2216,7459
212,272,791,354,424,1838,58,232,118,126,545,35,59,56,29,180,13,37,11,17,80,4,13,8,7,22,16,32,12,21,77,41,253,82,193,568,1451,6477,2181,3840,13957
213,202,686,201,291,1376,44,166,69,66,343,18,63,22,24,129,4,45,10,14,71,3,13,6,6,25,6,33,12,20,68,75,278,84,196,639,1703,7713,2089,4028,15539
214,126,416,143,205,888,34,114,42,37,226,19,38,13,25,97,0,15,3,8,32,5,9,5,3,29,3,25,14,7,49,17,76,24,89,211,627,3026,857,1713,6226
215,5,25,0,4,40,0,4,0,0,8,0,4,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,61,8,38,104,250,1674,249,648,2816
216,8,38,6,14,62,3,5,0,3,11,0,0,0,0,4,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,13,54,7,26,99,281,1472,251,654,2664
217,10,40,9,16,77,0,0,0,6,8,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,41,3,16,67,188,1148,209,470,2013
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,143,603,196,323,1271,49,167,55,78,354,24,59,24,29,134,6,20,4,10,45,0,3,3,6,12,0,6,3,5,19,14,61,12,47,138,472,2407,648,1309,4840
302,118,449,140,223,922,44,148,39,69,299,13,37,13,14,83,4,9,8,9,31,0,7,5,0,15,5,0,0,0,7,9,63,18,48,137,442,2337,634,1326,4748
303,199,666,263,340,1474,76,259,104,132,563,30,98,31,38,194,5,30,16,20,70,3,11,5,9,29,8,9,4,4,22,20,90,32,67,208,672,3194,1065,1763,6689
304,101,318,133,116,671,44,114,78,43,273,22,43,26,17,104,10,23,9,8,52,0,11,4,5,17,13,4,13,3,30,8,21,14,12,59,346,1295,547,531,2718
305,86,506,227,217,1036,51,246,119,109,532,37,120,70,54,285,24,66,49,21,155,12,35,19,20,80,20,42,40,23,122,8,49,13,28,91,326,2065,824,955,4164
306,88,295,72,117,571,22,100,13,23,160,6,17,5,9,37,0,3,6,3,9,4,0,0,0,6,0,7,0,0,7,21,102,13,49,178,684,3763,608,1613,6675
307,0,18,0,3,27,0,5,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,7,61,6,24,98,221,1658,200,539,2618
308,32,104,21,39,205,10,28,3,3,35,0,12,0,0,14,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,15,118,19,47,194,553,3321,441,1118,5436
309,441,2090,616,1074,4221,219,748,264,456,1683,92,348,107,177,727,32,143,51,84,309,30,65,30,42,157,20,78,27,33,159,29,221,50,125,419,1357,7171,1969,3971,14464
310,70,312,87,129,596,16,52,17,28,115,4,29,0,8,45,4,4,0,8,10,0,0,0,0,4,0,6,0,0,8,49,188,26,71,329,1259,6475,1068,2609,11412
311,115,397,88,177,777,28,137,25,66,261,14,46,9,21,81,7,10,0,3,26,0,4,0,6,9,0,0,0,0,5,39,187,30,114,366,1235,6158,987,2684,11064
312,46,205,35,55,345,6,41,6,14,74,0,8,0,6,21,0,0,0,6,3,0,3,0,0,3,0,5,0,0,3,10,79,8,35,133,349,2160,296,784,3591
313,66,303,87,152,614,25,79,17,49,167,8,31,3,15,59,3,16,0,9,24,0,4,0,4,9,0,6,0,5,8,15,96,21,56,183,793,4203,753,2057,7808
314,93,413,99,150,758,23,77,24,41,161,3,20,10,10,49,3,9,3,0,12,0,0,3,3,4,0,0,0,4,6,4,59,15,39,127,544,2969,632,1137,5288
315,3,34,0,14,51,3,25,4,4,31,3,8,3,6,22,0,4,5,0,8,0,0,0,0,0,0,0,0,0,3,10,85,6,44,142,187,1711,128,600,2615
316,266,1212,338,568,2392,124,442,135,209,912,32,136,45,80,293,13,60,16,15,108,6,28,8,7,49,11,27,4,10,46,18,98,23,58,193,758,3943,1007,2129,7841
