SA4_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
297,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,27,36,6,38
299,847,576,1426,345,229,576,90,83,174,1209,1233,2442,81,96,179,32,23,50,27,26,52,19,13,29,15,11,22,7,9,20,0,0,0,1475,1495,2970,159,136,290,24,22,48,2008,1884,3889,2274,1409,3682,5124,3875,9002
301,95278,99875,195148,2647,2932,5580,712,764,1478,436,470,902,11160,11806,22965,62,71,126,81,84,163,41,48,93,45,48,96,64,52,112,0,0,0,12605,13331,25934,576,619,1198,282,225,505,16116,17113,33221,4468,4493,8955,115855,121473,237329
302,86205,91280,177481,2013,2223,4241,598,607,1210,459,477,933,12771,13821,26591,94,93,187,96,100,193,65,54,117,101,102,203,78,96,174,0,0,3,14262,15348,29612,755,757,1515,308,247,553,17339,18575,35918,4289,4072,8363,107832,113928,221762
303,141692,147254,288948,3587,3769,7362,1093,1047,2146,754,768,1524,23170,23842,47007,244,246,489,164,151,314,80,92,173,137,133,268,156,150,304,0,4,8,25798,26432,52233,1770,1897,3666,597,514,1108,31744,32615,64358,6844,6573,13421,180284,186438,366727
304,74007,77475,151483,2237,2385,4623,728,656,1380,492,538,1031,9880,10578,20456,122,115,241,113,106,222,60,57,118,104,98,203,145,112,261,0,0,0,11649,12264,23910,1012,1048,2064,184,144,331,15088,15840,30926,2616,2415,5029,91713,95728,187443
305,97681,99159,196841,5030,5513,10549,1842,1810,3652,1372,1464,2837,25642,27353,52997,276,274,553,249,282,532,114,122,240,150,144,292,201,198,400,0,9,7,29852,31651,61512,2490,2517,5007,525,491,1012,37909,40169,78076,7709,6998,14709,143293,146328,289623
306,92659,94314,186975,4487,4839,9326,875,910,1782,899,970,1869,11084,12156,23239,199,249,447,250,291,545,107,87,196,321,324,645,82,93,175,0,0,0,13820,15082,28906,775,670,1446,420,359,780,19503,20949,40455,12577,11258,23831,124743,126519,251263
307,48673,48667,97341,3334,3678,7016,568,521,1090,148,119,269,4108,4332,8439,26,33,56,52,62,108,18,24,46,50,47,101,6,8,15,0,0,0,4983,5148,10130,175,179,352,182,149,331,8675,9153,17832,6264,5762,12024,63616,63581,127195
308,84935,84594,169532,4872,5305,10176,520,525,1049,309,318,628,10471,11405,21877,94,86,177,141,147,284,58,59,113,101,129,228,36,46,75,0,0,3,11724,12711,24435,515,406,923,412,321,734,17519,18747,36265,11592,8149,19748,114052,111493,225541
