LGA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
LGA40520,149,97,77,94,97,118,114,53,33,832,1665,1170,1136,1116,1334,1497,1463,748,358,10484
LGA40700,294,240,192,230,264,212,202,186,80,1898,7751,5723,4192,5638,6223,5725,5543,3628,1609,46030
LGA40910,445,362,364,340,388,351,220,270,208,2944,8904,6461,7522,7439,6988,6305,5151,4101,1929,54800
LGA41010,105,45,43,44,59,50,30,17,5,408,710,355,470,378,472,471,406,192,53,3505
LGA41060,1169,936,1095,988,1065,978,656,393,188,7462,18451,13890,18414,15820,15751,15528,12512,7749,3732,121840
LGA41140,116,79,75,64,99,128,97,62,26,745,1529,839,888,947,1189,1444,1354,741,260,9187
LGA41190,18,7,20,11,25,26,19,19,10,154,345,136,188,172,211,285,222,127,58,1742
LGA41330,32,25,38,30,50,46,54,42,13,329,188,122,216,168,194,232,246,171,29,1566
LGA41560,206,103,112,128,145,218,211,147,80,1340,2127,1214,1264,1353,1708,2468,2787,1599,527,15050
LGA41750,18,10,15,11,8,14,15,5,0,94,207,75,112,118,109,192,127,56,20,1014
LGA41830,23,18,26,22,20,30,31,20,4,183,233,129,165,144,191,276,308,149,52,1646
LGA41960,26,11,15,23,30,23,32,13,0,169,204,85,122,123,166,212,243,103,35,1293
LGA42030,351,223,201,206,184,220,135,101,57,1686,4375,2917,3129,2845,3010,3368,2667,1852,831,24988
LGA42110,83,43,32,50,44,57,60,39,7,409,640,359,347,374,494,745,664,334,107,4060
LGA42250,149,127,206,299,243,229,146,80,49,1527,1463,909,780,1131,1318,1373,1093,438,133,8636
LGA42600,243,199,218,247,284,326,320,196,86,2112,4935,3896,3979,4400,4769,5466,5444,3105,1548,37543
LGA42750,76,43,53,42,61,110,76,46,27,531,776,361,480,488,603,851,804,403,119,4894
LGA43080,14,12,10,10,13,24,11,10,0,103,159,90,95,90,134,177,151,75,41,1007
LGA43220,18,11,7,16,12,4,9,9,5,91,223,75,111,135,113,152,116,82,39,1037
LGA43360,15,19,7,14,25,34,38,24,8,183,329,200,202,225,251,369,444,236,86,2326
LGA43650,218,130,103,125,179,155,99,44,17,1082,3181,2074,1584,1907,2297,2292,1550,697,211,15792
LGA43710,89,47,71,108,135,105,79,29,7,666,1181,491,542,772,872,913,735,315,83,5910
LGA43790,185,109,110,98,124,121,158,95,36,1042,2014,1095,1177,1157,1481,1625,1739,992,392,11666
LGA44000,13,5,6,4,9,7,3,0,0,49,17,9,12,14,20,11,7,4,0,96
LGA44060,837,646,707,672,674,655,443,255,158,5052,15281,11172,14278,13378,11337,11310,9935,5294,2729,94721
LGA44210,129,86,117,160,159,189,187,77,24,1119,1179,708,734,825,1228,1736,1748,799,214,9164
LGA44340,520,388,369,382,466,411,350,270,179,3340,11650,8387,7125,8664,9313,8335,7283,4648,2220,67617
LGA44550,529,285,308,339,320,302,262,120,57,2520,7652,4623,4916,5055,5297,4737,4156,2042,740,39217
LGA44620,427,271,251,242,278,234,229,176,121,2221,4898,3152,3399,3035,3287,3384,3058,1874,802,26878
LGA44830,43,25,13,26,35,55,55,35,5,297,392,209,202,235,347,615,511,271,83,2862
LGA45040,372,261,368,351,317,249,175,125,56,2275,3665,2419,2642,2388,2707,2969,2566,1664,615,21644
LGA45090,150,70,88,92,84,98,91,63,25,770,1630,878,1041,1142,1070,1139,978,587,220,8686
LGA45120,73,36,27,37,43,44,37,37,7,347,816,401,389,473,534,747,681,379,130,4559
LGA45290,254,248,287,258,304,269,193,140,101,2049,5345,4486,5758,4924,4568,4528,3885,2611,1377,37487
LGA45340,2282,1442,1375,1487,1477,1400,1042,633,286,11422,31053,20093,21451,22544,22741,22395,20330,10711,3887,175204
LGA45400,8,7,5,12,8,21,12,9,14,86,142,67,78,77,94,155,149,68,49,874
LGA45540,33,28,27,37,35,45,30,21,11,257,206,131,122,156,209,312,300,157,49,1638
LGA45680,2124,1207,1377,1068,938,769,528,315,217,8540,22682,13121,15770,12715,11319,10878,7214,3912,1574,99190
LGA45890,1496,1145,1559,1484,1256,998,645,402,176,9154,22305,15465,22399,19793,16214,15389,11653,6188,2988,132400
LGA46090,332,236,435,342,241,207,121,66,27,2015,2550,1530,2096,1653,1682,1870,1406,799,250,13829
LGA46300,259,173,164,153,171,164,132,94,59,1370,2599,1642,1806,1626,1783,1907,1656,959,432,14404
LGA46450,336,187,175,163,193,155,116,97,34,1448,3047,2012,1904,1743,2198,2380,2093,1371,521,17282
LGA46510,160,159,202,163,164,150,100,55,38,1185,3857,2757,3572,3265,2763,2748,1953,883,474,22272
LGA46670,134,114,111,81,110,89,101,58,25,808,1593,1085,1226,1063,1232,1343,1287,682,275,9783
LGA46860,6,8,10,8,14,27,14,14,0,113,215,125,142,145,192,291,270,141,30,1542
LGA46970,107,73,114,83,79,44,4,5,0,506,1024,437,856,746,510,346,53,14,3,3976
LGA47140,2157,1340,1339,1408,1245,985,708,422,209,9812,28366,18929,21328,20462,17641,16489,12831,7146,2607,145806
LGA47290,38,22,13,33,31,23,21,12,9,197,332,185,236,234,241,288,254,146,69,1979
LGA47490,40,16,25,22,25,31,31,16,14,219,418,140,224,231,281,334,354,134,59,2165
LGA47630,102,82,96,78,112,96,56,38,10,679,1245,756,861,824,944,921,745,431,172,6891
LGA47700,964,665,583,663,771,663,544,373,280,5510,17467,11744,12098,13462,13156,12550,11374,6842,2482,101174
LGA47800,111,81,79,63,88,85,74,53,24,664,881,507,596,554,640,915,744,486,142,5463
LGA47910,42,5,20,24,21,39,48,29,11,228,475,185,236,277,324,449,461,289,117,2817
LGA47980,252,207,195,229,247,229,220,144,117,1838,5993,4480,4792,5040,5084,4688,4401,2599,1572,38641
LGA48050,152,76,61,81,97,139,196,121,60,982,1991,1136,998,1290,1572,2337,3537,2363,909,16139
LGA48130,85,59,48,53,61,81,62,37,13,496,1281,720,666,714,869,1014,874,453,184,6780
LGA48260,47,43,54,54,69,66,45,35,20,423,1193,978,886,946,1056,993,980,647,339,8023
LGA48340,159,115,92,103,178,165,142,93,33,1084,1924,1209,1032,1242,1625,1901,1778,874,305,11888
LGA48410,464,428,548,463,415,390,232,222,129,3288,8956,7731,11172,8656,7332,6793,5118,3626,2317,61699
LGA48540,410,224,258,225,260,260,136,107,52,1934,3795,2441,2714,2359,2943,2981,2132,1433,451,21244
LGA48640,32,20,11,15,20,23,13,8,14,148,240,99,116,128,146,170,124,61,48,1136
LGA48750,52,24,28,49,61,69,72,40,12,404,798,427,375,490,693,1080,1227,575,174,5834
LGA48830,173,82,91,90,125,171,211,119,47,1104,1558,771,838,947,1221,2112,2412,1306,427,11598
LGA49399,53,63,101,59,82,85,44,7,6,497,429,368,433,345,499,518,306,88,25,3006
LGA49499,84,79,166,178,144,138,77,11,0,882,409,394,627,534,478,513,359,64,11,3377
LGA49799,0,0,0,0,5,0,0,0,0,5,0,0,0,3,5,0,0,0,0,12
LGA50080,560,384,504,470,479,483,396,219,114,3603,6798,4134,4150,4231,4976,5440,4990,2890,1164,38763
LGA50210,1747,960,1171,1161,959,729,404,231,102,7467,22087,10747,14140,15526,11039,9336,7019,3289,1006,94184
LGA50250,268,155,327,319,224,166,39,11,0,1520,1727,637,1511,1494,1021,744,200,54,10,7391
LGA50280,400,140,196,300,315,208,167,41,33,1789,3423,1275,1734,2673,2511,2214,1925,746,286,16791
LGA50350,225,142,202,192,195,151,114,71,30,1328,2799,1601,2231,2389,2165,1971,1574,839,360,15932
LGA50420,673,547,809,761,636,537,368,275,183,4788,11024,7332,11640,10678,8739,7799,6607,3832,1634,69283
LGA50490,578,455,780,632,492,407,254,169,136,3903,6725,4879,8528,6610,5019,4498,3282,1827,902,42257
LGA50560,23,25,13,22,37,34,37,19,10,229,204,117,124,161,220,292,349,165,58,1694
LGA50630,32,12,24,18,28,32,21,7,0,180,375,126,183,208,242,266,197,86,20,1705
LGA50770,61,14,21,29,37,40,25,21,5,249,361,145,129,220,243,295,245,158,35,1834
LGA50840,80,46,31,55,81,86,74,33,13,504,867,413,381,537,699,896,922,426,104,5238
LGA50910,33,18,4,19,16,17,9,3,0,120,161,68,67,102,137,134,133,90,41,929
LGA50980,637,326,481,425,456,308,140,52,17,2843,3994,1869,2890,2707,2353,1828,953,289,75,16959
LGA51080,41,10,13,13,19,21,13,7,0,145,228,95,114,125,129,179,104,52,13,1046
LGA51120,25,23,16,15,29,35,29,22,6,192,181,87,88,111,123,143,155,72,26,979
LGA51190,542,400,607,525,482,396,296,174,99,3518,5449,3544,4214,4053,4290,4440,3875,2158,968,32987
LGA51260,652,321,399,482,492,431,389,247,82,3488,7621,3663,3812,5162,5504,5355,5509,2960,1045,40640
LGA51310,246,161,194,174,229,201,169,85,55,1519,5652,3456,2837,3743,4391,3602,2616,1608,969,28876
