LGA_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
LGA61410,3837,6856,4021,3962,4097,2370,1092,2296,468,28997
LGA61510,450,491,799,735,549,394,467,641,95,4622
LGA61610,1121,1603,1702,1709,1167,1152,830,1701,207,11207
LGA61810,586,273,391,288,245,199,296,539,50,2874
LGA62010,126,57,54,47,38,28,24,60,12,453
LGA62210,247,293,406,330,221,213,309,390,65,2489
LGA62410,393,232,277,242,189,123,113,409,38,2015
LGA62610,2094,3688,3509,3937,3101,2289,1572,2976,506,23678
LGA62810,4127,10560,2545,3687,3077,2039,589,1749,415,28780
LGA63010,1122,1452,1214,890,834,494,449,1026,181,7657
LGA63210,402,336,509,332,279,185,290,417,62,2815
LGA63410,206,77,110,61,80,46,45,187,20,838
LGA63610,2709,5415,2558,2343,2468,1510,617,1465,347,19444
LGA63810,757,781,884,747,550,530,453,681,99,5479
LGA64010,3620,6686,4195,4689,3555,3115,2288,3755,566,32465
LGA64210,1468,1464,1354,1166,1185,850,797,1199,168,9654
LGA64610,984,797,986,722,683,568,569,883,121,6313
LGA64810,975,1203,1338,1050,1135,695,443,835,171,7839
LGA65010,449,280,492,372,343,250,311,415,88,2994
LGA65210,165,146,142,123,83,43,62,151,25,939
LGA65410,695,908,914,805,607,525,564,710,122,5836
LGA65610,166,156,256,214,128,108,249,276,36,1588
LGA65810,1461,2458,1700,1501,1346,1044,732,1054,197,11506
LGA69499,24,50,48,39,27,21,37,50,11,309
LGA69799,0,0,0,0,0,0,0,5,0,12
LGA70200,1682,3486,1736,2412,1739,847,489,971,358,13726
LGA70420,274,357,191,369,187,81,76,321,48,1904
LGA70540,0,5,3,5,5,0,0,0,3,17
LGA70620,120,152,41,163,55,27,59,109,12,744
LGA70700,75,71,47,42,38,23,47,70,21,435
LGA71000,5911,11580,5445,6361,5797,3005,1892,3339,795,44133
LGA71150,58,72,12,25,22,6,0,4,0,209
LGA71300,147,404,133,327,100,104,76,121,94,1498
LGA72200,593,820,751,794,562,237,241,388,108,4486
LGA72300,1571,1454,2122,1359,1624,630,852,911,256,10776
LGA72330,148,265,73,331,82,44,28,167,21,1155
LGA72800,2111,3012,3179,3161,3093,1545,1249,1523,393,19262
LGA73600,197,305,104,253,108,50,90,217,55,1367
LGA74050,61,120,37,108,41,24,12,47,16,462
LGA74550,120,145,76,136,53,25,42,217,19,836
LGA74560,30,43,30,25,33,14,11,9,3,186
LGA74660,184,414,174,269,129,47,54,140,49,1463
LGA74680,48,124,37,99,29,27,21,56,39,470
LGA79399,468,625,529,485,368,172,275,339,65,3334
LGA79499,54,107,49,62,46,19,31,107,22,500
LGA79799,0,18,9,5,0,0,4,26,0,56
LGA89399,44363,78121,23848,27111,36128,15185,6002,12362,5261,248388
LGA89499,28,51,25,30,27,21,5,19,0,216
LGA89799,0,0,0,0,0,0,0,0,0,0
LGA99399,212,165,209,171,169,116,45,122,20,1231
LGA99499,0,4,0,0,0,0,0,0,0,3
LGA99799,0,0,0,0,0,0,0,0,0,0
