LGA_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
LGA15990,940,4753,1188,961,179,10348,2354,833,5728,2272,2053,376,13622,204,69,781,337,349,46,1785,231,87,873,659,1711,103,3670,670,98,1922,778,865,429,4757,15674,4477,43702,16908,22525,3062,106351
LGA16100,11,67,14,28,4,144,23,12,56,24,60,10,181,0,0,9,8,17,0,31,0,3,0,8,37,0,46,3,0,12,6,48,21,86,82,43,309,183,823,99,1538
LGA16150,150,794,214,294,37,1734,494,192,1259,584,968,77,3573,3,3,30,20,34,0,91,22,9,81,91,424,16,639,10,7,52,32,179,71,355,1306,556,3991,2165,5944,403,14360
LGA16200,33,241,47,97,8,471,49,36,162,111,240,19,619,0,0,5,7,10,0,22,0,0,15,19,141,3,184,0,0,10,10,76,23,114,182,112,829,552,2069,164,3903
LGA16260,642,3762,738,653,113,8812,3607,824,6992,2023,1752,381,15581,154,24,389,199,194,31,991,401,81,798,450,945,74,2749,1184,103,1797,558,603,560,4811,24915,3616,42922,12675,13613,2880,100609
LGA16350,438,2586,957,1264,95,6991,1142,560,3750,2069,3138,352,11003,31,20,185,144,293,11,682,87,26,289,367,1928,55,2761,175,29,477,374,1307,337,2702,5828,1811,16176,11210,28749,2218,65995
LGA16380,276,1415,432,611,52,3206,601,283,2011,1038,2088,181,6203,16,4,60,41,113,8,240,34,19,99,175,818,22,1168,25,5,83,87,348,128,678,1643,893,5958,4070,11472,847,24885
LGA16400,166,819,288,442,29,2019,246,163,951,764,1444,120,3684,12,6,47,40,117,11,236,21,13,85,143,746,31,1038,18,8,86,96,388,106,705,1096,599,3882,3621,10720,717,20626
LGA16490,216,914,252,321,29,2171,435,212,1013,474,567,67,2780,41,25,129,44,82,11,328,52,15,121,121,556,17,882,78,17,152,103,297,105,754,3670,1306,6792,4182,8003,674,24624
LGA16550,455,2532,495,394,94,6584,2007,457,4008,970,738,201,8386,202,33,560,159,206,35,1194,192,42,548,218,615,48,1662,401,36,1000,309,360,243,2347,11954,2239,24913,6817,8637,1574,56136
LGA16610,51,291,96,178,12,682,57,41,253,187,549,54,1137,0,3,8,0,30,4,59,5,4,11,29,195,3,246,6,4,20,16,125,36,198,184,147,985,732,3192,276,5505
LGA16700,338,2156,430,374,71,5144,1694,438,3479,888,786,184,7473,108,23,306,95,127,21,678,241,39,436,233,549,45,1544,589,45,938,261,298,251,2380,13149,1985,23819,6537,7100,1395,53991
LGA16900,235,983,400,493,35,2506,368,235,1266,1019,1918,138,4940,11,3,47,48,86,12,197,29,9,73,128,780,19,1037,19,8,101,89,378,114,696,1226,697,4660,4209,11909,716,23412
LGA16950,370,1229,385,610,52,3136,543,297,1680,1045,1956,180,5708,36,18,107,47,178,7,387,38,9,114,200,886,32,1274,45,13,144,124,505,143,969,1990,1107,6281,4707,14358,1066,29506
