LGA_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
LGA21370,4,8,0,410,66,10,10,58,6,21,5,11,5,21,144,368,9,0,6,4,0,0,3,0,0,5,14,43,862,173,60,1340,164,457,66,163,66,243,170,3775
LGA21450,6,35,3,2154,170,32,16,193,29,86,9,37,16,48,362,996,19,0,11,21,3,9,0,5,0,14,68,154,3582,748,172,5235,860,2956,249,717,219,854,486,16071
LGA21610,35,148,9,6851,433,74,61,390,74,295,44,145,85,250,1418,3278,30,14,46,45,18,23,4,10,32,28,226,468,12475,2537,488,14595,2212,10805,670,3494,852,4627,1800,54550
LGA21670,0,5,0,60,8,6,0,14,0,8,0,9,0,16,42,102,0,0,0,0,0,0,0,0,0,0,8,15,170,69,10,296,41,142,20,75,23,137,59,1050
LGA21750,0,3,0,223,34,4,5,23,4,11,0,6,5,8,75,189,3,0,3,3,0,0,0,0,0,6,6,22,451,137,25,813,94,230,44,99,26,135,89,2151
LGA21830,4,0,0,178,35,4,6,37,3,8,4,9,3,6,60,171,4,0,3,3,5,4,0,0,0,0,10,28,385,78,36,544,68,194,22,59,29,84,67,1574
LGA21890,20,79,7,5037,92,31,17,108,23,59,13,30,26,110,314,816,12,3,8,16,6,0,0,0,4,19,37,112,3539,1000,142,4985,816,2392,268,920,204,1587,396,16246
LGA22110,4,11,0,359,54,13,3,64,10,46,4,14,4,44,155,410,7,3,0,5,0,7,0,5,0,3,7,44,743,272,65,1367,171,494,102,257,51,401,179,4111
LGA22170,17,31,0,2754,191,19,16,175,21,94,19,44,18,78,395,1067,22,5,12,21,10,8,5,0,7,11,43,149,3562,763,189,5610,965,2493,289,685,181,1034,473,16241
LGA22250,0,0,0,83,22,6,0,16,0,3,0,0,0,8,30,85,0,0,0,3,0,0,0,0,0,0,12,19,218,53,15,325,33,134,9,37,10,73,44,947
LGA22310,28,82,14,8354,188,34,10,209,33,91,18,48,17,53,368,1069,22,6,10,27,3,12,6,3,11,15,37,160,5338,989,152,6147,860,2833,246,829,172,1041,454,19064
LGA22410,4,6,0,192,23,3,0,41,0,15,6,5,4,17,73,191,0,0,4,0,0,0,0,4,0,0,6,18,350,99,27,640,74,249,45,78,36,159,89,1852
LGA22490,0,5,3,531,52,12,4,66,4,22,4,10,3,17,117,305,7,0,5,3,0,0,0,0,0,11,13,36,760,159,41,1321,193,507,67,125,35,201,138,3541
LGA22620,6,17,4,1812,127,29,13,151,13,67,11,29,16,56,405,921,13,0,11,12,0,5,6,3,3,16,31,105,2716,693,152,4484,653,1772,221,603,183,886,470,12826
LGA22670,12,92,5,1685,108,27,29,63,18,104,7,54,31,143,520,1105,10,4,11,4,4,6,0,3,3,28,109,189,3776,964,147,3474,525,4136,186,1646,323,3218,733,19135
LGA22750,28,70,8,5910,300,65,23,326,47,169,30,58,34,155,754,1962,17,8,24,30,11,11,5,0,16,29,72,213,5991,1565,316,10694,1586,4291,522,1420,355,2099,883,29719
LGA22830,0,17,0,885,106,16,13,101,16,32,4,20,7,53,186,553,10,0,7,11,0,3,0,0,0,15,34,87,1663,339,82,2324,302,942,106,373,96,769,258,7258
LGA22910,0,4,0,184,9,0,0,17,4,20,3,5,4,13,51,126,0,0,4,0,0,0,0,3,0,0,0,15,246,126,17,441,64,206,32,103,28,104,57,1434
LGA22980,0,0,0,59,6,0,0,13,0,4,0,0,0,4,14,45,0,0,0,0,0,0,0,0,0,0,3,4,92,15,4,195,31,96,0,23,0,59,15,525
LGA23110,24,44,5,3860,89,16,12,84,15,45,7,34,15,52,271,635,3,0,10,10,0,3,0,0,0,11,36,76,2946,499,109,3383,585,1838,145,613,177,991,323,11623
LGA23190,0,8,3,249,32,12,4,41,3,14,3,9,0,10,59,189,0,0,0,3,0,0,0,0,0,0,4,13,500,109,18,843,110,243,34,92,16,109,69,2139
LGA23270,22,176,7,3892,189,50,31,204,45,154,35,88,69,312,849,2034,24,5,20,26,12,20,6,5,23,69,231,434,5922,1411,284,7656,1262,6904,443,3114,752,6171,1218,35130
LGA23350,3,0,0,271,37,3,7,39,5,20,4,6,0,6,82,213,3,0,0,3,0,0,0,0,0,0,6,20,505,109,20,649,116,204,27,66,23,84,86,1886
LGA23430,25,78,4,6055,200,36,22,187,26,91,22,35,10,68,404,1091,19,5,16,18,9,6,4,0,5,5,57,139,5298,939,184,6835,1054,2945,287,899,214,1488,487,20643
LGA23670,22,84,0,4602,178,44,25,211,30,117,18,55,20,114,438,1246,15,0,16,16,9,7,4,3,0,18,37,126,5367,1088,207,7054,895,3596,297,1125,251,1628,513,22010
LGA23810,15,11,5,1145,82,10,12,97,16,44,14,16,17,53,294,671,7,0,6,9,3,4,3,3,5,10,32,76,1396,315,76,2458,398,1055,134,437,138,713,353,7471
LGA23940,0,0,3,44,15,3,3,10,0,3,3,3,0,8,14,79,0,0,0,5,4,0,0,0,0,6,7,14,129,33,16,236,36,85,8,28,9,73,29,671
LGA24130,13,14,7,1865,90,14,7,107,13,44,9,20,12,35,196,543,0,0,10,12,0,0,0,0,9,0,11,50,1591,371,82,2403,367,940,128,262,85,317,218,6774
LGA24210,28,165,9,5482,132,38,26,154,18,124,9,53,19,97,502,1153,16,3,14,25,5,10,0,0,3,8,51,135,4014,1035,156,4768,512,2962,233,1141,217,1867,583,17484
LGA24250,0,0,0,96,20,4,3,24,4,3,3,9,0,8,43,124,4,0,3,0,4,0,0,0,0,0,0,11,193,58,11,325,32,92,29,47,9,49,47,896
LGA24330,12,33,6,2894,52,14,7,40,11,33,12,8,8,43,192,423,3,0,0,0,0,0,0,0,0,10,33,56,2265,497,98,2504,494,1369,117,503,124,817,247,9039
LGA24410,12,40,9,3728,137,17,19,163,29,67,6,29,15,47,302,824,8,0,11,16,7,7,0,0,5,5,44,107,3438,728,143,5401,765,2425,191,628,151,916,378,15161
LGA24600,14,33,3,2326,47,13,11,29,10,22,5,5,7,13,236,393,0,0,3,7,4,0,0,0,0,6,6,24,1683,348,83,1407,349,1375,87,370,108,541,266,6608
