LGA_CODE_2021,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
LGA17620,13,0,0,0,13,0,0,13,666,58,14,4,739,0,0,0,743,24,0,771,767,86,23,15,897,11,3,9,907,38,0,940,75,5,9,0,89,0,0,0,89,0,0,89,6,0,0,15,24,0,0,0,24,0,0,24,1516,150,45,36,1751,10,3,13,1761,68,0,1829,4,0,4,0,12,8,0,8,24,0,0,24,18,0,0,0,18,0,0,0,18,0,0,20,25,0,4,0,30,8,0,8,41,0,0,45,1542,150,49,36,1778,18,3,24,1805,67,0,1869,303,37,14,17,375,10,8,19,396,61,0,458,7,0,0,9,13,0,0,0,13,0,3,17,1852,186,62,58,2168,34,6,46,2208,130,8,2343
LGA17640,14,0,0,0,14,0,0,14,320,59,12,0,388,0,0,0,388,23,0,410,428,68,12,7,512,0,0,3,515,22,0,541,56,0,3,0,64,0,0,0,64,8,0,70,6,0,0,10,16,0,0,0,16,0,0,16,808,132,20,16,982,0,0,3,983,54,0,1032,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,8,0,0,0,8,0,0,12,5,4,0,0,8,0,0,0,8,0,0,12,810,137,20,16,987,0,0,3,988,53,0,1043,138,34,0,7,178,3,0,9,190,42,0,227,0,0,0,0,0,0,0,0,0,0,3,6,954,168,23,25,1168,3,3,9,1175,93,3,1274
LGA17650,6,0,0,0,6,0,0,6,297,32,3,0,335,0,0,0,335,0,3,338,295,46,0,4,347,9,0,9,355,7,0,360,26,0,9,0,44,0,0,0,44,0,0,42,6,0,0,0,3,0,0,0,3,0,0,3,619,80,24,4,724,9,0,9,731,9,3,745,3,0,0,0,3,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,5,13,0,0,15,627,83,24,4,730,11,0,6,743,12,3,761,71,31,0,0,105,0,0,5,107,46,0,151,0,0,0,0,0,0,0,0,0,0,0,0,695,111,22,4,840,10,4,15,848,59,3,911
LGA17750,120,3,0,3,121,27,0,148,3589,402,34,15,4044,34,12,41,4084,143,0,4228,3800,376,60,27,4259,25,11,37,4298,99,0,4400,493,43,81,4,617,4,0,4,625,11,0,639,46,0,0,39,81,0,0,0,81,6,9,99,7917,822,174,91,9007,56,20,80,9089,262,7,9362,46,11,0,0,54,9,0,9,65,7,0,69,49,16,0,0,72,9,7,16,87,12,0,104,96,23,0,0,121,20,7,28,147,22,0,171,8013,847,174,92,9132,81,33,110,9238,281,7,9533,1290,237,48,53,1632,66,23,85,1715,455,7,2171,10,3,7,8,22,0,0,0,22,4,31,56,9314,1093,226,151,10789,147,50,196,10984,736,44,11761
LGA17850,0,0,0,0,0,0,0,0,130,3,0,0,133,0,0,0,133,0,0,131,160,14,0,8,180,0,3,3,187,0,0,187,12,0,0,0,12,0,0,0,12,0,0,12,7,0,0,0,7,0,0,0,7,0,0,7,309,21,0,8,332,0,3,3,342,0,0,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,21,0,8,332,0,3,3,342,0,0,338,60,4,4,0,71,0,0,0,66,13,0,82,0,0,0,0,0,0,0,0,0,0,0,7,367,21,5,8,404,0,3,6,405,13,0,422
LGA17900,4,0,0,0,4,0,0,4,129,11,0,0,142,0,0,0,142,11,0,157,116,23,0,0,145,0,0,0,145,19,0,163,17,0,0,0,17,0,0,0,17,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,260,38,0,0,301,0,0,0,302,36,0,338,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,8,8,7,0,0,7,0,0,0,0,8,0,8,8,9,0,0,9,261,38,7,0,304,4,8,9,309,36,0,351,43,13,8,11,77,0,0,0,72,40,0,115,0,0,0,0,0,0,0,0,0,0,0,0,307,52,13,15,380,4,8,8,388,72,3,464
LGA17950,0,0,0,0,0,0,0,3,146,4,0,0,151,0,0,0,151,3,0,152,130,10,5,0,146,0,0,0,146,4,3,152,15,0,0,0,19,0,0,0,19,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,296,9,9,0,310,0,0,0,310,10,3,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,6,296,9,9,0,310,0,0,6,311,10,3,320,44,4,0,4,49,0,0,0,49,17,0,67,0,0,0,0,0,0,0,0,0,0,0,0,338,14,9,4,362,0,0,6,366,27,3,395
LGA18020,5,0,0,0,5,0,0,7,293,39,0,7,345,0,0,4,347,7,0,352,358,43,10,0,414,11,0,9,429,19,0,447,31,10,5,0,48,0,0,0,48,0,0,46,17,0,0,3,22,0,0,0,22,0,0,22,698,97,18,13,825,12,3,12,840,31,0,872,3,0,5,0,10,4,0,4,9,0,0,9,21,3,0,0,22,7,0,7,31,9,0,34,24,4,5,0,24,9,0,9,36,7,0,40,724,98,20,15,854,16,3,20,876,39,0,916,110,30,14,9,163,9,0,9,178,88,0,261,0,0,0,0,0,0,0,0,0,0,3,3,834,130,33,22,1019,28,3,31,1049,127,8,1184
LGA18050,365,4,0,8,372,41,0,407,3203,384,77,8,3680,47,9,55,3731,221,7,3959,3147,519,36,12,3722,45,4,50,3774,121,7,3902,579,115,114,0,806,8,0,4,816,28,3,848,44,6,0,50,98,0,0,0,98,4,14,112,6971,1023,232,78,8307,96,15,112,8419,379,23,8821,50,9,0,0,67,7,0,7,70,3,0,76,109,11,0,0,115,6,0,6,118,0,0,123,159,23,0,0,179,11,0,11,188,4,0,196,7135,1045,232,78,8488,107,15,123,8609,384,23,9019,1561,242,44,38,1891,41,6,43,1934,246,3,2184,14,4,0,15,30,0,0,0,30,0,30,62,8706,1297,274,130,10405,153,13,167,10570,632,60,11263
LGA18100,4,0,0,0,4,0,0,4,136,3,0,0,135,0,0,0,135,6,0,143,214,23,3,0,238,0,0,0,238,6,0,239,7,6,6,0,21,0,0,0,21,0,0,21,0,0,0,3,6,0,0,0,6,0,0,6,359,27,11,6,395,0,0,0,395,12,0,406,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,360,25,11,6,395,0,0,0,395,12,0,412,45,4,0,5,54,0,0,0,54,20,0,71,3,0,0,0,3,0,0,0,3,0,0,3,407,28,11,7,458,0,0,0,458,30,0,489
LGA18200,7,0,0,0,7,0,0,7,320,16,10,3,347,0,0,0,347,22,0,376,404,54,13,8,479,3,0,3,485,11,0,495,49,0,4,0,53,0,0,0,53,0,0,55,3,0,0,5,15,0,0,0,15,0,0,15,780,74,29,17,897,3,0,3,900,34,0,937,0,0,0,0,8,0,0,0,10,0,0,10,6,0,0,0,6,0,0,0,9,0,0,9,13,0,0,0,15,0,0,0,15,0,0,15,794,71,29,17,912,0,0,0,915,34,0,950,112,19,0,7,138,11,4,11,149,35,5,188,0,0,0,0,0,0,0,0,0,0,5,5,899,92,33,27,1051,12,4,17,1060,68,8,1142
LGA18250,504,7,6,20,522,102,0,627,4917,521,123,22,5584,122,22,141,5723,368,9,6103,3658,792,66,6,4518,75,3,77,4594,168,0,4762,673,111,121,4,909,14,0,12,921,39,0,959,44,4,8,34,81,0,0,0,81,7,6,94,9288,1425,319,63,11092,207,30,232,11329,581,15,11926,180,8,7,0,197,19,5,24,216,5,0,225,172,16,0,0,191,8,3,12,200,11,0,217,346,27,4,0,383,24,13,33,419,21,0,444,9636,1450,320,66,11479,230,34,267,11747,604,15,12368,2381,383,84,33,2889,60,16,71,2953,445,3,3407,23,0,6,21,49,0,0,0,52,0,39,94,12041,1833,412,125,14412,284,49,338,14750,1050,62,15861
LGA18350,109,0,0,0,109,13,0,127,2023,304,70,9,2409,17,9,28,2436,94,0,2533,2774,546,95,22,3436,17,8,24,3464,117,0,3578,321,62,48,3,439,7,0,7,441,13,3,459,37,0,0,38,79,0,0,0,79,8,7,89,5152,913,213,76,6354,39,16,57,6414,232,9,6659,11,3,0,0,16,5,0,5,26,3,0,23,70,17,4,5,96,8,0,8,99,4,0,109,82,21,4,4,112,14,0,14,124,8,0,137,5233,936,219,82,6468,55,16,69,6539,243,9,6785,1022,183,52,47,1303,32,3,31,1334,190,7,1534,11,0,0,0,19,0,0,0,19,0,26,40,6264,1121,265,135,7783,86,21,104,7886,436,41,8363
LGA18400,178,3,0,3,185,17,0,197,2744,380,187,30,3350,39,3,43,3391,170,5,3566,3196,693,202,15,4102,29,3,36,4138,120,0,4262,703,181,199,15,1103,12,0,12,1111,36,0,1147,52,5,5,64,122,0,0,0,122,0,9,129,6696,1262,591,126,8675,74,7,86,8763,328,12,9103,22,6,3,0,31,11,3,13,43,0,0,44,69,15,13,5,107,0,0,0,107,3,0,113,96,23,12,5,142,11,4,12,154,4,0,162,6791,1287,605,129,8817,85,13,100,8914,333,18,9266,1281,303,175,40,1790,20,3,25,1815,335,4,2154,11,4,6,17,39,0,0,0,39,0,33,73,8079,1594,788,184,10644,108,15,121,10768,666,48,11486
LGA18450,818,19,9,20,837,126,0,968,7696,1249,453,54,9458,120,41,163,9620,531,7,10157,10590,2010,553,56,13209,100,24,126,13335,578,22,13932,2424,439,477,24,3361,26,3,31,3392,86,7,3483,93,21,0,103,210,3,0,4,213,17,34,264,20794,3723,1487,240,26243,249,71,324,26558,1212,60,27836,123,12,6,3,147,34,0,34,173,17,0,199,311,76,12,6,400,22,15,36,435,17,0,454,435,85,23,10,545,50,15,68,610,38,4,657,21226,3806,1502,248,26787,300,85,388,27170,1251,69,28488,4140,1075,374,106,5702,152,77,227,5929,1464,7,7399,21,11,5,36,72,4,0,4,76,6,81,170,25387,4897,1882,387,32559,458,162,623,33178,2722,158,36057
LGA18500,310,10,0,10,315,53,4,364,2213,240,28,24,2504,41,7,47,2552,152,0,2704,1947,426,36,5,2414,18,3,25,2435,111,0,2552,368,76,52,8,495,5,0,5,503,15,0,519,38,0,3,34,79,0,0,0,79,5,4,93,4565,739,123,72,5500,61,6,72,5568,286,11,5866,39,14,0,0,58,10,0,10,68,0,0,68,76,12,0,0,89,0,0,0,91,0,0,94,115,23,3,0,148,17,0,12,165,0,0,162,4682,766,128,74,5644,73,10,82,5727,287,11,6029,1690,280,31,59,2051,28,6,33,2088,231,0,2314,21,4,0,14,41,0,0,0,41,0,16,52,6387,1047,153,146,7737,102,11,116,7854,518,26,8397
LGA18710,50,0,0,0,50,6,0,52,1252,134,9,0,1400,11,0,11,1404,46,7,1458,1110,123,13,9,1254,3,0,3,1257,31,0,1293,139,5,23,3,169,7,0,7,175,8,0,182,5,0,0,14,22,0,0,0,22,0,4,31,2504,266,50,22,2842,16,0,16,2858,86,11,2954,8,0,0,0,8,0,0,0,8,3,0,11,27,0,0,0,27,9,0,9,32,0,0,32,30,0,0,0,30,9,0,9,37,3,0,36,2541,266,50,22,2873,27,0,27,2900,89,11,2997,309,58,24,5,397,0,0,0,399,34,0,435,0,0,0,0,5,0,0,0,5,0,0,0,2846,316,73,29,3273,27,0,25,3298,124,14,3434
LGA19399,0,0,0,0,0,0,0,0,53,4,0,0,57,0,0,0,57,0,0,57,27,11,0,0,35,0,0,0,35,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,17,0,0,95,0,0,0,95,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,20,0,0,100,0,0,0,100,0,0,100,23,0,0,0,31,0,0,0,31,5,0,29,0,0,0,0,0,0,0,0,0,0,0,0,108,18,0,3,128,0,0,0,128,3,0,132
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20110,19,0,0,0,23,0,0,23,379,78,10,6,481,0,0,0,486,33,0,520,710,160,25,7,900,9,0,9,907,36,0,946,71,17,15,0,106,0,0,0,106,4,0,107,0,0,3,19,30,0,0,0,31,0,0,35,1166,262,56,31,1512,8,0,15,1529,79,0,1603,16,3,0,0,14,0,4,4,17,0,0,17,4,0,0,4,5,0,4,4,12,0,0,12,13,3,0,3,18,0,6,6,22,0,0,22,1182,262,56,36,1536,8,14,23,1557,79,0,1632,158,55,15,5,231,0,0,0,231,37,0,266,5,0,0,0,5,0,0,0,5,4,11,22,1346,319,68,39,1770,8,14,23,1790,115,11,1916
LGA20260,9,0,0,0,8,0,0,10,357,45,8,0,408,3,0,3,415,18,3,434,474,72,25,8,577,11,0,11,583,29,4,621,71,18,14,0,97,0,0,0,100,4,0,102,7,0,0,9,13,0,0,0,13,4,0,16,911,131,47,13,1098,10,0,10,1112,52,6,1166,3,0,0,0,3,0,0,0,3,0,0,4,0,0,0,0,6,0,0,0,6,0,0,4,3,0,0,0,5,0,0,0,5,6,0,6,914,132,47,17,1105,10,0,10,1113,56,6,1179,178,64,12,0,253,0,0,0,253,58,0,310,0,0,0,0,0,0,0,0,0,3,7,12,1090,198,57,17,1356,10,0,10,1367,111,12,1493
LGA20570,241,0,4,4,245,24,0,270,3942,536,71,14,4561,50,20,70,4632,250,0,4890,6877,892,127,37,7926,54,40,99,8026,246,8,8281,841,98,89,16,1041,12,0,7,1052,31,4,1086,61,0,0,44,98,0,0,0,98,9,14,122,11721,1524,286,108,13635,113,62,173,13813,537,29,14374,66,5,0,5,80,15,5,16,100,9,0,109,161,28,0,5,200,10,3,21,216,5,0,226,230,34,0,6,280,31,9,35,315,12,0,334,11956,1564,286,118,13916,142,69,211,14131,550,29,14706,2345,423,81,44,2888,86,8,98,2984,472,5,3464,11,5,0,5,21,0,5,5,23,4,45,70,14306,1989,362,169,16829,227,83,309,17137,1033,82,18250
LGA20660,852,4,5,17,867,108,0,974,6145,772,140,16,7074,103,29,133,7203,346,13,7566,8865,1156,121,48,10181,98,22,120,10306,295,11,10609,1108,129,124,5,1361,20,4,23,1386,39,0,1421,68,7,0,74,150,5,0,5,157,4,7,167,16186,2063,386,139,18772,222,50,276,19047,685,32,19767,106,20,5,0,134,19,4,19,149,8,0,160,237,38,0,5,276,11,6,20,295,19,0,313,339,59,5,5,410,28,11,40,447,31,0,476,16530,2123,392,145,19184,249,64,318,19500,717,32,20243,2860,455,59,56,3435,86,22,105,3537,406,9,3950,19,4,0,19,41,0,0,0,41,0,55,92,19406,2581,450,215,22659,334,87,418,23080,1117,89,24286
LGA20740,53,0,0,0,53,0,0,49,969,185,31,0,1185,11,11,25,1215,97,0,1310,1718,426,47,28,2212,17,6,21,2239,132,3,2373,228,46,70,5,357,0,0,0,355,14,4,373,8,4,3,35,55,0,0,0,55,4,3,62,2928,666,146,68,3805,33,18,48,3856,242,12,4114,3,4,0,0,7,9,0,9,12,4,0,19,20,7,5,0,30,3,0,3,35,9,0,43,23,9,5,0,35,13,0,13,52,14,0,59,2952,676,150,68,3851,43,18,59,3906,253,12,4173,633,148,49,37,873,18,0,16,887,165,10,1061,10,3,0,0,12,0,0,0,16,0,41,54,3592,828,201,107,4728,62,20,76,4808,428,60,5295
LGA20830,162,0,0,0,162,10,0,176,1919,293,52,16,2282,12,7,24,2306,130,0,2439,3577,498,68,43,4192,30,7,39,4231,141,4,4374,501,65,48,7,623,3,0,6,626,10,7,644,38,0,0,74,107,0,3,3,112,7,4,124,6043,855,173,137,7203,52,20,74,7279,297,16,7584,34,3,0,0,33,0,0,0,34,5,0,41,97,8,3,0,111,3,0,7,118,7,0,123,127,12,3,0,148,5,0,4,151,5,0,162,6169,867,175,140,7350,55,23,80,7432,300,16,7749,1491,228,50,37,1808,34,11,44,1849,179,7,2034,12,0,0,8,18,0,0,0,18,4,30,53,7670,1094,232,184,9178,90,34,125,9299,481,48,9830
LGA20910,1000,12,8,21,1016,106,6,1123,6477,656,85,21,7242,125,13,137,7379,359,7,7750,6974,835,108,35,7954,100,12,116,8073,182,9,8266,747,85,84,3,925,0,0,0,931,28,5,957,92,3,0,67,166,0,0,0,166,12,13,192,14302,1584,278,130,16293,227,28,254,16546,587,29,17160,103,8,0,3,110,13,3,10,130,4,0,131,234,11,0,0,250,8,5,14,260,16,0,272,339,23,0,3,359,18,3,24,390,20,0,408,14635,1605,278,132,16654,247,30,277,16933,604,29,17568,2944,313,50,39,3349,52,13,68,3411,377,8,3795,31,8,0,22,56,0,0,0,56,0,33,94,17608,1926,328,191,20054,301,43,343,20396,980,73,21450
LGA21010,15,0,0,0,15,0,0,15,369,38,8,7,426,3,0,3,433,16,0,446,569,96,13,3,683,3,0,9,691,22,0,710,68,4,25,0,97,0,0,0,97,3,0,100,5,0,0,15,20,0,0,0,20,0,0,20,1012,139,51,25,1225,12,0,8,1239,39,0,1279,3,0,0,0,5,0,0,0,10,0,0,10,3,0,0,0,3,0,0,0,3,0,0,3,7,0,0,0,15,0,0,0,10,0,0,10,1022,143,51,28,1238,11,0,12,1247,39,0,1293,205,47,6,20,283,0,0,0,283,47,0,332,0,0,0,0,0,0,0,0,0,0,22,22,1226,194,56,46,1521,11,0,12,1532,87,26,1647
LGA21110,1801,37,13,49,1850,270,3,2122,10399,1034,147,43,11624,210,45,259,11883,587,16,12488,10304,1563,111,55,12030,110,27,134,12172,421,12,12598,996,117,116,0,1238,10,4,17,1255,41,0,1293,66,16,0,116,197,4,0,4,202,11,19,234,21768,2733,381,212,25095,332,81,415,25510,1056,50,26616,208,26,6,0,240,26,0,26,269,13,0,279,315,45,0,7,369,20,13,34,405,25,0,427,525,66,9,5,608,49,13,62,672,35,0,702,22295,2799,391,220,25704,379,95,480,26181,1089,50,27320,4322,690,91,64,5171,98,37,136,5309,964,13,6291,37,6,0,39,86,4,0,4,83,6,40,132,26655,3501,482,326,30958,482,138,617,31574,2058,110,33741
LGA21180,1197,39,13,56,1257,313,6,1577,6184,899,128,57,7270,140,36,179,7445,654,6,8107,6718,1573,187,66,8555,167,49,215,8769,808,20,9600,985,157,139,11,1292,12,6,22,1316,63,0,1377,83,14,5,168,276,6,11,14,294,32,48,370,13982,2644,460,309,17393,331,102,433,17821,1551,78,19455,282,96,3,7,392,114,10,126,518,58,0,579,343,129,18,5,499,89,46,138,634,97,0,736,624,220,22,13,887,206,58,268,1157,157,4,1317,14607,2859,488,326,18281,538,160,696,18980,1710,83,20768,6093,2009,293,276,8680,353,98,447,9129,2576,89,11793,68,17,0,82,160,0,0,0,166,29,160,357,20774,4891,781,684,27124,888,254,1148,28269,4314,331,32919
LGA21270,8,0,0,0,11,0,0,11,193,7,0,8,211,0,0,0,216,3,0,216,365,29,8,0,402,3,0,0,405,10,0,423,36,5,0,0,43,0,0,0,43,0,0,43,5,4,0,12,16,0,0,0,16,0,0,16,605,41,11,24,680,6,0,3,684,14,0,696,0,6,0,0,0,7,0,7,5,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,7,5,5,0,11,610,41,11,24,682,7,0,7,689,18,0,710,135,4,4,9,156,5,0,5,158,18,0,179,0,0,0,0,0,0,0,0,0,0,5,5,744,50,19,31,837,14,0,15,852,39,5,891
LGA21370,60,0,0,0,60,0,0,65,1312,158,31,0,1506,12,0,14,1525,41,5,1564,2253,229,53,15,2542,8,3,7,2553,104,3,2670,209,26,25,3,263,0,0,0,263,5,0,272,27,4,0,48,75,4,0,3,81,9,8,97,3802,414,105,68,4395,24,9,28,4427,159,19,4600,10,0,0,0,12,0,0,0,12,4,0,17,42,4,0,8,55,4,0,4,57,0,0,56,51,4,0,6,65,4,0,4,72,10,0,78,3856,414,110,73,4460,23,9,31,4492,163,19,4673,664,103,20,37,826,10,3,13,839,130,6,970,3,5,0,4,10,0,0,0,10,0,20,24,4519,526,128,124,5294,40,5,46,5341,293,36,5671
LGA21450,461,4,0,5,462,51,0,514,5591,558,100,31,6279,83,19,97,6371,306,11,6686,8363,1114,176,67,9718,80,10,89,9806,312,18,10137,1147,138,136,12,1431,6,5,3,1436,22,3,1463,114,24,0,98,235,5,0,5,236,11,14,260,15211,1834,407,204,17664,162,34,195,17855,650,48,18550,154,42,3,3,208,29,4,30,239,9,0,253,291,62,17,7,374,13,3,19,390,12,0,403,446,106,17,11,579,43,5,45,624,30,0,649,15660,1936,428,215,18238,200,39,240,18477,677,50,19203,4471,633,164,117,5387,125,37,158,5543,558,25,6130,43,10,0,30,86,0,0,0,86,12,118,210,20166,2583,597,363,23706,324,81,403,24110,1244,188,25546
LGA21610,2486,75,31,106,2586,423,16,3030,18506,2478,368,122,21476,370,105,472,21947,1117,28,23092,21560,3982,407,185,26136,299,94,394,26531,1061,37,27631,2779,418,356,28,3583,46,10,54,3634,115,11,3759,261,51,8,331,655,16,6,28,678,32,74,781,43105,6934,1137,675,51845,732,218,944,52791,2320,153,55264,664,138,9,9,826,94,12,112,938,71,4,1011,1063,269,21,31,1389,128,42,167,1558,94,0,1656,1726,415,29,47,2220,229,49,276,2498,168,6,2666,44827,7347,1170,715,54060,958,268,1222,55289,2481,165,57932,15900,4056,497,661,21118,900,177,1075,22195,4292,149,26635,139,44,0,182,361,0,0,0,366,38,295,699,60869,11448,1660,1561,75544,1860,448,2300,77843,6818,607,85265
