LGA_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
LGA11800,30944,33851,64798,10821,7241,18067,4882,8875,13763,1014,1218,2227,1072,847,1911,17785,18181,35969,11130,13496,24626,6,4.6,5.3,57.5,53.7,55.5,54,51.2,52.6,918,1160,2076,440,910,1356,3304,5047,8352,2291,3923,6214,8436,4925,13360,348,606,960,576,926,1507,9362,6463,15825,29759,31824,61579,5433,5957,11391,19003,20173,39170,14388,15872,30265
LGA12000,1730,1793,3522,804,464,1267,172,437,610,47,61,110,41,31,71,1060,990,2052,551,700,1253,3.8,3.1,3.5,61.4,55.1,58.2,59.1,53.4,56.2,33,43,73,17,47,58,89,234,322,91,153,248,480,251,726,18,35,45,19,39,63,520,326,838,1739,1771,3506,267,291,559,1228,1252,2481,660,712,1371
LGA12150,1413,1502,2916,524,362,890,135,262,399,50,50,97,53,40,99,762,718,1487,461,566,1027,7.3,6,6.7,54,47.8,50.8,50,44.9,47.4,12,35,40,0,19,18,69,160,226,56,101,155,255,187,442,6,33,42,22,18,32,286,235,519,1352,1322,2674,212,237,452,993,943,1936,431,509,943
LGA12160,4632,4799,9429,1692,954,2646,481,1035,1513,176,165,344,109,84,189,2453,2235,4685,1792,2206,4004,4.4,3.6,4.1,53,46.6,49.7,50.6,44.9,47.7,66,78,146,37,78,113,260,500,758,271,462,728,1171,658,1824,57,93,149,85,135,221,1312,882,2193,4456,4562,9019,618,623,1243,3208,3242,6457,1623,1713,3337
LGA12350,5219,5344,10563,2011,1046,3060,534,1220,1764,152,190,340,140,138,277,2842,2593,5443,1914,2339,4255,5,5.3,5.1,54.5,48.6,51.5,51.8,46,48.8,69,82,155,34,107,143,302,524,825,257,526,781,1384,776,2159,69,118,184,72,131,204,1525,1020,2548,4969,5014,9980,700,759,1460,3531,3472,7001,1860,2042,3899
LGA12380,97436,91112,188553,26889,18881,45769,12070,14048,26119,8425,5716,14142,4664,3154,7816,52048,41798,93846,37017,42369,79389,9,7.5,8.3,53.4,45.9,49.8,48.6,42.4,45.6,8078,6837,14913,940,1451,2400,15953,17016,32966,7914,9013,16921,10986,5933,16923,553,994,1551,1238,1710,2951,12783,8642,21425,92791,89006,181794,18242,15794,34039,56900,57208,114110,46814,41186,88003
LGA12390,21267,22146,43414,9714,6652,16359,2358,5088,7447,700,872,1574,534,418,946,13302,13031,26334,6025,7205,13227,4,3.2,3.6,62.6,58.8,60.7,60.1,56.9,58.5,693,845,1536,216,523,732,1819,3309,5130,1191,2068,3264,5455,3225,8677,192,427,622,301,549,847,5951,4197,10152,19729,20977,40706,3772,3964,7736,12539,13022,25557,9422,10338,19761
LGA12700,3862,3911,7769,1635,859,2488,500,1052,1548,174,185,366,85,72,153,2393,2166,4558,1302,1558,2863,3.4,3.3,3.3,61.9,55.4,58.6,59.8,53.5,56.7,105,123,224,34,87,119,319,529,844,263,467,727,1292,644,1933,30,66,100,59,124,181,1383,838,2219,4015,3982,7996,491,533,1027,2820,2760,5575,1467,1542,3010
LGA12730,3377,3596,6972,1430,876,2310,350,882,1236,120,118,236,77,64,140,1978,1943,3918,1061,1318,2382,4,3.2,3.6,58.6,54,56.2,56.2,52.3,54.2,53,65,117,24,92,115,210,421,634,202,327,531,872,507,1375,27,50,78,43,64,105,946,619,1568,3213,3337,6557,475,491,965,2309,2348,4659,1185,1299,2480
LGA12750,17004,17964,34972,4544,2960,7501,2396,3967,6360,591,644,1241,385,265,646,7918,7832,15744,7782,8832,16614,4.9,3.3,4.1,46.6,43.6,45,44.3,42.1,43.2,543,666,1207,267,538,807,1566,2275,3842,1227,2026,3249,4869,2446,7314,177,326,506,334,553,889,5385,3320,8707,15489,16115,31601,2578,2779,5352,10150,10555,20706,7137,7599,14739
