LGA_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA25340,111,249,529,485,650,530,189,41,4,2773,174,229,466,590,759,641,263,102,18,3235,4855,6018,11683,14251,17877,14896,5300,838,54,75773
LGA25430,14,26,48,57,72,58,22,0,0,298,26,24,38,62,58,83,34,10,0,329,416,409,1140,1660,2098,2033,718,89,10,8570
LGA25490,24,28,54,51,71,37,23,3,0,286,22,29,57,37,50,70,32,14,5,324,518,546,1391,1541,1827,1786,753,154,27,8539
LGA25620,11,22,59,47,62,60,15,0,0,290,7,19,43,61,73,74,36,15,6,323,317,408,995,1189,1572,1577,571,137,15,6789
LGA25710,53,115,198,236,293,270,63,5,0,1240,53,114,163,269,323,224,73,22,0,1240,2083,3100,4695,6490,8512,6768,1855,263,11,33770
LGA25810,9,16,26,16,22,16,17,3,0,122,9,11,37,18,32,28,7,13,5,147,281,430,1002,812,1054,1081,402,89,7,5170
LGA25900,30,175,626,400,334,253,64,8,4,1891,37,166,822,690,470,280,109,22,5,2597,1199,4021,19305,14915,11337,7468,2361,387,19,61013
LGA25990,0,13,21,25,18,17,5,0,0,99,8,6,24,18,33,24,16,7,0,138,145,198,443,501,724,680,279,52,10,3032
LGA26080,0,6,4,6,7,7,9,0,0,29,3,0,4,8,3,11,6,3,0,48,62,70,117,182,247,352,211,38,5,1287
LGA26170,29,49,115,107,105,111,25,3,0,539,38,39,78,91,121,131,50,26,10,574,825,865,2012,2422,3108,2918,1215,204,23,13607
LGA26260,22,17,39,36,51,60,15,0,0,242,24,20,48,45,46,56,29,12,7,288,458,572,1300,1328,1568,1635,717,126,23,7720
LGA26350,37,172,498,281,253,177,62,12,6,1500,51,240,866,529,416,273,144,49,9,2582,1578,6032,20362,12476,9891,7156,3131,678,78,61373
LGA26430,0,8,18,24,29,35,19,0,0,140,8,8,22,36,28,32,24,6,5,174,255,290,706,862,968,1149,559,125,15,4925
LGA26490,17,50,87,126,136,95,31,5,0,555,26,48,108,172,174,97,40,10,0,679,1042,1243,3067,4550,4330,3279,1100,145,8,18769
LGA26610,27,43,91,72,48,54,14,4,0,357,28,56,139,134,97,82,30,17,3,586,547,850,2254,1968,1711,1813,589,107,8,9866
LGA26670,10,6,21,16,19,26,13,0,0,109,4,6,4,21,19,23,9,3,0,96,125,149,367,468,586,723,334,96,10,2856
LGA26700,35,52,119,104,96,79,32,4,0,513,50,48,79,73,136,98,41,11,3,546,1018,971,2430,2639,3061,2784,946,178,14,14043
LGA26730,41,68,156,113,116,78,39,8,0,623,31,56,132,101,126,84,29,7,0,560,1287,1442,3661,3396,3545,3085,796,106,3,17305
LGA26810,56,71,168,127,117,118,40,11,0,712,52,64,142,146,129,147,56,26,7,760,1194,1546,3631,3677,3946,3831,1250,222,24,19315
LGA26890,0,0,7,8,12,8,0,0,0,35,7,0,7,8,11,14,9,5,0,58,84,96,287,299,365,467,210,64,7,1877
LGA26980,62,261,614,547,647,455,136,32,0,2761,72,388,936,827,709,456,134,29,15,3578,3836,8692,18314,18766,18005,11909,3309,459,39,83325
LGA27070,96,360,1068,1054,812,524,115,10,0,4029,146,494,1464,1446,1045,676,153,25,6,5462,4664,10063,26886,28572,20558,13155,2927,222,15,107055
LGA27170,37,84,200,169,123,105,38,3,0,767,45,64,173,150,139,113,32,14,3,729,1548,1976,4631,4329,4078,3164,853,100,9,20689
LGA27260,113,432,1118,1073,742,461,98,4,0,4039,200,806,2274,2143,1145,585,113,14,3,7274,5254,11902,35900,43808,23472,12825,2497,157,11,135825
LGA27350,17,136,561,358,244,178,56,15,0,1566,38,161,909,493,276,172,51,6,4,2109,956,5007,23391,12722,7839,5294,1692,262,7,57177
LGA27450,171,365,803,779,740,639,197,18,0,3716,162,300,725,762,833,619,208,36,7,3653,4567,6838,15787,16818,17541,13876,3983,468,26,79903
LGA27630,3,9,12,10,12,26,6,0,0,77,4,9,14,8,15,27,0,9,0,81,138,162,437,425,513,703,224,58,6,2670
LGA29399,0,0,0,0,0,3,0,0,0,4,0,11,13,3,0,0,0,0,0,23,26,102,171,83,66,46,22,3,5,530
LGA29499,3,8,12,13,11,3,0,0,0,56,4,13,33,35,23,9,4,4,0,126,82,217,600,341,277,227,47,11,0,1797
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,15
LGA30250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,9,5,14,36,28,35,31,7,0,0,152
LGA30300,11,6,14,9,18,7,3,0,0,70,14,12,17,12,16,24,5,0,0,93,126,184,383,362,462,395,156,28,0,2102
LGA30370,31,30,45,60,26,35,9,5,0,243,21,17,32,47,34,45,27,14,0,243,429,586,1328,1489,1367,1253,443,139,16,7053
LGA30410,3,6,6,9,3,3,3,0,0,35,5,3,15,6,9,4,4,0,0,50,81,108,264,255,315,274,114,37,0,1435
LGA30450,0,3,0,0,0,0,0,0,0,8,0,0,0,0,6,0,0,0,0,11,12,32,27,27,34,33,8,0,0,176
LGA30760,5,0,4,3,0,3,0,3,0,17,5,3,6,5,7,8,4,0,0,35,53,81,163,166,175,179,101,26,0,937
LGA30900,0,0,0,0,6,0,0,0,0,3,0,0,0,4,0,3,4,0,0,11,14,23,50,40,28,42,27,0,0,226
LGA31000,942,2531,5850,4921,4172,2887,820,120,6,22252,1020,2971,7108,6454,4846,2961,874,226,46,26521,33804,70617,164623,154563,131607,82905,21368,2645,187,662318
LGA31750,0,0,0,0,3,0,0,0,0,7,0,0,0,4,5,4,0,0,0,10,16,30,40,45,28,38,12,4,0,218
LGA31820,80,148,317,294,298,239,83,5,0,1471,130,176,344,323,379,271,97,46,6,1781,2743,3284,7242,7315,8491,7461,1932,306,26,38815
LGA31900,34,39,57,41,61,66,17,3,0,316,23,30,57,43,61,55,28,14,6,324,532,631,1343,1333,1656,1570,542,121,12,7742
LGA31950,0,9,4,0,0,0,0,0,0,12,0,0,4,0,0,0,0,0,0,4,21,29,43,30,30,30,15,0,0,194
LGA32080,183,378,788,797,774,505,170,22,0,3622,187,276,690,610,601,419,140,46,11,2978,4961,6062,15909,17258,18029,13302,3659,437,33,79649
LGA32250,0,3,6,3,0,4,3,0,0,21,4,6,13,10,10,3,5,0,0,46,40,104,190,152,174,167,49,10,0,888
LGA32260,29,47,84,94,79,82,27,0,0,434,50,50,131,117,119,129,54,16,8,678,690,838,2237,2191,2585,2693,923,152,18,12329
LGA32270,54,78,131,100,82,70,15,3,0,545,43,44,112,104,111,76,18,9,0,519,959,1267,3101,3179,2772,2175,593,139,7,14188
LGA32310,20,15,27,37,28,25,6,3,0,156,20,14,37,36,32,33,21,10,0,203,370,360,840,899,1038,888,306,44,0,4756
LGA32330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,17,50,44,42,25,0,0,0,185
LGA32450,0,7,10,16,10,9,4,0,0,58,6,9,15,20,13,7,0,0,0,69,90,203,445,397,312,269,91,25,0,1827
LGA32500,6,15,22,11,18,10,0,0,0,71,6,0,7,7,14,3,3,8,0,54,76,123,349,355,387,359,132,21,0,1803
LGA32600,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,6,4,28,21,28,23,8,0,0,129
LGA32750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,36,27,24,30,9,0,0,154
LGA32770,0,0,5,3,7,7,0,0,0,19,0,4,4,0,7,0,0,0,0,11,7,22,70,38,52,33,7,0,0,234
LGA32810,9,12,43,38,48,49,6,0,0,209,26,14,38,49,63,57,9,9,0,274,285,325,1087,1126,1267,1224,403,59,13,5797
LGA33100,0,0,0,0,0,0,0,0,0,5,0,0,6,0,3,7,0,0,0,25,15,32,68,56,75,69,28,16,0,353
LGA33200,0,6,6,9,0,0,0,0,0,19,0,4,5,0,3,4,4,0,0,21,40,58,158,106,149,130,60,31,3,732
LGA33220,80,153,324,323,366,301,59,12,0,1622,117,136,253,322,368,287,112,46,13,1646,2576,2792,6157,7271,8766,7826,1893,226,25,37531
LGA33360,66,128,237,221,238,164,32,4,0,1085,90,150,314,294,289,203,52,13,6,1406,1991,2224,5641,6178,6577,4822,1007,124,4,28565
LGA33430,520,1327,3087,2874,2481,1687,489,71,4,12537,708,1526,3648,3527,3091,2102,698,168,35,15502,17967,28362,65893,66810,64643,45756,13802,1740,130,305103
LGA33610,18,23,57,33,35,27,4,0,0,205,15,26,37,31,37,42,14,7,3,218,301,387,912,952,969,900,341,61,10,4824
LGA33620,64,92,197,198,154,140,54,3,0,908,66,71,188,193,197,201,76,23,8,1020,1490,1474,3399,3834,4606,4189,1174,179,23,20351
LGA33800,22,17,25,30,42,33,11,3,0,188,13,25,23,21,42,42,28,12,9,206,278,340,705,703,991,1137,389,102,22,4671
LGA33830,0,0,0,0,0,0,0,0,0,4,4,0,4,0,3,0,0,0,0,21,3,29,69,46,53,20,5,0,0,227
LGA33960,170,531,1226,911,751,485,119,15,5,4209,284,649,1445,1270,928,625,117,31,8,5358,6403,10530,25716,24914,20437,13460,2567,237,19,104282
LGA33980,35,44,102,64,41,31,8,0,0,331,22,28,65,69,64,43,5,0,5,304,617,901,2506,2508,2167,1506,349,54,11,10624
LGA34420,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,0,0,0,0,19,6,22,46,34,44,29,9,0,0,187
LGA34530,60,58,149,162,162,119,49,5,0,755,59,61,125,111,115,116,40,12,0,647,1345,1261,2967,3562,3928,3503,940,117,6,17627
LGA34570,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,18,8,13,48,30,33,23,4,3,0,168
LGA34580,53,82,155,131,115,114,31,3,0,682,45,76,207,176,177,124,35,10,0,859,1253,1550,3705,3606,3826,3125,763,133,6,17963
LGA34590,345,766,1720,1487,1327,926,271,24,0,6859,439,989,2281,2007,1695,1133,284,37,4,8872,9176,15057,34924,34563,30863,21655,5059,389,19,151708
LGA34710,11,7,15,20,11,20,8,0,0,90,11,11,9,11,15,15,12,0,0,92,111,177,365,357,344,389,153,17,5,1914
LGA34770,234,358,745,595,532,378,102,19,0,2968,187,298,550,522,530,374,125,34,6,2635,4056,5163,11705,12545,12650,10016,2516,278,23,58955
LGA34800,0,0,3,5,0,0,0,0,0,4,0,6,5,3,0,8,0,0,0,17,31,54,102,83,59,81,32,8,0,461
LGA34830,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,4,5,26,19,9,17,5,0,0,93
LGA34860,32,40,50,40,47,25,15,4,0,254,29,31,76,63,68,54,25,20,3,364,381,588,1239,1245,1300,1153,399,140,14,6463
LGA34880,28,33,70,65,73,53,20,0,0,346,41,37,76,72,87,75,35,12,3,439,523,592,1577,1673,2112,1885,604,115,9,9088
LGA35010,503,997,2134,1896,1970,1293,364,34,0,9191,538,981,2214,2265,2077,1399,365,72,21,9935,14669,19827,43915,48984,49457,33860,7818,746,56,219332
LGA35250,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,7,9,13,47,57,42,38,8,3,0,213
LGA35300,25,49,96,75,64,47,15,4,0,375,33,35,85,70,50,33,17,0,0,327,603,960,2473,2011,1683,1305,297,42,6,9378
LGA35600,4,3,11,18,7,11,3,0,0,62,15,10,23,12,12,18,9,5,0,110,86,152,393,302,359,425,134,18,0,1869
LGA35670,0,0,0,3,0,0,0,0,0,4,4,4,0,9,0,5,0,0,0,17,5,11,20,37,28,17,3,4,0,137
LGA35740,56,92,170,179,268,197,38,5,0,1009,59,76,184,261,277,187,88,18,8,1152,1670,1437,3019,4687,6272,5174,1726,252,16,24250
LGA35760,10,13,18,20,25,17,7,0,0,119,17,29,43,42,41,41,30,18,3,261,231,304,656,697,889,913,425,130,17,4250
LGA35780,0,0,5,4,3,0,0,0,0,17,11,5,8,4,6,4,0,0,0,44,45,107,213,171,159,111,30,0,0,837
LGA35790,0,0,0,0,0,0,0,0,0,5,0,4,6,3,3,3,3,0,0,22,17,31,84,72,63,57,12,0,0,339
LGA35800,4,0,0,3,0,3,3,0,0,20,0,5,7,5,5,0,0,0,0,20,20,41,134,97,134,141,67,16,0,648
LGA36070,0,0,0,0,3,0,0,0,0,8,0,0,0,3,3,0,0,0,0,8,4,12,20,41,47,22,9,0,0,144
LGA36150,0,0,3,0,0,0,0,0,0,8,0,0,3,4,9,4,0,0,0,18,10,33,88,63,87,89,25,4,0,389
LGA36250,205,311,673,713,740,563,171,20,0,3400,172,305,611,770,776,566,168,24,12,3407,5335,6405,12968,16214,17790,14192,3523,353,23,76809
LGA36300,0,0,4,0,0,0,0,0,0,7,0,3,0,3,4,0,0,3,0,14,17,36,95,66,66,91,32,12,0,410
LGA36370,110,208,422,340,243,231,67,6,0,1626,117,145,328,251,220,164,52,16,9,1306,2692,3687,8181,7791,7098,5940,1431,140,20,36979
LGA36510,51,66,122,156,168,168,39,5,0,777,76,75,158,200,228,201,80,27,12,1059,1305,1221,2714,3611,4515,3854,1284,246,32,18769
LGA36580,23,32,70,57,78,57,24,5,0,337,48,47,90,109,113,87,35,10,0,552,644,702,1706,2090,2378,2003,608,104,8,10248
LGA36630,38,47,88,56,79,87,25,0,0,421,44,39,106,102,135,95,52,18,3,599,883,998,2130,2142,2574,2396,849,188,27,12182
LGA36660,54,53,107,112,94,108,43,3,0,571,61,48,103,110,129,123,86,28,4,691,1122,1101,2464,2592,3149,3117,1184,224,24,14978
LGA36720,371,626,1438,1369,1335,926,263,24,0,6346,466,641,1437,1463,1468,1032,307,95,21,6934,11254,13230,29669,33797,36397,27713,7373,802,62,160291
LGA36820,36,43,70,76,75,80,29,7,0,418,37,23,91,71,108,101,62,27,0,513,762,611,1609,1855,2383,2320,884,166,7,10605
LGA36910,243,368,765,646,582,466,164,26,4,3264,225,312,619,600,546,416,162,65,21,2962,5642,7732,16692,15931,16066,12949,3771,646,75,79508
LGA36950,0,0,7,10,4,4,0,0,0,31,3,7,14,10,3,5,0,0,0,51,64,142,357,352,291,236,74,4,0,1520
LGA36960,0,0,0,0,0,0,0,0,0,0,0,4,9,6,4,5,4,0,0,32,29,73,267,250,213,150,38,0,0,1015
LGA37010,271,490,926,726,637,473,144,32,0,3696,263,400,764,654,624,477,147,27,0,3352,6558,10555,20841,19187,18716,14228,3552,342,17,93989
LGA37300,4,9,11,7,8,14,0,0,0,54,7,11,24,10,10,13,0,0,0,78,130,228,615,502,474,274,45,0,0,2271
LGA37310,70,57,120,112,98,75,30,6,0,573,53,79,172,128,130,117,47,28,3,748,1063,1298,3009,2876,3111,2520,951,253,23,15105
LGA37340,49,55,140,155,137,102,32,0,0,672,55,78,138,154,165,119,51,13,3,788,1103,1556,3948,3657,3648,2999,911,129,13,17965
LGA37400,0,3,3,6,4,0,0,0,0,13,0,0,3,3,5,6,3,0,0,21,17,35,96,107,117,118,51,9,0,559
LGA37550,0,0,6,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,8,7,20,62,34,36,24,10,0,0,194
LGA37570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,8,14,12,12,0,0,0,44
LGA37600,0,3,0,0,0,0,0,0,0,4,0,0,3,0,0,5,0,0,0,15,7,33,112,90,84,59,11,0,0,398
LGA39499,6,7,27,20,14,6,6,0,0,95,6,23,47,49,40,28,3,0,0,194,128,325,1027,644,497,464,118,7,0,3219
LGA39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,6,13,15,0,0,0,0,29
LGA40070,15,64,91,63,59,51,21,3,0,364,9,77,133,66,47,32,22,9,0,396,471,1989,4224,2293,1555,1360,635,121,5,12644
LGA40120,39,67,132,139,161,145,48,7,0,737,36,43,75,108,139,117,48,20,4,596,1296,1576,2867,4150,5225,4290,1414,214,14,21047
LGA40150,23,25,49,50,41,30,15,0,0,238,6,19,49,36,50,44,14,5,0,222,277,395,967,928,1120,910,209,35,8,4851
LGA40220,26,46,82,79,113,92,42,0,0,485,24,26,47,75,99,70,46,24,0,415,681,786,1644,2055,2634,2561,925,162,7,11456
LGA40250,5,4,18,3,3,4,5,0,0,35,0,5,10,0,3,0,0,0,0,21,15,48,159,86,103,76,14,6,0,518
LGA40310,20,30,84,65,73,75,26,8,0,369,33,33,43,63,88,78,21,15,6,380,799,885,1888,2525,2862,2464,715,119,4,12267
LGA40430,0,0,9,5,4,8,3,0,0,26,0,0,0,0,4,7,3,0,0,20,41,56,134,136,206,247,85,8,0,913
LGA40520,14,10,36,35,26,30,13,0,0,175,16,20,39,24,37,40,13,0,0,182,269,400,841,831,953,930,299,51,5,4580
LGA40700,36,69,103,113,139,112,48,6,0,629,28,48,77,119,131,83,50,13,5,552,1203,1933,3375,4712,5151,4022,1600,293,28,22310
LGA40910,27,105,246,199,267,216,52,10,0,1122,28,90,189,190,149,108,29,10,3,799,1340,2688,6058,6111,5667,4189,1082,135,8,27289
LGA41010,4,14,23,18,15,9,7,0,0,84,3,3,16,14,9,14,4,0,0,68,81,120,332,277,346,305,108,19,0,1586
LGA41060,79,261,638,518,492,411,130,26,0,2566,69,205,501,426,418,318,109,39,8,2079,2879,5949,15082,12861,12254,9661,2341,292,22,61344
LGA41140,8,9,30,32,33,31,11,0,0,158,13,7,21,29,31,28,19,11,0,158,243,285,686,774,930,952,373,88,9,4337
LGA41190,3,3,11,5,3,4,6,0,0,35,0,0,10,0,7,4,0,7,0,25,38,47,147,143,171,192,69,15,0,831
LGA41330,0,0,0,0,4,0,0,0,0,11,5,4,6,0,5,6,4,3,0,38,24,30,133,93,89,103,49,11,0,528
LGA41560,16,21,34,45,57,50,15,3,0,244,14,13,28,34,38,33,22,12,0,197,339,382,878,947,1169,1212,365,45,8,5346
LGA41750,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,18,22,80,89,75,119,40,8,0,451
LGA41830,0,0,0,5,0,5,0,0,0,11,0,3,6,5,0,8,3,0,0,32,29,40,113,104,143,172,92,12,0,716
LGA41960,0,0,3,3,3,5,0,0,0,18,0,0,6,0,5,3,6,0,0,19,28,24,97,93,130,125,45,0,0,545
LGA42030,10,45,113,98,76,79,29,4,0,458,14,32,97,68,57,59,21,3,0,362,657,1089,2375,2224,2324,2075,456,42,4,11248
LGA42110,8,8,8,9,10,8,0,0,0,52,3,8,6,12,7,15,11,0,0,66,85,99,245,269,359,408,165,33,8,1669
LGA42250,10,17,25,31,32,34,5,0,0,163,12,13,18,13,43,39,24,5,0,165,319,278,521,766,983,862,315,67,11,4133
LGA42600,42,64,136,98,129,130,57,4,0,666,19,33,86,113,106,83,38,15,4,501,1064,1551,3346,3738,3941,3537,1174,163,15,18522
LGA42750,5,4,14,16,14,12,0,0,0,62,10,0,12,13,20,17,10,0,0,92,117,130,372,398,473,521,226,53,0,2290
LGA43080,3,0,3,3,6,0,6,0,0,18,0,0,0,4,0,0,0,0,0,9,17,27,67,58,99,96,53,3,3,430
LGA43220,0,0,6,5,9,5,0,0,0,22,0,0,4,4,0,3,4,0,0,17,22,29,93,114,87,117,41,10,0,507
LGA43360,0,0,6,3,0,0,0,3,0,18,3,4,3,3,4,7,3,4,4,36,59,76,160,184,210,220,128,27,4,1064
LGA43650,16,37,64,52,73,41,12,5,0,302,14,30,36,55,58,55,17,9,0,282,607,713,1260,1587,1916,1536,415,61,6,8102
LGA43710,9,12,15,23,29,18,6,0,0,121,7,4,12,9,18,15,13,9,0,91,188,134,395,597,661,566,185,43,0,2765
LGA43790,18,20,34,38,44,38,12,0,0,196,15,20,23,39,32,40,27,9,3,204,336,356,902,915,1137,1075,385,73,9,5186
LGA44000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,4,7,7,6,0,0,27
LGA44060,69,182,428,396,364,280,85,9,0,1816,40,173,322,300,235,186,45,19,6,1331,2290,4707,11728,11057,9011,7092,1775,149,12,47816
LGA44210,3,9,27,19,32,24,12,0,0,130,5,4,22,25,36,27,11,4,0,146,185,206,467,522,815,889,299,41,3,3429
LGA44340,49,113,218,217,295,225,78,17,3,1209,28,62,137,209,207,129,46,22,6,838,1999,3044,5776,7501,8120,5846,1624,275,23,34217
LGA44550,33,88,220,189,169,127,53,5,0,881,39,57,95,119,123,97,42,18,0,596,1213,1785,4038,4202,4450,3235,1003,130,17,20081
LGA44620,26,49,130,112,104,76,27,5,0,522,16,40,119,66,86,79,24,12,0,448,966,1080,2609,2363,2534,2176,557,53,10,12349
LGA44830,4,5,9,5,3,18,0,0,0,42,3,5,4,5,6,5,6,6,0,40,65,53,155,179,251,370,135,28,0,1232
LGA45040,14,52,80,69,67,57,19,4,0,354,24,21,68,56,75,56,18,3,0,322,577,799,1751,1551,1816,1709,460,50,4,8721
LGA45090,8,11,21,15,35,18,13,0,0,127,16,13,36,41,29,30,14,8,0,183,221,335,813,899,895,814,305,85,3,4363
LGA45120,6,4,15,16,12,23,10,6,0,78,0,7,10,7,13,14,7,5,3,58,104,156,293,373,400,483,204,46,4,2058
LGA45290,27,71,168,121,136,125,36,7,0,688,11,53,131,115,94,74,32,7,0,505,853,1852,4709,4070,3730,3006,990,129,8,19346
LGA45340,153,356,828,839,800,531,155,19,0,3676,120,231,525,519,588,404,121,32,8,2541,4889,7237,16749,17856,17751,14137,3289,305,26,82233
LGA45400,0,0,0,0,5,0,0,0,0,5,0,0,0,5,0,7,0,0,0,13,27,12,64,60,69,105,57,9,0,398
LGA45540,0,0,0,0,3,0,0,0,0,11,0,0,5,0,7,3,4,0,0,17,27,29,52,79,95,124,56,9,0,474
LGA45680,87,199,479,332,265,201,52,8,0,1617,95,214,516,368,287,264,53,18,9,1819,2189,4389,10430,8455,7286,5708,1050,90,11,39609
LGA45890,60,271,764,593,520,328,110,20,0,2660,71,271,643,585,448,285,77,16,4,2394,2512,6077,17090,15119,11709,8488,1899,163,10,63073
LGA46090,24,25,70,44,42,37,8,0,0,243,11,19,38,30,17,36,8,3,0,175,370,442,1317,1004,1112,1079,243,23,0,5584
LGA46300,20,41,61,45,68,34,18,0,0,294,6,20,45,47,40,38,10,8,0,211,451,566,1372,1280,1339,1145,297,46,6,6509
LGA46450,15,29,64,64,60,64,15,0,0,301,12,20,31,33,47,39,12,9,0,198,501,661,1330,1215,1482,1338,301,31,0,6865
LGA46510,5,53,86,89,79,71,34,0,0,421,12,33,91,87,40,44,8,0,6,314,572,1233,2942,2768,2300,1898,529,38,6,12294
LGA46670,0,19,43,30,29,18,5,0,0,153,13,22,55,27,42,34,14,0,0,214,290,391,930,817,908,846,257,46,3,4486
LGA46860,3,3,3,6,12,4,0,0,0,27,4,4,0,4,4,6,4,5,0,30,34,53,118,121,156,178,82,12,0,753
LGA46970,0,7,10,10,5,0,0,0,0,35,4,5,14,7,5,11,0,0,0,51,90,182,660,611,411,270,25,0,0,2254
LGA47140,85,281,773,620,503,384,98,5,0,2751,104,327,713,646,539,378,91,23,4,2831,3200,6625,15297,14897,12388,9334,1870,140,13,63767
LGA47290,0,0,4,3,6,6,0,0,0,25,0,4,4,9,0,9,4,0,0,26,56,56,187,182,186,195,86,9,6,967
LGA47490,0,0,8,5,5,9,3,0,0,44,0,5,8,7,10,5,0,3,0,29,44,45,161,192,225,190,97,21,0,975
LGA47630,19,22,29,30,30,20,8,0,0,152,8,6,12,29,14,19,13,0,0,112,205,325,672,667,768,673,300,57,3,3670
LGA47700,91,244,440,404,489,378,124,12,0,2181,62,124,296,354,311,240,73,19,5,1480,3005,4588,9926,11273,10970,8499,2077,168,7,50516
LGA47800,0,10,12,11,10,9,3,0,0,64,3,5,10,13,18,11,13,9,0,88,105,168,404,394,444,548,209,64,9,2351
LGA47910,0,4,4,14,7,8,5,0,0,32,9,0,0,3,10,6,3,5,0,43,72,58,197,224,253,274,109,26,0,1206
LGA47980,27,51,129,115,135,110,46,9,0,624,12,49,105,101,90,86,37,13,4,498,942,1863,4033,4288,4267,3217,1134,149,16,19908
LGA48050,7,22,52,38,51,55,10,3,0,243,11,4,18,22,33,25,19,9,6,153,362,363,740,959,1136,1269,458,88,10,5378
LGA48130,4,6,17,11,24,9,8,0,0,81,8,10,25,15,27,30,11,4,0,124,161,225,466,538,622,587,223,41,3,2869
LGA48260,3,13,21,15,25,17,6,0,0,95,9,11,17,18,19,10,8,5,0,93,198,359,744,770,835,671,276,54,9,3914
LGA48340,10,22,35,33,33,33,13,0,0,183,10,14,16,30,52,31,21,10,3,186,344,328,758,949,1166,1108,444,90,9,5200
LGA48410,47,145,320,244,257,176,57,9,0,1258,36,121,286,190,179,96,36,15,6,967,1447,3653,9287,7191,5877,4280,1079,136,12,32970
LGA48540,13,29,57,47,65,52,17,0,0,282,20,26,46,53,60,58,8,4,0,273,522,776,1892,1671,2044,1627,304,34,0,8870
LGA48640,6,0,3,0,0,3,5,0,0,13,6,0,8,0,3,5,5,0,0,24,32,30,102,122,117,109,49,4,0,565
LGA48750,0,10,9,9,18,20,7,0,0,71,6,4,14,14,17,23,11,4,0,89,130,125,275,358,495,624,233,37,9,2291
LGA48830,5,11,29,22,17,40,10,0,0,144,7,9,13,21,31,32,15,10,3,136,166,259,603,713,844,1092,393,81,8,4168
LGA49399,3,0,4,4,11,8,3,0,0,37,0,3,12,14,10,14,8,0,0,66,63,122,269,232,322,304,101,16,3,1424
LGA49499,0,0,9,0,3,4,0,0,0,22,0,5,3,9,8,8,0,4,0,42,32,61,211,156,128,106,26,4,0,724
LGA49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
LGA50080,55,84,147,140,125,131,52,5,0,734,63,53,99,104,126,104,45,13,6,617,1308,1250,2931,3285,3922,3558,1155,170,18,17599
LGA50210,84,193,471,450,334,202,59,6,0,1791,120,219,650,622,456,282,72,17,7,2444,2317,3799,10371,12042,8338,5989,1443,155,9,44453
LGA50250,3,14,17,23,9,8,0,0,0,73,13,19,29,32,33,12,5,0,0,145,104,236,1031,1091,733,526,92,11,0,3828
LGA50280,14,22,56,66,52,41,11,0,0,260,18,13,60,89,87,62,30,9,0,363,458,340,1339,2115,1955,1480,528,77,12,8297
LGA50350,11,37,84,60,49,35,16,3,0,291,13,19,77,91,82,60,17,0,0,359,359,633,1762,1923,1724,1317,345,36,0,8098
LGA50420,43,142,369,316,284,220,85,8,0,1472,50,151,498,392,292,228,68,21,0,1701,1434,3231,9460,8630,6893,5201,1534,160,12,36553
LGA50490,28,95,236,207,135,105,39,3,0,843,26,108,342,246,190,116,34,0,7,1076,798,2184,6591,4983,3707,2831,775,82,9,21968
LGA50560,0,0,0,6,3,3,3,0,0,16,0,0,3,3,6,8,3,0,0,28,22,22,79,111,141,159,100,20,0,651
LGA50630,0,0,5,6,0,4,0,0,0,25,0,0,5,5,3,3,4,3,0,22,18,45,114,160,183,185,50,15,0,759
LGA50770,0,5,0,4,5,4,0,0,0,19,0,4,4,3,4,5,6,3,0,31,32,55,91,159,179,177,76,39,0,807
LGA50840,4,5,15,8,17,12,8,0,0,73,5,6,9,9,7,16,11,0,0,76,102,122,290,406,532,564,210,37,5,2261
