LGA_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
LGA43220,6,0,3,0,0,0,0,0,0,16,7,3,4,8,0,3,0,6,0,30,47,0,22,10,13,6,13,14,0,123,4,0,0,0,5,0,0,5,0,15,10,0,0,5,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,6,3,16,93,44,33,26,25,6,14,30,4,281
LGA43360,16,3,0,5,4,5,0,3,0,41,15,12,3,18,8,6,0,0,0,57,65,6,59,26,12,13,18,42,0,243,6,0,0,8,5,0,0,4,0,25,3,0,0,0,3,3,0,7,4,29,3,4,0,0,0,0,0,0,0,10,5,0,5,0,3,5,0,7,0,19,139,93,76,73,39,29,23,82,5,559
LGA43650,55,67,27,72,54,11,4,6,0,300,113,82,47,158,85,22,16,20,6,551,299,112,789,317,270,156,153,239,37,2369,24,11,12,16,36,7,11,22,0,149,26,7,11,24,28,11,20,9,3,138,4,6,8,0,9,0,0,8,0,35,8,4,13,10,6,9,9,19,14,94,765,1086,964,705,591,271,226,359,65,5033
LGA43710,28,29,7,17,10,0,0,4,0,101,38,15,15,39,31,6,7,12,0,169,132,29,232,106,75,53,47,78,19,774,12,0,0,10,9,10,4,4,0,57,18,4,9,13,9,3,0,5,3,61,4,0,9,3,5,0,0,4,0,30,17,7,11,6,6,0,5,10,5,74,316,371,289,223,174,89,72,131,38,1696
LGA43790,47,39,10,29,23,3,6,12,3,178,81,33,22,80,48,12,11,30,0,314,224,50,389,224,149,84,90,187,26,1426,19,3,13,15,20,17,3,25,3,114,18,0,0,20,13,12,10,15,4,94,4,0,0,0,0,4,0,0,0,13,17,5,5,13,4,0,13,19,5,93,526,576,464,454,287,140,142,330,49,2962
LGA44000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,16,9,14,0,0,0,0,0,0,0,28
LGA44060,279,474,176,407,312,88,58,80,29,1904,502,554,415,893,530,178,126,153,55,3410,964,551,3250,1558,1303,550,452,677,132,9430,59,31,69,88,127,87,29,75,8,567,86,70,85,158,161,96,42,64,14,781,30,90,28,53,36,21,12,24,6,294,58,89,54,107,83,44,27,68,118,645,4040,11250,4866,5369,4218,1703,994,1710,559,34720
LGA44210,36,10,13,19,23,4,0,10,0,109,48,17,13,49,20,6,7,13,7,171,163,44,303,153,77,52,82,151,26,1045,15,3,13,10,15,9,9,27,0,102,8,0,3,17,11,3,6,10,4,63,4,0,0,3,5,0,4,4,0,16,13,5,10,9,4,6,5,17,13,87,352,252,374,290,173,89,120,254,51,1964
LGA44340,273,456,118,221,246,70,22,50,10,1465,415,394,232,397,335,130,32,81,27,2045,658,318,1573,676,581,327,191,285,62,4662,31,29,43,49,78,44,8,36,4,316,107,77,50,81,108,57,13,21,4,514,32,58,21,21,29,9,3,16,0,190,67,88,38,56,40,33,13,30,36,398,4347,11251,2579,2646,2774,1097,431,871,295,26278
LGA44550,182,198,82,153,127,51,19,48,17,863,266,281,164,357,224,96,32,70,12,1507,614,276,1776,710,604,332,318,402,71,5099,34,23,43,39,67,42,25,46,7,325,50,45,37,79,82,45,19,35,4,390,18,21,15,17,15,8,0,14,0,106,43,30,36,38,28,19,17,30,32,279,2097,3854,2359,1887,1639,773,472,778,203,14056
LGA44620,59,84,12,59,33,21,4,20,0,295,90,125,51,200,101,44,18,28,11,668,344,151,1118,720,368,297,305,287,49,3645,22,4,22,42,34,43,14,40,0,229,21,8,12,56,45,26,14,25,4,216,8,10,4,6,6,3,5,4,0,46,15,7,26,44,17,28,18,37,21,219,814,1679,1294,1356,720,499,403,500,96,7364
LGA44830,17,4,0,7,10,3,0,0,0,39,24,16,7,23,10,0,4,0,0,78,83,15,81,62,22,12,33,32,4,339,5,0,0,6,0,0,5,6,0,18,3,0,0,0,6,0,4,0,0,18,0,0,0,0,0,0,0,0,0,4,3,0,0,0,4,0,3,5,3,26,186,167,91,107,58,18,51,53,12,748
LGA45040,36,53,17,59,35,7,6,15,0,230,74,75,41,149,81,24,10,39,9,508,258,96,689,517,285,166,173,329,49,2556,14,7,20,42,32,35,15,44,0,202,22,9,13,42,20,23,16,22,0,171,9,5,4,8,4,0,4,10,0,40,23,5,23,29,14,19,17,39,16,188,570,785,844,964,539,323,248,584,98,4947
LGA45090,68,23,4,13,22,8,5,8,0,151,57,33,8,48,31,11,11,29,0,229,201,37,308,108,89,53,67,141,15,1024,19,5,7,7,8,9,9,21,3,87,31,0,4,13,6,11,9,13,0,87,7,4,0,0,3,0,4,6,0,27,28,3,8,12,7,10,4,33,13,108,557,438,361,240,226,120,108,302,48,2386
LGA45120,28,29,5,13,14,4,0,3,0,90,31,13,3,36,14,4,4,6,5,109,148,18,164,72,42,19,47,57,8,577,11,0,8,8,8,4,0,9,3,51,8,0,3,4,9,5,5,3,0,34,0,0,0,0,0,0,3,0,0,5,7,7,0,0,3,5,9,7,3,38,299,274,193,161,104,41,64,101,23,1255
LGA45290,135,212,80,91,104,46,22,26,6,724,189,198,129,173,178,68,33,73,9,1045,308,151,661,297,278,166,97,141,29,2132,15,17,17,33,26,22,0,18,0,150,38,29,23,46,75,32,4,8,0,268,12,36,12,17,14,11,0,7,3,118,35,38,11,26,29,7,6,14,23,195,2301,6619,1335,1399,1667,685,316,575,184,15082
LGA45340,493,770,299,744,543,154,62,130,24,3225,890,907,583,1672,1046,327,130,241,79,5878,2177,1206,7881,4003,2773,1414,1339,1936,397,23124,140,71,206,243,286,253,107,262,15,1592,177,121,151,371,318,158,78,171,27,1580,40,108,46,72,68,23,20,38,8,417,116,130,122,182,148,107,81,135,126,1139,6349,13299,9998,9253,6890,3039,2058,3327,852,55064
LGA45400,11,5,0,0,0,0,0,0,0,20,4,3,0,5,0,6,0,0,0,18,29,6,27,14,12,4,5,11,0,114,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,64,59,27,29,22,9,5,14,9,231
