LGA_CODE_2021,C21_OTT_DS_F_a,C21_OTT_DS_OD,C21_OTT_DS_NS,C21_OTT_Tot,C21_TT_NS_DS_Sep_house,C21_TT_NS_DS_SemiDRTHT,C21_TT_NS_DS_F_a,C21_TT_NS_DS_OD,C21_TT_NS_DS_NS,C21_TT_NS_Tot,C21_Tot_DS_Sep_house,C21_Tot_DS_SemiDRTHT,C21_Tot_DS_F_a,C21_Tot_DS_OD,C21_Tot_DS_NS,C21_Tot_Tot
LGA16200,35,5,0,164,375,19,55,10,3,463,5219,205,340,65,52,5889
LGA16260,936,21,14,1591,1239,608,2792,25,26,4693,36867,12751,46139,228,257,96232
LGA16350,117,4,3,904,2800,783,757,17,12,4373,59806,9628,7432,198,123,77183
LGA16380,182,13,11,980,1198,436,231,141,32,2036,27395,4904,3613,567,149,36631
LGA16400,36,9,9,612,1042,264,62,123,8,1507,24390,4155,1135,614,110,30415
LGA16490,32,5,9,275,782,195,203,24,13,1213,17849,3444,2857,101,57,24311
LGA16550,598,12,0,901,423,365,1792,34,22,2637,14129,8920,30214,478,87,53835
LGA16610,0,9,0,186,710,105,65,47,0,930,8101,921,380,367,47,9820
LGA16700,521,0,3,908,561,292,1061,22,16,1953,20472,7203,22872,138,112,50800
LGA16900,71,10,5,380,821,211,102,65,8,1199,22630,4099,1381,372,45,28517
LGA16950,38,27,32,1063,2034,313,100,206,84,2737,39765,3761,972,1103,302,45896
LGA17000,8,3,3,145,410,66,31,37,0,529,7892,679,265,143,19,8998
LGA17040,24,10,15,307,529,28,72,26,28,680,7791,482,839,129,167,9417
LGA17080,0,5,14,164,402,33,18,24,8,491,5604,404,77,83,52,6228
LGA17100,171,6,0,296,206,34,662,5,18,920,5537,861,9947,97,84,16521
LGA17150,755,3,5,1330,1104,514,1024,43,22,2706,51517,11967,21610,332,123,85555
LGA17200,1090,17,12,1381,107,887,5823,114,92,7021,2188,18809,82612,654,524,104787
LGA17310,8,11,24,564,1407,279,66,98,25,1876,22047,2422,487,257,133,25341
LGA17350,0,0,4,75,117,16,0,3,4,137,2305,159,13,42,12,2527
LGA17400,5,10,5,128,290,10,21,13,0,337,3007,35,84,85,19,3233
LGA17420,285,0,0,989,1089,160,284,0,6,1545,49368,5425,6094,16,121,61028
LGA17550,279,31,15,939,1539,437,469,305,15,2762,26302,7507,5378,1322,174,40683
LGA17620,6,0,8,318,336,31,0,11,0,386,5324,424,42,80,21,5899
LGA17640,0,3,3,152,282,10,3,3,3,296,3457,69,18,32,18,3595
LGA17650,0,0,0,103,153,3,0,13,0,173,2324,59,19,37,4,2450
LGA17750,71,5,8,569,1018,134,206,36,36,1431,22125,1322,2472,156,82,26149
LGA17850,0,0,0,101,113,0,0,5,4,120,1238,3,47,12,5,1310
LGA17900,4,42,14,176,480,28,12,72,5,602,1758,96,37,406,120,2421
LGA17950,0,0,0,77,97,0,3,0,6,97,949,49,17,6,14,1037
LGA18020,7,3,7,155,536,11,11,17,0,584,3743,57,74,75,39,3990
LGA18050,316,8,0,448,167,191,1295,66,10,1722,4537,5129,18814,501,65,29041
LGA18100,3,0,0,64,102,5,5,0,0,118,1497,44,53,8,3,1611
LGA18200,0,0,0,91,322,33,20,52,10,438,2650,136,48,101,23,2952
LGA18250,368,3,0,612,244,61,559,6,7,883,12565,2203,13571,85,47,28465
LGA18350,26,3,0,499,820,70,34,28,3,956,19253,1344,497,185,40,21320
LGA18400,11,4,3,479,733,42,5,14,3,796,17026,646,172,120,43,18010
LGA18450,487,16,9,1334,1925,634,1060,61,31,3710,56782,10376,15889,639,183,83868
LGA18500,428,3,10,587,179,141,637,20,24,992,5051,4741,12822,209,67,22894
LGA18710,7,3,5,166,266,17,17,5,14,320,5894,219,98,27,46,6277
LGA19399,0,3,4,38,37,6,0,7,3,58,342,32,10,29,54,467
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20110,0,3,7,148,354,42,12,13,4,423,5300,304,62,79,32,5779
LGA20260,0,3,0,158,287,35,0,22,0,343,4443,327,17,71,16,4867
LGA20570,22,4,0,670,1599,447,104,55,11,2213,39408,5725,1225,213,90,46650
LGA20660,134,0,4,706,1022,342,216,17,8,1595,37038,8028,3849,53,51,49024
LGA20740,14,10,5,355,1033,95,22,40,0,1195,16478,1075,292,231,38,18102
LGA20830,51,34,0,409,1083,70,63,60,4,1280,20551,952,648,374,34,22560
LGA20910,212,4,6,644,695,318,337,26,8,1380,24333,8906,5625,279,41,39190
LGA21010,0,0,0,128,413,62,0,43,5,520,5729,636,6,66,19,6461
LGA21110,414,3,9,1185,850,366,817,36,8,2089,35498,12881,15959,251,86,64668
LGA21180,44,4,0,1106,3433,735,400,77,10,4654,54677,9523,3083,166,71,67522
LGA21270,3,7,0,109,236,10,15,14,0,281,2591,91,58,66,9,2813
LGA21370,0,5,0,380,881,142,5,86,0,1124,14313,1330,47,337,33,16057
LGA21450,25,0,0,811,1925,208,39,20,0,2185,37648,3174,373,156,40,41387
LGA21610,120,0,6,1707,5070,743,98,15,16,5942,106060,10556,1086,149,97,117951
LGA21670,0,9,0,128,424,47,14,21,4,509,5557,424,72,124,25,6198
LGA21750,0,7,4,213,533,92,9,11,0,646,8691,719,47,114,28,9593
LGA21830,0,3,3,314,430,34,0,10,6,483,6433,269,12,36,15,6769
LGA21890,102,9,3,854,1307,863,527,115,17,2824,34623,16896,9785,457,53,61810
LGA22110,6,13,4,422,1283,149,33,102,18,1584,19183,1467,204,451,84,21385
LGA22170,64,4,0,932,2034,581,195,136,3,2952,43969,9546,1467,450,59,55490
LGA22250,0,4,0,139,296,26,3,62,8,393,4339,213,10,108,27,4700
LGA22310,311,3,6,883,802,517,796,15,5,2132,28188,14206,17116,224,65,59790
LGA22410,7,5,0,191,480,48,15,22,3,570,8025,481,108,131,16,8766
LGA22490,0,0,0,128,426,7,0,8,0,445,8541,98,7,21,8,8673
LGA22620,5,3,0,622,2220,330,74,74,6,2703,44584,3596,499,267,108,49063
LGA22670,197,6,0,914,2000,700,509,60,50,3312,38385,9736,5738,278,110,54254
LGA22750,36,62,11,1896,3906,864,197,159,13,5140,92914,11622,2772,783,164,108252
LGA22830,0,100,0,572,1560,324,19,300,6,2207,23203,2528,89,828,53,26699
LGA22910,12,3,0,168,499,25,23,15,0,554,7017,207,118,107,19,7469
LGA22980,0,0,0,89,108,11,3,0,3,123,2354,82,29,28,10,2498
LGA23110,35,3,0,413,1083,417,194,8,6,1707,24873,8621,2528,81,53,36149
LGA23190,11,9,0,186,370,41,47,15,7,482,7810,397,408,69,11,8694
LGA23270,37,0,3,900,3693,674,264,56,17,4703,69279,7390,2479,175,83,79413
LGA23350,7,3,3,142,385,26,9,31,13,458,6589,255,43,105,35,7038
LGA23430,322,7,0,963,1127,629,528,60,4,2344,36711,16070,9616,376,52,62830
LGA23670,43,6,5,1301,1458,423,129,3,3,2026,48988,8254,1643,58,40,58979
LGA23810,40,6,0,420,1860,247,217,62,0,2387,28498,2020,1898,207,46,32665
LGA23940,0,5,4,147,355,21,0,22,3,405,3232,96,3,91,15,3435
LGA24130,0,6,0,274,865,58,0,14,3,939,17702,1057,62,122,21,18960
LGA24210,302,0,6,1088,871,259,243,7,0,1388,32839,7630,5180,27,40,45720
LGA24250,0,0,3,145,302,22,3,12,0,335,4047,142,16,59,15,4276
LGA24330,74,0,0,437,665,494,810,14,13,1993,17263,8535,9379,242,57,35472
LGA24410,15,0,0,584,1095,200,94,20,0,1408,38399,3879,1803,34,50,44163
LGA24600,1252,9,10,1474,48,306,5111,141,83,5682,1638,8420,66308,280,314,76969
LGA24650,9,4,5,639,2859,409,60,30,9,3365,52184,4674,465,158,60,57535
LGA24780,73,20,8,549,1427,212,197,104,13,1948,19403,1854,1293,548,78,23170
LGA24850,0,3,3,266,1022,104,7,69,8,1210,16798,1174,42,120,30,18168
LGA24900,0,13,4,318,758,107,0,59,0,929,11462,990,30,286,21,12793
LGA24970,558,3,4,1555,1522,539,686,14,7,2758,47319,10996,10844,45,67,69265
LGA25060,132,0,0,651,818,419,899,18,5,2166,27118,10532,11839,168,39,49697
LGA25150,0,4,5,296,639,63,8,17,0,736,13064,890,94,84,17,14150
LGA25250,134,8,0,894,1461,908,721,116,10,3206,37329,19523,13283,407,89,70629
LGA25340,99,17,3,1975,3000,501,121,132,7,3770,58881,7449,2001,589,63,68977
LGA25430,0,0,0,145,492,26,0,18,0,533,8564,273,20,59,19,8937
LGA25490,0,0,0,316,437,16,0,24,0,473,6640,194,10,52,9,6908
LGA25620,0,7,5,144,534,7,5,21,3,574,6321,121,9,171,26,6639
LGA25710,16,0,0,238,522,21,34,6,0,581,19978,747,642,18,13,21392
LGA25810,8,0,0,138,308,14,14,44,3,385,4867,168,157,108,13,5307
LGA25900,429,6,6,683,157,542,2479,89,27,3294,4400,11961,34983,656,110,52106
LGA25990,0,0,0,99,251,3,0,9,0,263,3144,33,9,45,8,3232
LGA26080,0,0,0,44,99,6,0,0,0,108,1493,104,36,18,4,1658
LGA26170,11,0,0,289,829,29,0,16,0,882,12370,357,112,116,18,12972
LGA26260,3,0,6,263,354,18,16,3,0,398,6728,319,114,62,13,7234
LGA26350,420,43,0,777,413,362,1611,46,10,2436,13190,9299,26719,383,72,49657
LGA26430,0,4,0,135,406,23,6,11,0,444,4860,202,12,88,3,5170
LGA26490,3,5,5,366,584,53,7,17,3,663,13329,833,101,91,30,14380
LGA26610,3,11,4,208,607,37,56,66,13,782,7263,442,449,284,66,8505
LGA26670,3,0,0,89,213,6,0,3,0,223,2536,38,19,31,0,2630
LGA26700,0,0,0,213,639,232,5,28,4,910,11158,1259,11,102,16,12547
LGA26730,48,3,0,255,546,104,45,61,4,757,12153,1685,673,202,20,14738
LGA26810,16,5,0,428,1154,60,54,52,4,1333,17211,681,709,243,49,18888
LGA26890,0,0,0,123,153,3,6,0,0,163,1735,29,25,8,5,1803
LGA26980,222,0,4,1533,1074,737,562,3,10,2387,41662,15771,7585,30,57,65112
LGA27070,59,3,4,1079,2898,569,231,25,13,3729,67711,8621,2359,50,57,78791
LGA27170,3,5,8,212,695,196,25,61,4,981,15087,1578,303,98,25,17094
LGA27260,190,6,4,1168,4594,632,192,52,8,5480,82853,8939,2214,135,64,94206
LGA27350,281,7,0,630,155,514,1458,65,13,2199,5233,15730,21373,414,61,42807
LGA27450,60,7,5,936,2022,163,28,52,4,2268,54125,3049,336,272,80,57857
LGA27630,0,0,0,97,201,9,5,6,0,226,2802,60,23,46,0,2929
LGA29399,20,0,0,35,20,6,35,5,9,70,144,29,303,5,39,514
LGA29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA30250,6,0,0,10,14,0,3,0,0,25,220,7,13,0,6,253
LGA30300,0,6,7,153,126,16,0,18,0,166,1527,146,26,175,29,1900
LGA30370,11,9,5,348,675,29,44,67,48,860,5367,144,220,247,90,6073
LGA30410,0,9,11,115,125,3,7,20,8,158,1171,8,32,220,92,1523
LGA30450,0,0,4,18,15,0,0,26,0,38,123,0,8,70,18,207
LGA30760,0,0,0,81,41,0,0,16,0,58,801,0,7,71,19,907
LGA30900,0,6,0,30,17,0,0,12,3,35,135,8,7,67,13,230
LGA31000,2431,12,62,7475,7931,2832,7543,519,187,19014,297791,54918,126365,1816,1192,482077
LGA31750,0,3,11,27,6,0,0,0,3,13,102,0,7,44,36,190
LGA31820,58,38,11,977,1816,280,232,257,108,2687,34434,2861,2532,1646,307,41783
LGA31900,0,8,6,185,451,100,7,91,19,661,6102,632,45,267,115,7155
LGA31950,0,16,4,39,34,0,0,110,3,148,114,0,6,307,35,461
LGA32080,87,23,20,855,2552,714,1432,280,98,5084,46405,6661,11027,1287,538,65917
LGA32250,3,10,9,91,60,0,10,58,15,145,603,10,72,602,79,1365
LGA32260,5,17,12,293,952,84,122,122,45,1317,10431,822,626,962,231,13061
LGA32270,20,57,45,651,837,80,68,139,21,1148,8981,698,611,634,279,11209
LGA32310,0,9,6,200,518,75,13,91,10,701,4133,434,21,455,97,5141
LGA32330,0,0,0,0,10,0,0,0,0,14,279,7,29,0,0,320
LGA32450,11,17,15,143,123,4,16,187,3,342,970,29,130,594,46,1769
LGA32500,0,60,9,173,271,19,3,237,18,545,1547,103,12,949,131,2745
LGA32600,0,0,4,10,14,0,0,15,0,32,90,0,0,63,9,171
LGA32750,0,0,0,15,31,0,0,0,0,31,112,6,3,27,7,151
LGA32770,0,0,0,26,16,0,0,0,0,16,282,3,21,0,3,312
LGA32810,11,18,10,133,354,87,78,40,11,569,3786,715,660,505,202,5863
LGA33100,0,23,19,69,49,0,5,56,16,121,227,0,7,390,105,721
LGA33200,0,0,9,49,72,15,3,15,6,105,522,109,6,89,58,789
LGA33220,83,34,33,1040,2030,417,161,172,48,2828,40135,4001,1364,1524,526,47553
LGA33360,24,33,19,372,1176,138,180,287,25,1804,21060,1549,1892,1014,183,25699
LGA33430,1132,30,30,3401,5729,3040,5429,501,121,14818,134797,49833,55658,2311,874,243469
LGA33610,5,3,5,219,288,32,74,13,0,407,3696,264,144,106,50,4252
LGA33620,18,14,35,407,1196,96,60,167,9,1526,19820,1029,451,714,205,22219
LGA33800,0,6,5,156,305,40,18,36,9,407,4312,235,143,269,118,5072
LGA33830,0,0,0,14,22,0,0,0,0,24,274,6,7,15,0,305
LGA33960,45,4,13,668,3404,825,190,142,21,4577,72070,7860,1499,384,138,81945
LGA33980,15,13,22,516,668,72,20,47,21,827,6380,834,149,395,179,7935
LGA34420,0,0,7,21,22,13,0,0,0,34,210,62,0,6,5,286
