LGA_CODE_2021,Med_age_persns_C2011,Med_age_persns_C2016,Med_age_persns_C2021,Med_mortg_rep_mon_C2011,Med_mortg_rep_mon_C2016,Med_mortg_rep_mon_C2021,Med_person_inc_we_C2011,Med_person_inc_we_C2016,Med_person_inc_we_C2021,Med_rent_weekly_C2011,Med_rent_weekly_C2016,Med_rent_weekly_C2021,Med_Famly_inc_we_C2011,Med_Famly_inc_we_C2016,Med_Famly_inc_we_C2021,Avg_num_p_per_brm_C2011,Avg_num_p_per_brm_C2016,Avg_num_p_per_brm_C2021,Med_tot_hh_inc_wee_C2011,Med_tot_hh_inc_wee_C2016,Med_tot_hh_inc_wee_C2021,Average_hh_size_C2011,Average_hh_size_C2016,Average_hh_size_C2021
LGA33620,43,46,48,1343,1300,1327,413,479,554,225,250,290,947,1132,1359,0.8,0.8,0.8,805,939,1115,2.4,2.4,2.4
LGA33800,46,50,51,1249,1300,1170,479,538,644,165,200,200,1196,1349,1555,0.8,0.8,0.7,916,1041,1158,2.4,2.3,2.2
LGA33830,25,26,28,0,1302,975,295,327,386,98,109,120,775,780,874,1.3,1.2,1.1,887,796,836,3.9,3.3,3.1
LGA33960,32,32,33,1733,1600,1600,592,667,795,280,310,330,1398,1581,1936,0.8,0.8,0.8,1234,1410,1668,2.8,2.8,2.8
LGA33980,31,32,34,1900,1521,1213,1052,1030,1314,68,100,113,2666,2365,2910,0.9,0.8,0.8,2582,2138,2420,2.9,2.7,2.6
LGA34420,28,29,29,0,0,0,285,342,341,45,70,115,764,841,858,1.4,1.2,1.3,1095,944,1132,4.1,3.4,3.7
LGA34530,41,42,43,1900,1875,1733,566,618,765,280,300,350,1432,1597,2008,0.8,0.8,0.8,1182,1300,1625,2.6,2.5,2.5
LGA34570,25,26,27,0,0,0,307,341,420,120,115,125,1008,810,959,1.2,1.3,1.2,1154,900,1066,3.8,3.8,3.4
LGA34580,37,39,39,1517,1517,1500,462,535,665,250,285,300,1163,1376,1684,0.8,0.8,0.8,1003,1198,1457,2.7,2.7,2.7
LGA34590,33,34,34,1800,1733,1733,576,635,736,305,340,350,1381,1546,1825,0.8,0.8,0.8,1264,1416,1616,2.9,2.9,2.9
LGA34710,34,40,40,1300,1300,1083,670,726,938,160,200,200,1432,1609,2094,0.8,0.7,0.7,1172,1276,1561,2.5,2.3,2.3
LGA34770,36,37,38,2156,1950,1733,704,698,866,320,280,340,1820,1774,2215,0.9,0.8,0.8,1578,1456,1853,2.7,2.5,2.6
LGA34800,34,39,36,959,669,550,839,834,1074,128,133,130,1448,1537,2297,0.8,0.8,0.8,1158,1135,1733,2.4,2.4,2.5
LGA34830,32,27,27,0,0,0,305,365,365,53,124,120,745,1015,924,1.1,1,1.2,927,962,1010,3.2,3.4,3.6
LGA34860,36,36,38,1408,1400,1300,645,741,875,192,230,220,1441,1688,2042,0.8,0.8,0.7,1213,1369,1588,2.6,2.5,2.5
LGA34880,41,43,43,1500,1517,1517,460,541,655,190,245,275,1086,1274,1596,0.9,0.9,0.9,896,1045,1269,2.5,2.5,2.5
LGA35010,37,38,39,1928,1781,1777,581,652,761,301,340,360,1451,1638,1957,0.8,0.8,0.8,1258,1413,1648,2.7,2.7,2.6
LGA35250,26,27,29,0,1647,0,286,352,285,70,120,104,697,762,624,1.4,1.3,1.2,978,979,855,3.9,3.7,3.5
LGA35300,30,31,31,2000,1885,1536,952,997,1155,270,280,270,2394,2382,2647,1,0.9,0.9,2062,2132,2231,2.7,2.6,2.6
LGA35600,37,39,43,1059,997,867,568,672,798,150,171,170,1256,1490,1766,0.8,0.8,0.7,984,1115,1294,2.5,2.4,2.2
LGA35670,23,25,27,0,2045,0,260,280,342,89,120,121,691,776,924,1.3,1.2,1.3,806,826,788,4.1,3.7,3.7
LGA35740,46,48,50,1733,1733,1900,506,595,722,330,385,470,1148,1403,1800,0.8,0.8,0.8,947,1184,1467,2.4,2.4,2.4
LGA35760,44,46,49,1018,1083,1000,440,501,555,135,176,200,948,1159,1317,0.8,0.8,0.8,788,917,1021,2.3,2.3,2.2
