LGA_CODE_2021,C11_SH_FH_CF_no_ch,C11_SH_FH_CF_w_ch,C11_SH_FH_One_PFam,C11_SH_FH_oth_fa,C11_SH_FH_Tot,C11_SH_LP_H,C11_SH_GH,C11_SH_OH,C11_SH_Tot,C11_SDRTHT1S_FH_CF_no_ch,C11_SDRTHT1S_FH_CF_w_ch,C11_SDRTHT1S_FH_One_PFam,C11_SDRTHT1S_FH_oth_fa,C11_SDRTHT1S_FH_Tot,C11_SDRTHT1S_LP_H,C11_SDRTHT1S_GH,C11_SDRTHT1S_OH,C11_SDRTHT1S_Tot,C11_SDRTHT2S_FH_CF_no_ch,C11_SDRTHT2S_FH_CF_w_ch,C11_SDRTHT2S_FH_One_PFam,C11_SDRTHT2S_FH_oth_fa,C11_SDRTHT2S_FH_Tot,C11_SDRTHT2S_LP_H,C11_SDRTHT2S_GH,C11_SDRTHT2S_OH,C11_SDRTHT2S_Tot,C11_SDRTHT_FH_CF_no_ch,C11_SDRTHT_FH_CF_w_ch,C11_SDRTHT_FH_One_PFam,C11_SDRTHT_FH_oth_fa,C11_SDRTHT_FH_Tot,C11_SDRTHT_LP_H,C11_SDRTHT_GH,C11_SDRTHT_OH,C11_SDRTHT_Tot,C11_F_a_1_2_FH_CF_no_ch,C11_F_a_1_2_FH_CF_w_ch,C11_F_a_1_2_FH_One_PFam,C11_F_a_1_2_FH_oth_fa,C11_F_a_1_2_FH_Tot,C11_F_a_1_2_LP_H,C11_F_a_1_2_GH,C11_F_a_1_2_OH,C11_F_a_1_2_Tot,C11_F_a_3_FH_CF_no_ch,C11_F_a_3_FH_CF_w_ch,C11_F_a_3_FH_One_PFam,C11_F_a_3_FH_oth_fa,C11_F_a_3_FH_Tot,C11_F_a_3_LP_H,C11_F_a_3_GH,C11_F_a_3_OH,C11_F_a_3_Tot,C11_F_a_4_8_FH_CF_no_ch,C11_F_a_4_8_FH_CF_w_ch,C11_F_a_4_8_FH_One_PFam,C11_F_a_4_8_FH_oth_fa,C11_F_a_4_8_FH_Tot,C11_F_a_4_8_LP_H,C11_F_a_4_8_GH,C11_F_a_4_8_OH,C11_F_a_4_8_Tot,C11_F_a_9m_FH_CF_no_ch,C11_F_a_9m_FH_CF_w_ch,C11_F_a_9m_FH_One_PFam,C11_F_a_9m_FH_oth_fa,C11_F_a_9m_FH_Tot,C11_F_a_9m_LP_H,C11_F_a_9m_GH,C11_F_a_9m_OH,C11_F_a_9m_Tot,C11_F_a_a_h_FH_CF_no_ch,C11_F_a_a_h_FH_CF_w_ch,C11_F_a_a_h_FH_One_PFam,C11_F_a_a_h_FH_oth_fa,C11_F_a_a_h_FH_Tot,C11_F_a_a_h_LP_H,C11_F_a_a_h_GH,C11_F_a_a_h_OH,C11_F_a_a_h_Tot,C11_F_a_Tot_FH_CF_no_ch,C11_F_a_Tot_FH_CF_w_ch,C11_F_a_Tot_FH_One_PFam,C11_F_a_Tot_FH_oth_fa,C11_F_a_Tot_FH_Tot,C11_F_a_Tot_LP_H,C11_F_a_Tot_GH,C11_F_a_Tot_OH,C11_F_a_Tot_Tot,C11_OD_C_c_hb_FH_CF_no_ch,C11_OD_C_c_hb_FH_CF_w_ch,C11_OD_C_c_hb_FH_One_PFam,C11_OD_C_c_hb_FH_oth_fa,C11_OD_C_c_hb_FH_Tot,C11_OD_C_c_hb_LP_H,C11_OD_C_c_hb_GH,C11_OD_C_c_hb_OH,C11_OD_C_c_hb_Tot,C11_OD_Ih_t_s_FH_CF_no_ch,C11_OD_Ih_t_s_FH_CF_w_ch,C11_OD_Ih_t_s_FH_One_PFam,C11_OD_Ih_t_s_FH_oth_fa,C11_OD_Ih_t_s_FH_Tot,C11_OD_Ih_t_s_LP_H,C11_OD_Ih_t_s_GH,C11_OD_Ih_t_s_OH,C11_OD_Ih_t_s_Tot,C11_OD_H_f_so_FH_CF_no_ch,C11_OD_H_f_so_FH_CF_w_ch,C11_OD_H_f_so_FH_One_PFam,C11_OD_H_f_so_FH_oth_fa,C11_OD_H_f_so_FH_Tot,C11_OD_H_f_so_LP_H,C11_OD_H_f_so_GH,C11_OD_H_f_so_OH,C11_OD_H_f_so_Tot,C11_OD_Tot_FH_CF_no_ch,C11_OD_Tot_FH_CF_w_ch,C11_OD_Tot_FH_One_PFam,C11_OD_Tot_FH_oth_fa,C11_OD_Tot_FH_Tot,C11_OD_Tot_LP_H,C11_OD_Tot_GH,C11_OD_Tot_OH,C11_OD_Tot_Tot,C11_DS_ns_FH_CF_no_ch,C11_DS_ns_FH_CF_w_ch,C11_DS_ns_FH_One_PFam,C11_DS_ns_FH_oth_fa,C11_DS_ns_FH_Tot,C11_DS_ns_LP_H,C11_DS_ns_GH,C11_DS_ns_OH,C11_DS_NS_Tot,C11_Tot_FH_CF_no_ch,C11_Tot_FH_CF_w_ch,C11_Tot_FH_One_PFam,C11_Tot_FH_oth_fa,C11_Tot_FH_Tot,C11_Tot_LP_H,C11_Tot_GH,C11_Tot_OH,C11_Tot_Tot,C16_SH_FH_CF_no_ch,C16_SH_FH_CF_w_ch,C16_SH_FH_One_PFam,C16_SH_FH_oth_fa,C16_SH_FH_Tot,C16_SH_LP_H,C16_SH_GH,C16_SH_OH,C16_SH_Tot,C16_SDRTHT1S_FH_CF_no_ch,C16_SDRTHT1S_FH_CF_w_ch,C16_SDRTHT1S_FH_One_PFam,C16_SDRTHT1S_FH_oth_fa,C16_SDRTHT1S_FH_Tot,C16_SDRTHT1S_LP_H,C16_SDRTHT1S_GH,C16_SDRTHT1S_OH,C16_SDRTHT1S_Tot,C16_SDRTHT2S_FH_CF_no_ch,C16_SDRTHT2S_FH_CF_w_ch,C16_SDRTHT2S_FH_One_PFam,C16_SDRTHT2S_FH_oth_fa,C16_SDRTHT2S_FH_Tot,C16_SDRTHT2S_LP_H,C16_SDRTHT2S_GH,C16_SDRTHT2S_OH,C16_SDRTHT2S_Tot,C16_SDRTHT_Tot_FH_CF_no_ch,C16_SDRTHT_Tot_FH_CF_w_ch,C16_SDRTHT_Tot_FH_One_PFam,C16_SDRTHT_Tot_FH_oth_fa,C16_SDRTHT_Tot_FH_Tot,C16_SDRTHT_Tot_LP_H,C16_SDRTHT_Tot_GH,C16_SDRTHT_Tot_OH,C16_SDRTHT_Tot_Tot,C16_F_a_1_2_FH_CF_no_ch,C16_F_a_1_2_FH_CF_w_ch,C16_F_a_1_2_FH_One_PFam,C16_F_a_1_2_FH_oth_fa,C16_F_a_1_2_FH_Tot,C16_F_a_1_2_LP_H,C16_F_a_1_2_GH,C16_F_a_1_2_OH,C16_F_a_1_2_Tot,C16_F_a_3_FH_CF_no_ch,C16_F_a_3_FH_CF_w_ch,C16_F_a_3_FH_One_PFam,C16_F_a_3_FH_oth_fa,C16_F_a_3_FH_Tot,C16_F_a_3_LP_H,C16_F_a_3_GH,C16_F_a_3_OH,C16_F_a_3_Tot,C16_F_a_4_8_FH_CF_no_ch,C16_F_a_4_8_FH_CF_w_ch
LGA37340,2795,2685,792,68,6329,1508,335,676,8850,77,46,41,3,167,74,14,42,295,104,76,45,0,225,100,22,72,423,180,121,81,3,388,173,37,109,713,243,100,134,15,495,617,114,301,1526,66,23,18,6,109,92,22,95,310,35,6,3,0,45,38,11,24,120,..,..,..,..,..,..,..,..,..,5,0,0,0,5,9,0,5,15,344,132,154,19,649,759,152,414,1974,155,27,9,0,182,225,18,1144,1568,11,3,0,0,15,25,0,46,89,6,6,0,0,19,4,0,4,30,176,34,5,0,216,255,24,1191,1683,5,7,0,0,12,12,0,11,37,3501,2983,1033,88,7600,2702,543,2407,13256,2943,2794,885,59,6679,1878,340,972,9866,83,44,41,0,169,229,23,67,494,109,56,62,8,228,201,65,99,581,189,95,100,12,399,429,90,161,1081,138,73,87,14,310,401,54,135,907,43,4,12,0,64,81,20,26,188,15,0
LGA37400,135,137,42,9,323,141,14,18,487,0,0,0,0,3,14,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,19,6,0,0,0,6,11,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,6,0,0,0,6,11,0,0,23,9,0,0,0,7,8,0,117,136,8,0,0,0,8,13,0,24,46,0,0,0,0,0,0,0,0,0,14,0,6,0,13,22,0,147,182,7,0,0,0,7,4,0,33,43,155,140,43,9,348,185,16,193,742,122,88,32,5,250,127,7,46,441,0,0,0,0,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,23,0,8,26,0,0,0,0,0,0,0,0,0,0,0
LGA37550,14,53,64,13,140,38,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,9,0,34,13,4,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,3,14,9,0,34,13,4,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,67,75,12,172,46,4,0,225,12,53,75,22,160,48,4,13,226,0,5,15,0,21,9,0,0,31,0,0,0,0,0,0,0,0,0,0,5,15,0,21,9,0,0,31,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
LGA37570,6,27,15,4,50,6,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,4,0,0,0,6,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,26,21,4,56,13,0,4,74,13,20,24,4,59,4,0,5,69,0,4,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0,0,6,3,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0
LGA37600,25,149,142,23,329,19,0,0,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,5,5,24,11,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,5,6,5,5,24,11,0,0,32,4,3,0,0,5,9,0,0,10,3,5,10,3,22,6,0,0,26,0,0,0,0,0,0,0,0,0,6,7,10,3,26,15,4,0,41,0,0,0,0,0,0,0,0,0,36,155,153,23,379,42,4,5,427,23,141,123,31,308,13,6,5,334,5,21,18,6,45,4,0,0,53,4,0,0,0,0,0,0,0,6,9,19,18,6,44,4,0,0,56,7,6,5,0,22,13,0,0,35,0,0,0,0,0,0,0,0,0,0,0
LGA39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA40070,347,228,59,18,659,276,80,69,1087,214,75,63,22,377,458,129,88,1042,617,193,91,55,963,596,343,170,2076,831,268,159,81,1338,1053,472,254,3120,270,71,39,21,394,514,125,167,1197,189,54,29,22,289,433,132,139,995,461,97,65,82,710,1147,500,531,2883,..,..,..,..,..,..,..,..,..,0,0,0,0,0,5,0,0,7,914,217,133,126,1397,2096,765,837,5088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,102,7,4,0,0,10,5,11,0,30,7,4,0,0,10,5,11,104,125,3,0,0,0,6,4,4,0,16,2105,717,350,226,3405,3446,1328,1264,9442,350,215,82,14,665,293,98,99,1154,252,99,44,10,402,490,136,132,1159,619,237,123,36,1009,676,323,208,2224,867,336,167,44,1409,1167,458,343,3382,138,40,21,11,216,347,92,111,751,196,64,34,19,315,410,159,172,1052,698,153
LGA40120,4183,5379,1050,77,10682,2225,228,275,13410,66,13,15,0,92,171,5,3,276,19,6,8,0,35,25,4,0,67,86,22,22,0,127,195,5,10,338,17,13,7,0,40,50,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,5,0,0,4,5,0,0,9,16,16,7,0,40,57,0,4,100,3,0,3,0,5,5,0,7,17,0,0,0,0,0,4,0,0,3,6,7,0,0,13,4,0,0,20,10,7,0,0,20,20,0,7,45,0,0,0,0,0,6,0,0,8,4293,5413,1088,78,10873,2508,231,301,13910,4302,5192,1108,85,10683,2308,205,495,13690,56,14,27,3,103,151,9,19,281,9,5,6,0,27,19,0,0,46,71,23,32,3,123,174,9,16,325,12,4,5,0,23,73,7,0,99,4,0,0,0,4,14,0,0,13,0,0
LGA40150,851,1106,268,22,2240,541,73,85,2943,0,7,0,0,8,0,0,0,8,3,0,0,0,7,7,0,0,9,3,6,4,0,14,7,0,0,19,0,0,0,0,0,22,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,21,4,0,0,0,3,9,0,4,20,5,0,0,0,5,0,0,0,7,0,0,0,0,0,3,0,0,9,4,0,5,0,8,10,0,3,30,0,0,0,0,0,0,0,0,0,859,1111,271,22,2265,577,74,93,3011,870,1102,280,23,2281,603,76,192,3152,0,4,0,0,3,11,0,3,23,0,0,0,0,0,0,0,0,0,0,4,0,0,3,11,0,3,23,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0
LGA40220,3421,2257,804,57,6542,2069,191,282,9086,116,6,17,6,142,205,6,9,356,20,6,10,0,33,18,0,6,56,133,13,22,6,176,216,9,15,412,20,3,10,0,40,126,5,12,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,6,20,3,15,0,44,127,5,10,186,18,9,0,0,24,50,3,30,106,3,5,0,0,10,6,0,0,18,12,8,0,3,16,4,0,4,28,29,12,0,5,49,62,6,31,146,0,0,0,0,4,5,0,0,9,3607,2297,849,65,6816,2480,211,340,9843,3671,2381,877,51,6980,2457,201,547,10186,36,8,11,3,57,140,3,11,212,28,11,0,0,36,18,0,11,73,64,15,15,3,95,160,8,23,289,20,6,10,0,30,133,3,19,182,0,0,0,0,0,0,0,0,0,0,0
LGA40250,76,179,91,14,363,107,11,37,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,11,29,3,7,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,7,0,0,0,11,29,3,7,53,0,0,0,0,0,7,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,17,0,0,0,0,0,0,0,3,3,84,184,91,14,374,147,9,57,587,89,165,80,28,356,89,8,76,541,9,0,0,0,10,20,4,23,59,0,0,0,0,0,0,0,0,0,9,0,0,0,10,20,4,23,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA40310,2688,2710,591,39,6032,1656,145,234,8069,67,29,45,3,145,171,14,7,335,0,0,0,0,0,0,0,0,4,68,27,45,3,146,171,14,11,338,46,10,28,0,80,179,5,21,290,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,..,..,..,..,..,..,..,..,..,0,0,0,0,0,7,0,0,7,43,10,24,3,82,185,5,21,297,15,3,0,0,23,25,3,23,75,0,0,0,0,5,0,0,0,5,3,6,0,0,13,6,0,0,21,29,11,4,0,32,28,3,23,91,0,0,0,0,3,0,0,0,9,2831,2754,670,42,6304,2039,165,289,8801,2757,2702,724,49,6230,1797,146,360,8534,128,15,40,3,184,290,9,23,517,0,3,5,0,6,0,0,5,14,125,17,46,3,193,294,8,29,526,8,6,5,0,23,106,0,16,143,0,0,0,0,0,0,0,0,3,0,0
LGA40430,372,209,65,5,653,294,20,46,1010,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,12,29,0,3,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,9,0,0,0,13,29,0,3,47,3,0,0,0,3,0,0,19,25,0,0,0,0,0,0,0,0,0,8,5,0,0,5,0,0,0,6,7,5,0,0,8,4,0,19,36,0,0,0,0,0,0,0,0,0,393,212,63,5,681,331,20,66,1094,363,204,73,4,644,304,19,71,1036,12,0,0,0,12,20,4,0,35,0,0,0,0,0,0,0,0,0,12,0,0,0,12,20,4,0,35,0,0,0,0,0,9,0,0,13,0,0,0,0,0,0,0,0,0,0,0
LGA40520,1166,1035,471,27,2700,824,66,130,3728,32,14,32,6,80,147,11,33,273,0,0,0,0,0,0,0,0,0,32,14,32,6,80,147,11,36,270,47,6,13,3,72,209,5,24,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,47,6,13,3,72,209,5,24,306,14,0,0,0,13,25,0,49,96,0,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,20,0,0,0,16,29,3,61,105,3,0,0,0,3,0,0,0,4,1262,1057,517,37,2871,1211,80,253,4420,1170,966,443,34,2608,925,87,218,3832,33,13,45,0,92,194,17,42,336,0,0,0,0,0,0,0,0,0,33,13,47,0,96,194,17,42,339,33,4,10,0,49,152,7,35,241,0,0,0,0,0,0,0,0,0,0,0
LGA40700,3383,4543,955,128,9003,2098,294,302,11699,465,180,135,21,805,801,66,61,1735,148,121,61,5,337,187,29,18,572,612,300,198,31,1148,981,95,80,2308,462,176,178,38,855,1504,119,135,2613,35,11,4,6,57,145,11,10,220,73,20,16,3,109,133,10,35,295,..,..,..,..,..,..,..,..,..,0,0,0,0,0,6,0,0,10,571,214,195,39,1022,1788,138,182,3138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,9,3,0,0,0,3,9,0,0,16,0,0,0,0,0,0,0,3,8,4572,5062,1351,201,11178,4881,533,573,17168,3234,4808,888,100,9029,1977,265,320,11595,616,378,239,30,1253,1319,87,98,2767,293,248,102,16,660,360,44,76,1137,909,625,340,37,1909,1688,135,177,3904,272,190,120,16,592,795,67,74,1532,13,4,8,0,29,87,8,17,130,43,20
LGA40910,4235,5432,1582,199,11444,3025,404,302,15169,355,287,219,28,888,753,73,45,1765,66,73,36,3,176,76,15,11,281,420,355,252,32,1063,835,90,60,2047,335,195,123,27,685,1085,54,82,1906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,4,4,0,0,9,3,5,0,13,341,198,125,28,688,1088,61,82,1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,9,3,0,0,0,4,6,0,0,13,0,0,0,0,0,4,0,0,5,4998,5985,1963,260,13204,4954,554,444,19151,3935,5222,1551,172,10881,2978,406,356,14623,608,638,306,43,1593,1216,81,117,3013,145,198,56,3,403,94,22,14,534,748,838,359,49,1997,1311,106,137,3550,266,224,135,19,641,835,74,68,1615,0,0,0,0,0,0,0,0,0,0,0
LGA41010,386,334,121,17,859,270,30,52,1212,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,8,6,0,0,16,62,0,3,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,8,6,0,0,16,62,0,3,83,6,0,0,0,9,18,0,112,135,0,0,0,0,0,0,0,0,8,4,0,0,0,3,0,0,0,6,9,5,0,0,17,22,0,113,150,0,0,0,0,5,0,0,7,11,400,345,128,17,885,352,36,182,1454,364,319,141,13,838,279,25,112,1245,3,0,0,0,3,10,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,3,14,0,0,21,8,0,0,0,11,45,0,3,57,0,0,0,0,0,0,0,0,0,0,0
LGA41060,8491,10230,3497,372,22592,6980,1072,824,31461,991,601,663,82,2336,2423,219,180,5159,450,324,228,37,1045,525,126,86,1785,1442,926,894,123,3376,2948,349,267,6946,807,357,372,75,1618,2626,254,222,4719,41,42,13,4,97,194,41,46,375,50,13,10,8,81,87,18,35,220,..,..,..,..,..,..,..,..,..,4,3,0,0,16,23,5,0,43,905,418,398,87,1808,2922,316,302,5355,15,0,0,0,15,9,0,76,96,0,0,0,0,0,3,0,3,3,9,7,4,0,24,27,10,3,65,25,7,6,0,41,36,10,86,167,0,5,0,0,9,4,0,0,15,10866,11588,4794,579,27820,12889,1742,1478,43940,7658,9587,3244,377,20868,6233,939,920,28962,1628,1137,867,120,3747,3529,330,356,7964,1217,1101,449,92,2863,1122,330,234,4547,2844,2236,1314,216,6607,4650,655,589,12505,531,319,280,57,1185,1804,164,248,3407,81,40,29,9,164,266,32,56,522,139,50
LGA41140,1171,911,248,16,2347,787,82,82,3297,8,4,7,0,18,43,0,0,67,0,0,0,0,0,0,0,0,0,8,4,7,0,18,43,0,0,67,3,5,0,0,7,61,0,7,74,0,0,0,0,0,0,0,0,0,6,0,0,0,6,3,0,3,15,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,9,5,0,0,15,67,0,5,87,0,0,0,0,0,4,0,43,46,0,0,0,0,0,0,0,0,0,11,3,5,0,14,3,0,4,21,13,6,5,0,20,8,0,39,75,0,0,0,0,0,0,0,3,6,1206,922,250,20,2397,918,87,134,3533,1208,847,280,10,2349,882,62,211,3499,21,0,4,0,35,86,4,13,131,0,0,0,0,0,0,0,0,0,23,0,4,0,34,91,4,13,132,8,0,0,0,9,20,0,6,37,0,0,0,0,0,0,0,0,0,0,0
LGA41190,225,193,41,5,466,206,16,11,700,0,0,0,0,0,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,17,0,0,0,0,0,0,0,0,4,4,0,0,0,3,0,0,0,3,3,0,0,0,4,10,0,12,23,0,0,0,0,0,0,0,0,0,228,198,41,5,470,216,16,19,724,220,175,43,0,441,209,13,80,733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA41330,163,120,44,7,336,312,14,85,753,5,5,0,0,7,6,0,3,23,0,0,0,0,0,0,0,0,0,5,5,0,0,7,6,0,3,23,3,0,0,0,7,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,3,0,0,0,7,4,0,0,11,0,0,0,0,0,9,0,26,39,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,28,45,3,0,0,0,3,0,0,8,12,172,128,44,7,354,336,17,130,841,157,107,60,9,333,314,13,146,797,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA41560,1827,1133,509,39,3508,1326,123,122,5088,66,8,8,0,88,149,3,3,246,5,8,3,0,22,5,0,4,29,75,16,15,0,104,156,4,12,274,8,0,9,0,17,50,0,26,93,0,0,0,0,0,0,0,0,0,4,0,0,0,4,19,0,3,28,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,14,0,7,0,21,72,0,26,123,12,3,0,0,14,15,0,58,92,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,11,3,0,0,18,21,0,63,97,0,0,0,0,0,0,0,0,6,1922,1155,530,42,3658,1572,131,222,5581,1938,1154,528,54,3672,1443,130,363,5610,56,0,21,0,76,195,6,25,300,3,0,4,0,6,6,0,4,16,64,4,19,0,87,195,8,24,314,45,3,6,0,53,87,0,14,147,0,0,0,0,0,0,0,0,0,0,0
LGA41750,119,114,21,4,258,121,10,21,413,5,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,5,0,0,0,0,0,5,0,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,13,0,0,0,0,0,5,6,43,53,0,0,0,0,0,0,0,0,4,8,3,0,0,9,0,0,0,10,11,3,0,0,11,9,6,42,65,0,0,0,0,0,0,0,0,0,132,122,21,4,277,138,12,73,495,136,105,20,4,261,105,3,28,401,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0
LGA41830,231,149,72,0,452,167,8,34,660,0,0,0,0,0,6,0,4,9,0,0,0,0,0,0,0,0,4,0,0,0,0,4,3,0,4,15,0,0,0,0,3,15,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,20,0,0,0,0,0,11,0,55,65,0,0,0,0,0,0,0,7,7,3,0,0,0,8,0,0,0,8,3,0,0,0,4,12,0,60,79,4,0,0,0,4,0,0,7,12,246,154,73,0,477,201,10,106,789,222,128,54,0,412,222,6,38,678,3,0,5,0,13,14,0,0,28,0,0,0,0,0,0,0,0,0,3,0,5,0,13,14,0,0,28,0,0,0,0,0,9,0,3,15,0,0,0,0,0,0,0,0,0,0,0
