LGA_CODE_2021,C21_85_over_UOL_SE_Tot,C21_85_over_LPE_NS,C21_85_over_Tot,C21_Tot_SEO,C21_Tot_UOL_SE_Vw_w,C21_Tot_UOL_SE_Nw_Na,C21_Tot_UOL_SE_P_E_n,C21_Tot_UOL_SE_Tot,C21_Tot_LPE_NS,C21_Tot_Tot
LGA31750,0,0,0,309,9,0,0,8,22,337
LGA31820,119,213,2720,87709,4462,923,71,5458,6041,99215
LGA31900,82,48,497,14142,919,168,32,1124,1433,16692
LGA31950,0,0,3,315,21,0,0,21,85,419
LGA32080,323,353,2457,128138,21544,3012,328,24885,13916,166943
LGA32250,0,4,11,1766,90,5,5,101,224,2090
LGA32260,99,78,738,23291,2614,436,58,3102,2759,29157
LGA32270,4,51,190,23022,1509,192,23,1723,3093,27836
LGA32310,5,24,258,9959,317,14,4,334,1501,11794
LGA32330,0,0,5,1129,26,0,0,24,38,1194
LGA32450,0,0,25,2925,156,8,0,170,549,3644
LGA32500,3,3,24,3260,417,41,14,466,778,4511
LGA32600,0,0,0,227,7,0,0,7,41,266
LGA32750,0,0,0,189,23,6,0,23,54,266
LGA32770,0,0,4,1290,48,5,0,46,47,1387
LGA32810,27,21,184,9717,1153,61,21,1235,1381,12337
LGA33100,0,0,7,615,5,0,0,5,96,714
LGA33200,0,6,31,1275,35,3,0,40,183,1500
LGA33220,145,349,3229,99403,4120,378,54,4556,7073,111032
LGA33360,42,91,679,55537,3443,295,51,3790,4188,63515
LGA33430,1387,1539,12805,501988,76987,10312,830,88128,34969,625087
LGA33610,5,13,241,9059,321,46,0,368,880,10310
LGA33620,27,106,1204,48214,1427,144,26,1594,3433,53242
LGA33800,99,33,454,9487,526,79,14,611,822,10920
LGA33830,4,0,6,320,543,29,36,607,48,976
LGA33960,182,349,2575,182849,29002,3923,424,33354,13010,229208
LGA33980,0,16,100,16392,1027,87,21,1134,4520,22046
LGA34420,0,0,0,926,35,0,11,44,104,1079
LGA34530,28,95,753,34555,1072,84,21,1175,3660,39398
LGA34570,0,0,6,148,389,11,15,417,68,640
LGA34580,20,47,660,35429,2315,659,44,3016,2658,41101
LGA34590,592,407,4118,259262,52953,10946,746,64648,21185,345098
LGA34710,3,8,88,3072,118,12,0,135,443,3647
LGA34770,111,234,1979,103403,6976,627,99,7701,10590,121691
LGA34800,0,0,5,660,10,0,0,10,159,836
LGA34830,0,0,0,235,138,12,0,146,54,432
LGA34860,4,48,229,10903,508,33,10,545,1370,12825
LGA34880,154,40,470,17006,2132,307,37,2477,3382,22858
LGA35010,501,756,8506,412761,37387,4534,459,42383,21196,476340
LGA35250,0,0,0,575,343,0,6,355,93,1025
LGA35300,7,19,114,15027,1798,135,21,1946,1751,18727
LGA35600,0,14,111,3280,146,85,0,230,468,3971
LGA35670,0,0,0,573,146,7,3,159,146,883
LGA35740,82,181,1611,49844,3165,195,42,3401,3054,56298
LGA35760,10,20,291,8456,481,91,11,583,1025,10068
LGA35780,3,0,3,420,1672,315,90,2071,291,2781
LGA35790,0,0,0,1114,809,56,9,879,115,2098
LGA35800,0,0,33,1531,54,3,0,57,91,1679
LGA36070,0,0,0,215,308,0,14,323,75,611
LGA36150,0,0,13,644,12,3,0,9,45,698
LGA36250,352,394,3799,141607,11060,1133,144,12336,5277,159222
LGA36300,0,4,6,624,9,0,0,9,129,761
LGA36370,44,168,1776,70536,4699,850,69,5623,5805,81968
LGA36510,45,145,971,38455,1443,156,25,1630,2903,42984
