LGA_CODE_2021,C21_650_799_CF_1C,C21_650_799_CF_2C,C21_650_799_CF_3C,C21_650_799_CF_4mC,C21_650_799_Tot,C21_800_999_CF_1C,C21_800_999_CF_2C,C21_800_999_CF_3C,C21_800_999_CF_4mC,C21_800_999_Tot,C21_1000_1499_CF_1C,C21_1000_1499_CF_2C,C21_1000_1499_CF_3C,C21_1000_1499_CF_4mC,C21_1000_1499_Tot,C21_1500_1999_CF_1C,C21_1500_1999_CF_2C,C21_1500_1999_CF_3C,C21_1500_1999_CF_4mC,C21_1500_1999_Tot,C21_2000_2499_CF_1C,C21_2000_2499_CF_2C,C21_2000_2499_CF_3C,C21_2000_2499_CF_4mC,C21_2000_2499_Tot,C21_2500_2999_CF_1C,C21_2500_2999_CF_2C,C21_2500_2999_CF_3C,C21_2500_2999_CF_4mC,C21_2500_2999_Tot,C21_3000_3999_CF_1C,C21_3000_3999_CF_2C,C21_3000_3999_CF_3C,C21_3000_3999_CF_4mC,C21_3000_3999_Tot,C21_4000more_CF_1C,C21_4000more_CF_2C,C21_4000more_CF_3C,C21_4000more_Cou_fa_4mo_ch,C21_4000more_Tot,C21_Par_inc_st_CF_1C,C21_Par_inc_st_CF_2C,C21_Par_inc_st_CF_3C,C21_Par_inc_st_CF_4mC,C21_Par_inc_st_Tot,C21_All_inc_ns_CF_1Ch,C21_All_inc_ns_CF_2C,C21_All_inc_ns_CF_3C,C21_All_inc_ns_CF_4mC,C21_All_inc_ns_Tot,C21_Tot_CF_1C,C21_Tot_CF_2C,C21_Tot_CF_3C,C21_Tot_CF_4mC,C21_Tot_Tot
LGA65610,8,4,0,0,8,4,0,4,0,6,13,13,9,4,37,19,11,3,4,40,17,20,5,0,53,7,15,3,3,33,8,17,7,5,38,13,12,8,0,29,15,24,8,6,54,0,0,0,0,0,116,125,48,23,318
LGA65810,19,23,4,0,46,23,18,9,4,51,135,109,44,14,297,160,150,64,21,398,179,176,73,29,453,131,161,46,24,364,160,219,94,17,484,118,159,64,9,351,96,103,45,19,266,3,0,0,4,11,1033,1128,442,147,2743
LGA69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA70200,11,16,8,0,33,22,12,7,0,45,78,48,25,13,169,73,70,33,17,191,154,124,52,29,361,168,133,51,15,360,234,230,81,33,572,203,229,92,43,560,104,124,51,37,321,9,7,0,0,17,1077,1009,407,185,2681
LGA70420,25,15,14,3,57,17,29,17,9,67,38,27,11,19,94,13,18,9,9,46,12,11,10,3,36,11,15,0,0,29,16,15,9,5,38,16,9,5,3,35,18,19,12,19,72,5,7,3,7,23,193,176,120,88,580
LGA70540,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,6
LGA70620,16,7,8,7,44,13,7,10,7,34,10,18,11,16,49,8,6,5,9,26,4,4,0,0,9,6,7,0,3,11,0,5,0,0,6,0,0,0,0,0,10,5,6,4,30,6,5,6,0,11,110,98,66,65,341
LGA70700,0,0,0,0,3,0,0,0,0,0,5,3,0,0,9,4,0,0,3,8,4,6,0,0,6,0,0,4,0,4,0,4,6,0,9,0,4,0,0,5,4,0,4,0,10,0,3,0,0,0,16,22,11,8,58
LGA71000,41,21,23,4,86,62,38,20,11,128,320,170,59,35,587,382,262,88,39,768,505,400,146,52,1098,390,391,125,50,953,681,665,222,71,1633,834,962,272,117,2182,366,396,161,85,1014,20,17,14,0,53,3655,3360,1136,472,8620
LGA71150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,6,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,12,5,0,0,12
LGA71300,51,30,19,6,106,34,29,17,11,91,48,48,30,19,149,14,25,22,19,75,15,7,9,15,46,4,6,3,8,19,12,6,3,13,30,3,0,0,0,10,21,18,19,32,86,9,3,10,5,16,337,248,156,150,890
LGA72200,8,5,6,0,18,11,4,5,5,32,21,16,16,7,62,36,27,4,12,77,40,34,13,14,100,46,46,19,8,122,62,87,32,16,197,41,46,22,6,116,47,60,26,17,147,3,0,4,0,8,315,339,160,87,899
LGA72300,13,4,0,0,18,10,10,0,0,19,42,37,17,10,106,58,45,15,6,128,89,93,34,8,226,90,103,37,12,248,176,233,96,27,524,215,268,125,36,652,154,164,54,29,403,15,10,6,0,25,872,972,385,142,2373
LGA72330,11,28,4,9,60,17,24,15,9,65,25,22,18,15,77,10,16,11,4,39,6,8,6,0,15,3,4,0,3,14,0,0,0,0,10,0,5,0,0,3,9,23,8,12,49,15,12,11,7,36,153,184,92,67,495
LGA72800,10,3,6,0,22,18,5,10,7,44,117,109,32,15,273,149,155,69,25,395,276,249,113,30,670,230,254,102,34,609,342,467,154,55,1022,298,388,155,51,899,197,249,97,58,597,7,5,4,0,22,1663,1903,747,284,4599
LGA73600,23,26,6,11,62,19,18,15,5,61,22,43,28,22,113,20,11,13,11,46,10,10,7,12,36,8,0,8,3,19,8,10,0,5,22,0,9,0,0,8,9,9,10,6,32,3,0,0,0,3,209,157,128,89,589
LGA74050,10,6,3,3,23,4,9,4,9,24,5,5,9,3,25,6,0,0,6,10,4,3,0,0,7,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,9,0,9,5,27,3,5,0,0,5,88,56,46,34,217
LGA74550,7,10,0,5,27,4,4,3,5,20,9,15,6,8,38,5,7,7,9,18,6,8,0,8,23,9,3,8,0,19,5,0,3,0,11,3,4,0,0,3,5,12,0,3,24,0,0,0,0,7,74,93,36,46,254
LGA74560,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,4,0,3,0,0,0,0,4,4,0,0,0,6,0,0,0,0,0,16,7,8,0,29
LGA74660,37,25,19,8,88,17,18,15,5,56,31,27,26,20,108,14,12,7,15,53,4,7,9,10,27,4,8,0,10,18,8,6,8,0,23,7,7,3,0,23,12,21,7,20,66,10,11,5,10,30,256,218,122,104,695
LGA74680,11,11,11,0,30,3,3,6,3,13,3,7,15,7,31,0,0,0,8,9,0,3,9,0,12,0,0,0,0,4,0,0,0,0,5,0,6,0,0,5,11,7,18,28,60,6,5,0,3,15,78,103,81,82,343
LGA79399,4,0,0,0,4,0,0,0,0,5,20,3,11,6,38,11,21,9,4,43,22,26,16,5,63,35,41,14,0,93,52,71,38,3,161,45,71,38,15,169,22,46,16,6,95,0,4,0,5,10,211,286,140,44,677
LGA79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA89399,143,90,54,24,313,235,151,63,38,479,1123,734,265,127,2253,1514,1205,437,169,3327,2331,2075,641,195,5247,2253,2330,682,175,5442,4445,5465,1565,369,11843,6863,10874,3249,693,21685,1000,1289,531,194,3019,79,81,28,15,201,20222,24432,7591,2024,54271
LGA89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA99399,0,0,0,0,6,0,6,0,0,0,6,15,4,0,24,12,12,8,0,25,10,17,9,0,32,11,7,9,4,28,11,6,3,0,26,4,8,0,0,16,8,8,0,3,18,0,5,0,0,8,72,71,41,7,188
LGA99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
