LGA_CODE_2021,C11_Se_h_NPUR_1,C11_Se_h_NPUR_2,C11_Se_h_NPUR_3,C11_Se_h_NPUR_4,C11_Se_h_NPUR_5,C11_Se_h_NPUR_6more,C11_Se_h_Tot,C11_SDRTHT1S_NPUR_1,C11_SDRTHT1S_NPUR_2,C11_SDRTHT1S_NPUR_3,C11_SDRTHT1S_NPUR_4,C11_SDRTHT1S_NPUR_5,C11_SDRTHT1S_NPUR_6mor,C11_SDRTHT1S_Tot,C11_SDRTHT2S_NPUR_1,C11_SDRTHT2S_NPUR_2,C11_SDRTHT2S_NPUR_3,C11_SDRTHT2S_NPUR_4,C11_SDRTHT2S_NPUR_5,C11_SDRTHT2S_NPUR_6mor,C11_SDRTHT2S_Tot,C11_SDRTHT_NPUR_1,C11_SDRTHT_NPUR_2,C11_SDRTHT_NPUR_3,C11_SDRTHT_NPUR_4,C11_SDRTHT_NPUR_5,C11_SDRTHT_NPUR_6mor,C11_SDRTHT_Tot,C11_F_a_1_2SB_NPUR_1,C11_F_a_1_2SB_NPUR_2,C11_F_a_1_2SB_NPUR_3,C11_F_a_1_2SB_NPUR_4,C11_F_a_1_2SB_NPUR_5,C11_F_a_1_2SB_NPUR_6mor,C11_F_a_1_2SB_Tot,C11_F_a_I_a_3SB_NPUR_1,C11_F_a_I_a_3SB_NPUR_2,C11_F_a_I_a_3SB_NPUR_3,C11_F_a_I_a_3SB_NPUR_4,C11_F_a_I_a_3SB_NPUR_5,C11_F_a_I_a_3SB_NPUR_6mor,C11_F_a_In_a_3SB_Tot,C11_F_a_4_8SB_NPUR_1,C11_F_a_4_8SB_NPUR_2,C11_F_a_4_8SB_NPUR_3,C11_F_a_4_8SB_NPUR_4,C11_F_a_4_8SB_NPUR_5,C11_F_a_4_8SB_NPUR_6mor,C11_F_a_4_8SB_Tot,C11_F_a_9mor_s_b_NPUR_1,C11_F_a_9mor_s_b_NPUR_2,C11_F_a_9mor_s_b_NPUR_3,C11_F_a_9mor_s_b_NPUR_4,C11_F_a_9mor_s_b_NPUR_5,C11_F_a_9m_s_b_NPUR_6mor,C11_F_a_9mor_st_bl_Tot,C11_F_a_AH_NPUR_1,C11_F_a_AH_NPUR_2,C11_F_a_AH_NPUR_3,C11_F_a_AH_NPUR_4,C11_F_a_AH_NPUR_5,C11_F_a_AH_NPUR_6mor,C11_F_a_AH_Tot,C11_F_a_Tot_NPUR_1,C11_F_a_Tot_NPUR_2,C11_F_a_Tot_NPUR_3,C11_F_a_Tot_NPUR_4,C11_F_a_Tot_NPUR_5,C11_F_a_Tot_NPUR_6mor,C11_F_a_Tot_Tot,C11_OD_CCH_NPUR_1,C11_OD_CCH_NPUR_2,C11_OD_CCH_NPUR_3,C11_OD_CCH_NPUR_4,C11_OD_CCH_NPUR_5,C11_OD_CCH_NPUR_6mor,C11_OD_CCH_Tot,C11_OD_IHTSO_NPUR_1,C11_OD_IHTSO_NPUR_2,C11_OD_IHTSO_NPUR_3,C11_OD_IHTSO_NPUR_4,C11_OD_IHTSO_NPUR_5,C11_OD_IHTSO_NPUR_6mor,C11_OD_IHTSO_Tot,C11_OD_H_f_a_s_o_NPUR_1,C11_OD_H_f_a_s_o_NPUR_2,C11_OD_H_f_a_s_o_NPUR_3,C11_OD_H_f_a_s_o_NPUR_4,C11_OD_H_f_a_s_o_NPUR_5,C11_OD_H_f_a_s_o_NPUR_6mor,C11_OD_H_f_a_s_o_Tot,C11_OD_Tot_NPUR_1,C11_OD_Tot_NPUR_2,C11_OD_Tot_NPUR_3,C11_OD_Tot_NPUR_4,C11_OD_Tot_NPUR_5,C11_OD_Tot_NPUR_6mor,C11_OD_Tot_Tot,C11_DS_ns_NPUR_1,C11_DS_ns_NPUR_2,C11_DS_ns_NPUR_3,C11_DS_ns_NPUR_4,C11_DS_ns_NPUR_5,C11_DS_ns_NPUR_6more,C11_Dwg_st_NS_Tot,C11_Tot_NPUR_1,C11_Tot_NPUR_2,C11_Tot_NPUR_3,C11_Tot_NPUR_4,C11_Tot_NPUR_5,C11_Tot_NPUR_6more,C11_Tot_Tot,C16_Se_h_NPUR_1,C16_Se_h_NPUR_2,C16_Se_h_NPUR_3,C16_Se_h_NPUR_4,C16_Se_h_NPUR_5,C16_Se_h_NPUR_6more,C16_Se_h_Tot,C16_SDRTHT1S_NPUR_1,C16_SDRTHT1S_NPUR_2,C16_SDRTHT1S_NPUR_3,C16_SDRTHT1S_NPUR_4,C16_SDRTHT1S_NPUR_5,C16_SDRTHT1S_NPUR_6mor,C16_SDRTHT1S_Tot,C16_SDRTHT2S_NPUR_1,C16_SDRTHT2S_NPUR_2,C16_SDRTHT2S_NPUR_3,C16_SDRTHT2S_NPUR_4,C16_SDRTHT2S_NPUR_5,C16_SDRTHT2S_NPUR_6mor,C16_SDRTHT2S_Tot,C16_SDRTHT_Tot_NPUR_1,C16_SDRTHT_Tot_NPUR_2,C16_SDRTHT_Tot_NPUR_3,C16_SDRTHT_Tot_NPUR_4,C16_SDRTHT_Tot_NPUR_5,C16_SDRTHT_Tot_NPUR_6mor,C16_SDRTHT_Tot_Tot,C16_F_a_1_2SB_NPUR_1,C16_F_a_1_2SB_NPUR_2,C16_F_a_1_2SB_NPUR_3,C16_F_a_1_2SB_NPUR_4,C16_F_a_1_2SB_NPUR_5,C16_F_a_1_2SB_NPUR_6mor,C16_F_a_1_2SB_Tot,C16_F_a_I_a_3SB_NPUR_1,C16_F_a_I_a_3SB_NPUR_2,C16_F_a_I_a_3SB_NPUR_3,C16_F_a_I_a_3SB_NPUR_4,C16_F_a_I_a_3SB_NPUR_5,C16_F_a_I_a_3SB_NPUR_6mor,C16_F_a_In_a_3_st_b_Tot,C16_F_a_4_8SB_NPUR_1,C16_F_a_4_8SB_NPUR_2,C16_F_a_4_8SB_NPUR_3,C16_F_a_4_8SB_NPUR_4,C16_F_a_4_8SB_NPUR_5,C16_F_a_4_8SB_NPUR_6mor,C16_F_a_4_8SB_Tot,C16_F_a_9mor_s_b_NPUR_1,C16_F_a_9mor_s_b_NPUR_2,C16_F_a_9mor_s_b_NPUR_3,C16_F_a_9mor_s_b_NPUR_4,C16_F_a_9mor_s_b_NPUR_5,C16_F_a_9m_s_b_NPUR_6mor,C16_F_a_9mor_st_bl_Tot,C16_F_a_AH_NPUR_1,C16_F_a_AH_NPUR_2,C16_F_a_AH_NPUR_3,C16_F_a_AH_NPUR_4,C16_F_a_AH_NPUR_5,C16_F_a_AH_NPUR_6mor,C16_F_a_AH_Tot,C16_F_a_Tot_NPUR_1,C16_F_a_Tot_NPUR_2,C16_F_a_Tot_NPUR_3,C16_F_a_Tot_NPUR_4,C16_F_a_Tot_NPUR_5,C16_F_a_Tot_NPUR_6mor,C16_F_a_Tot_Tot,C16_OD_CCH_NPUR_1,C16_OD_CCH_NPUR_2,C16_OD_CCH_NPUR_3,C16_OD_CCH_NPUR_4,C16_OD_CCH_NPUR_5,C16_OD_CCH_NPUR_6mor,C16_OD_CCH_Tot,C16_OD_IHTSO_NPUR_1,C16_OD_IHTSO_NPUR_2,C16_OD_IHTSO_NPUR_3,C16_OD_IHTSO_NPUR_4,C16_OD_IHTSO_NPUR_5,C16_OD_IHTSO_NPUR_6mor,C16_OD_IHTSO_Tot,C16_OD_H_f_a_s_o_NPUR_1,C16_OD_H_f_a_s_o_NPUR_2,C16_OD_H_f_a_s_o_NPUR_3,C16_OD_H_f_a_s_o_NPUR_4
LGA33620,3492,6607,2199,2087,957,565,15908,131,47,16,9,0,3,203,55,50,15,6,3,5,130,183,99,30,20,4,4,338,485,182,31,16,0,0,717,15,3,5,0,0,0,20,0,0,0,0,0,0,6,..,..,..,..,..,..,..,15,4,0,0,0,0,26,519,195,39,14,3,3,766,195,106,8,9,6,4,321,30,24,10,4,4,0,72,15,16,9,0,0,0,38,237,141,25,9,10,4,429,5,7,0,0,0,0,15,4438,7056,2292,2130,968,579,17456,3967,7011,2360,1979,962,622,16910,311,152,36,15,3,0,520,163,85,22,3,5,0,272,476,236,50,18,11,0,796,295,72,13,4,5,3,381,13,12,4,5,0,0,31,0,0,0,0,0,0,0,..,..,..,..,..,..,..,7,0,0,0,0,0,3,311,86,14,3,5,3,419,222,93,9,7,4,0,336,31,24,3,5,0,0,72,14,20,7,3
LGA33800,963,1645,586,552,260,90,4090,30,16,9,0,0,0,53,4,0,0,0,0,0,4,37,16,7,0,0,0,58,186,59,10,5,0,0,258,0,4,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,4,0,0,0,0,0,4,188,59,10,5,0,0,266,17,22,0,0,0,0,45,3,0,0,0,0,0,4,6,9,3,5,0,0,23,30,32,0,6,0,0,71,0,0,0,0,0,0,3,1214,1753,606,562,262,91,4487,1023,1642,512,465,204,69,3907,30,11,3,0,0,0,43,0,0,0,0,0,0,5,27,13,3,0,0,0,50,158,34,11,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,163,34,11,0,0,0,211,38,21,0,0,0,0,61,0,4,5,0,0,0,8,5,0,3,0
LGA33830,30,35,22,35,38,51,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,3,3,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,40,30,37,38,50,225,43,50,45,31,36,33,239,3,0,0,3,0,0,6,0,0,0,0,0,0,0,3,0,0,3,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA33960,8717,16496,9546,9248,4290,2871,51170,887,568,155,86,25,14,1734,473,429,179,90,36,8,1214,1356,991,339,176,61,22,2942,1048,410,90,43,6,5,1608,38,20,11,5,0,0,71,20,23,6,0,0,0,57,..,..,..,..,..,..,..,16,13,3,0,0,0,30,1122,470,106,52,7,5,1764,248,73,18,5,5,3,349,3,0,0,4,0,0,10,12,9,9,4,4,0,39,266,82,23,10,8,6,395,13,20,4,11,3,0,55,11476,18062,10018,9495,4375,2899,56326,9572,17983,10718,10483,4863,3348,56964,1677,921,318,156,58,31,3160,747,687,359,177,89,46,2103,2426,1601,677,337,147,83,5265,517,184,53,25,9,0,780,59,37,11,7,0,0,119,29,5,3,0,0,0,39,..,..,..,..,..,..,..,5,0,0,0,0,4,12,602,229,65,26,8,5,945,191,49,15,4,3,0,265,0,4,0,0,0,0,8,14,18,6,3
LGA33980,897,1759,1005,1285,630,296,5872,88,81,24,7,3,0,208,36,54,9,3,7,0,110,128,136,32,9,9,0,314,98,62,11,9,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,100,62,11,9,0,0,182,113,86,15,12,6,0,226,8,10,3,5,0,3,29,3,0,0,4,0,4,15,128,96,23,16,9,4,274,4,9,0,0,0,0,8,1259,2059,1073,1317,637,302,6656,1026,1632,857,1056,546,225,5342,66,56,15,5,0,0,144,93,80,29,7,6,0,208,154,135,46,12,11,0,357,133,96,30,11,7,0,280,7,10,0,0,0,0,15,3,4,0,0,0,0,4,..,..,..,..,..,..,..,11,0,0,0,0,0,11,156,106,30,11,7,0,309,63,32,0,3,0,0,107,7,6,0,0,0,0,15,4,4,0,0
LGA34420,10,24,20,17,16,60,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,24,8,16,6,14,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,19,24,8,16,6,14,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,42,29,32,20,73,227,21,41,30,24,28,32,173,6,8,10,9,0,0,33,7,9,6,0,0,3,28,18,17,8,14,7,5,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA34530,1671,4049,1478,1624,749,367,9940,200,98,15,10,0,0,325,19,8,4,4,0,0,39,221,109,25,12,0,0,361,293,154,50,22,5,0,521,52,36,9,0,0,0,98,19,6,3,0,0,0,27,..,..,..,..,..,..,..,4,0,0,0,0,0,6,365,194,62,25,7,0,653,184,125,6,7,4,0,325,13,18,3,5,0,0,44,6,17,0,0,0,0,29,209,161,17,9,6,0,397,10,9,0,0,0,0,17,2473,4515,1579,1672,760,370,11370,1951,4299,1749,1736,811,389,10937,237,110,16,10,0,0,383,51,49,7,0,3,0,114,290,156,24,11,3,0,489,388,158,36,10,0,0,599,34,23,3,0,0,0,63,33,32,4,0,0,0,72,..,..,..,..,..,..,..,0,0,0,0,0,0,0,452,219,43,12,5,0,735,179,99,4,11,0,0,296,21,12,4,0,0,0,37,0,4,0,0
LGA34570,7,15,7,11,10,35,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,4,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,10,5,4,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,19,29,16,11,9,32,108,31,26,24,14,12,42,147,4,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,4,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA34580,2020,4272,1760,1616,908,624,11201,78,32,13,11,4,0,143,10,0,5,0,0,0,16,88,35,16,11,4,0,159,200,94,30,18,9,3,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,5,0,0,0,6,199,97,34,18,9,6,357,85,49,15,8,4,5,162,0,10,0,0,0,0,17,0,5,0,0,0,0,3,93,62,16,8,3,5,175,0,0,0,0,0,0,8,2400,4459,1826,1655,926,634,11900,2234,4502,1868,1710,941,616,11866,132,90,20,22,13,10,284,13,10,7,0,0,6,37,140,95,30,31,12,14,321,125,55,20,10,6,5,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,5,0,0,0,5,9,125,59,20,10,7,10,234,103,28,3,4,8,0,145,3,0,0,0,0,0,5,43,77,23,25
LGA34590,11176,25595,15180,15429,7554,5277,80215,1359,851,307,170,60,58,2802,1731,1785,847,407,132,76,4974,3092,2632,1149,579,190,136,7774,1216,646,262,156,59,18,2362,53,42,6,5,0,0,105,63,45,27,17,4,0,159,..,..,..,..,..,..,..,60,50,13,12,6,3,139,1395,785,308,187,70,22,2769,346,100,8,4,0,0,454,3,4,0,0,0,0,9,21,8,5,0,0,0,40,369,108,13,6,0,0,508,6,18,3,0,0,3,29,16048,29140,16662,16204,7814,5437,91297,12236,26088,15610,15684,7777,6135,83534,1598,946,354,200,82,57,3225,2302,2173,1225,728,307,162,6900,3899,3125,1575,926,387,217,10122,1224,630,222,154,75,32,2346,100,71,18,24,3,0,220,16,14,5,8,0,0,44,..,..,..,..,..,..,..,16,16,7,8,0,0,53,1367,727,261,192,82,33,2664,321,111,14,6,0,3,456,8,9,6,3,0,0,20,26,32,28,20
LGA34710,354,468,197,183,94,67,1365,26,9,0,0,0,0,33,0,3,0,0,0,0,5,22,12,0,0,0,0,40,42,25,3,6,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,3,0,0,0,0,0,0,43,25,3,6,4,0,84,16,10,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,0,4,0,4,30,3,4,0,0,0,0,12,433,522,205,196,103,69,1524,347,430,177,133,80,38,1205,27,13,0,0,0,0,42,0,0,0,0,4,0,0,27,8,0,0,4,0,42,30,19,3,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,30,19,3,0,0,0,59,20,18,0,0,0,0,35,0,3,0,0,0,0,3,3,0,0,0
LGA34770,5104,11533,5724,6216,2888,1374,32843,618,551,159,82,27,12,1463,150,171,70,46,6,5,448,773,723,233,123,37,17,1911,1246,801,278,115,42,4,2488,44,46,10,10,0,0,107,139,143,56,18,3,0,355,..,..,..,..,..,..,..,10,7,0,0,0,0,22,1441,996,343,140,47,6,2971,363,231,29,12,4,3,639,30,28,10,14,6,3,87,34,17,5,7,5,0,63,427,274,41,30,11,7,793,16,15,4,4,3,0,41,7755,13541,6347,6514,2992,1411,38562,6246,12790,5956,5855,2638,1088,34581,1326,662,183,117,48,10,2346,501,366,135,46,21,12,1079,1826,1032,310,163,67,21,3428,900,418,116,61,28,7,1529,22,22,4,0,0,0,45,114,138,36,14,3,0,296,..,..,..,..,..,..,..,0,0,0,0,0,0,3,1032,571,154,76,31,6,1869,273,136,14,4,3,4,438,34,30,8,9,3,3,86,5,9,0,3
LGA34800,93,88,37,32,8,9,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,3,4,3,0,0,0,0,11,0,0,0,0,3,0,8,101,96,38,32,12,9,298,83,71,25,28,23,15,238,8,5,0,0,0,0,10,0,0,0,0,0,0,0,8,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
LGA34830,9,14,8,4,12,9,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,9,0,0,0,0,0,0,0,16,18,13,5,12,9,73,15,11,10,5,19,10,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
LGA34860,888,1505,614,589,316,161,4065,33,54,13,13,6,8,120,0,4,0,0,0,0,10,38,56,16,13,6,8,130,79,41,14,11,6,3,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,79,41,14,11,6,3,155,31,16,0,0,0,0,52,3,0,0,0,0,0,7,8,4,0,0,0,0,12,41,25,5,0,0,0,71,12,8,0,4,6,0,24,1054,1631,651,614,325,167,4448,1070,1430,607,623,298,121,4147,92,31,5,7,0,0,124,9,4,0,0,0,0,15,101,33,7,7,0,0,142,26,17,5,5,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,3,..,..,..,..,..,..,..,6,3,0,0,0,0,0,32,20,5,5,5,0,62,27,16,3,4,0,0,46,0,4,0,0,0,0,3,0,0,3,0
LGA34880,1439,2460,924,864,426,295,6411,67,52,20,15,6,9,159,6,3,0,3,0,0,17,75,57,20,16,9,9,177,187,54,16,11,7,0,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,5,3,0,0,0,0,9,189,62,21,11,7,0,294,98,59,6,4,0,0,175,19,7,0,3,0,0,33,21,4,4,0,0,0,32,138,77,9,11,3,0,239,4,3,0,0,0,0,8,1842,2658,972,904,439,305,7128,1608,2606,906,931,419,271,6746,45,33,14,7,9,3,103,10,3,0,0,0,0,9,51,37,14,7,9,3,113,116,55,8,11,3,0,194,0,0,0,0,0,0,3,37,8,0,0,3,0,52,..,..,..,..,..,..,..,0,0,0,0,0,0,0,154,70,13,9,5,0,254,106,39,6,0,3,0,156,35,22,8,0,0,0,63,15,10,3,5
LGA35010,16938,39834,20397,22062,9690,4938,113853,3292,2162,528,283,104,37,6412,1221,1218,552,257,119,42,3409,4509,3382,1085,540,223,78,9815,2987,1518,412,155,54,15,5139,554,396,80,32,4,0,1065,605,515,81,35,4,4,1244,..,..,..,..,..,..,..,65,37,11,7,4,6,129,4214,2464,576,223,67,28,7582,767,320,20,15,3,0,1131,12,4,6,0,5,0,28,58,46,10,9,9,0,130,842,370,37,30,13,0,1288,21,20,13,14,0,3,67,26514,46078,22111,22868,9994,5046,132607,18497,42170,22262,23498,10452,5614,122497,3914,2916,766,331,122,55,8108,2754,2892,1388,700,220,115,8074,6671,5812,2153,1032,344,169,16180,2870,1052,245,97,39,16,4314,702,375,66,29,4,0,1182,812,890,125,41,16,0,1883,..,..,..,..,..,..,..,15,15,0,0,0,0,33,4399,2329,435,165,57,23,7408,768,299,24,14,6,3,1120,14,12,3,6,4,6,38,19,18,13,5
LGA35250,34,37,26,27,24,68,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,9,6,0,0,0,0,17,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,52,46,26,27,24,73,249,31,46,25,32,25,64,223,0,0,0,0,0,0,9,4,7,0,5,0,0,17,6,10,0,5,0,0,21,3,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,3,4,0,0,0,0,9,6,0,0,0,0,0,8,3,0,0,0,0,0,3,0,0,0,0
LGA35300,759,1474,881,907,459,324,4801,112,95,33,25,12,6,285,25,10,0,6,0,0,43,134,103,38,28,12,9,327,388,304,104,53,9,6,863,18,24,8,0,0,0,50,16,15,0,3,0,5,37,..,..,..,..,..,..,..,0,0,0,0,0,0,4,430,336,106,55,9,10,950,165,83,13,10,3,0,271,11,4,0,0,0,0,24,0,4,0,0,0,0,5,182,88,18,10,3,0,296,8,11,0,0,0,0,24,1511,2011,1045,1003,489,345,6403,835,1494,850,821,418,256,4671,382,258,88,43,15,6,789,65,38,9,3,0,0,120,442,294,103,45,17,7,907,149,122,38,15,12,3,338,3,0,0,0,0,0,5,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,157,118,46,15,12,3,349,31,19,6,9,3,0,63,0,0,0,0,0,0,0,4,0,5,5
LGA35600,432,537,214,225,92,60,1561,14,0,0,0,0,0,20,0,0,0,3,0,0,3,14,3,0,4,0,0,22,23,9,0,3,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,23,9,0,3,0,0,37,0,14,0,0,0,0,15,0,0,0,0,0,0,4,3,0,0,3,0,0,10,3,17,0,3,0,0,24,4,8,0,0,0,0,10,472,568,217,237,96,67,1659,416,536,204,202,76,47,1484,33,0,0,5,0,0,46,0,0,0,0,0,0,0,38,0,0,5,0,0,45,22,7,3,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,22,7,3,0,0,0,32,9,4,0,0,0,0,16,0,0,0,0,0,0,0,0,8,3,0
LGA35670,12,21,19,21,20,44,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,9,10,3,4,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,9,7,9,10,3,4,40,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,23,29,28,27,27,53,180,25,29,30,34,29,50,191,16,10,5,0,0,0,37,6,0,0,0,0,0,6,17,10,5,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA35740,2765,6474,2406,2373,857,338,15210,511,334,34,15,0,0,898,351,448,115,39,8,0,957,865,783,148,48,9,5,1853,718,442,113,43,3,0,1317,122,158,33,20,4,0,337,43,54,12,3,0,0,118,..,..,..,..,..,..,..,15,3,0,4,0,0,24,894,668,152,70,7,0,1795,111,82,4,3,0,0,204,25,6,3,7,6,0,52,3,4,7,0,3,0,17,139,98,13,10,10,0,268,0,3,0,0,0,0,6,4668,8018,2715,2504,884,346,19134,2957,6807,2516,2364,937,379,15966,552,348,51,26,3,3,979,581,641,150,57,16,4,1455,1141,986,202,76,26,8,2432,508,320,97,35,10,0,972,162,188,28,6,0,0,394,31,46,7,0,0,0,82,..,..,..,..,..,..,..,3,0,0,0,0,0,3,703,559,132,48,10,0,1453,66,20,0,3,0,0,95,15,12,4,6,0,0,41,3,0,0,5
LGA35760,939,1535,484,389,216,102,3663,15,10,0,0,0,0,28,0,4,0,5,0,0,14,16,16,0,3,3,0,41,71,17,15,4,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,71,17,15,4,0,0,107,92,46,0,0,0,0,134,5,0,0,0,0,0,8,9,9,3,4,0,0,28,104,62,3,8,0,0,172,4,0,0,0,0,0,4,1125,1630,502,411,220,104,3983,1004,1435,434,369,218,104,3567,17,6,0,0,0,0,24,0,0,0,0,0,0,4,19,11,0,0,0,0,27,60,19,11,7,0,0,91,0,0,0,0,0,0,0,4,0,0,0,0,0,4,..,..,..,..,..,..,..,0,0,0,0,0,0,0,57,19,11,8,0,0,98,79,30,5,13,0,0,137,18,5,4,0,0,0,41,6,8,3,0
LGA35780,44,61,59,54,47,112,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,39,17,13,12,12,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,38,39,17,13,12,12,122,26,14,5,5,4,0,58,0,0,0,0,0,0,6,0,0,0,0,0,0,0,31,13,5,5,4,0,58,0,0,0,0,0,0,0,113,113,79,71,60,122,563,84,100,70,80,80,153,565,16,14,6,5,0,5,48,0,0,0,0,0,0,0,16,14,6,11,0,5,46,9,3,4,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,9,3,0,0,0,0,24,10,3,0,0,0,0,14,8,4,0,3,0,0,18,0,0,0,0
