LGA_CODE_2021,C21_650_799_1PF_1C,C21_650_799_1PF_2C,C21_650_799_1PF_3C,C21_650_799_1PF_4mC,C21_650_799_Tot,C21_800_999_1PF_1C,C21_800_999_1PF_2C,C21_800_999_1PF_3C,C21_800_999_1PF_4mC,C21_800_999_Tot,C21_1000_1499_1PF_1C,C21_1000_1499_1PF_2C,C21_1000_1499_1PF_3C,C21_1000_1499_1PF_4mC,C21_1000_1499_Tot,C21_1500_1999_1PF_1C,C21_1500_1999_1PF_2C,C21_1500_1999_1PF_3C,C21_1500_1999_1PF_4mC,C21_1500_1999_Tot,C21_2000_2499_1PF_1C,C21_2000_2499_1PF_2C,C21_2000_2499_1PF_3C,C21_2000_2499_1PF_4mC,C21_2000_2499_Tot,C21_2500_2999_1PF_1C,C21_2500_2999_1PF_2C,C21_2500_2999_1PF_3C,C21_2500_2999_1PF_4mC,C21_2500_2999_Tot,C21_3000_3999_1PF_1C,C21_3000_3999_1PF_2C,C21_3000_3999_1PF_3C,C21_3000_3999_1PF_4mC,C21_3000_3999_Tot,C21_4000more_1PF_1C,C21_4000more_1PF_2C,C21_4000more_1PF_3C,C21_4000more_1PF_4mo_ch,C21_4000more_Tot,C21_Par_inc_st_1PF_1C,C21_Par_inc_st_1PF_2C,C21_Par_inc_st_1PF_3C,C21_Par_inc_st_1PF_4mC,C21_Par_inc_st_Tot,C21_All_inc_ns_1PF_1Ch,C21_All_inc_ns_1PF_2C,C21_All_inc_ns_1PF_3C,C21_All_inc_ns_1PF_4mC,C21_All_inc_ns_Tot,C21_Tot_1PF_1C,C21_Tot_1PF_2C,C21_Tot_1PF_3C,C21_Tot_1PF_4mC,C21_Tot_Tot
LGA36950,9,7,0,0,17,9,4,0,3,16,15,11,8,6,36,10,8,0,3,26,6,0,5,0,16,0,0,0,0,0,0,0,0,3,3,0,0,0,0,5,9,5,8,9,24,5,4,0,0,9,89,55,32,29,205
LGA36960,23,17,6,4,41,23,5,4,3,31,29,18,8,3,66,11,4,0,0,23,0,0,0,0,3,3,0,0,0,4,0,0,0,4,4,0,0,0,0,0,14,7,3,6,30,4,4,0,0,10,193,94,49,37,371
LGA37010,383,274,132,56,839,597,288,121,60,1064,1173,562,222,91,2054,781,439,123,62,1401,482,256,86,36,855,189,125,27,11,347,130,93,32,9,269,100,62,24,14,192,243,204,93,48,586,82,33,10,13,133,4974,2799,1032,491,9291
LGA37300,0,0,0,0,3,0,3,0,0,6,7,0,0,4,20,14,4,0,3,24,5,0,0,4,9,5,0,0,0,4,0,3,0,0,9,3,0,0,0,7,7,0,4,0,9,4,0,0,0,4,55,28,8,12,101
LGA37310,67,48,32,21,165,101,40,22,26,186,180,88,35,25,327,70,41,17,14,141,53,22,9,4,91,19,10,0,3,35,5,0,3,0,13,14,6,0,0,21,57,22,16,9,95,28,5,3,3,38,754,367,170,127,1416
LGA37340,68,39,23,8,142,97,43,24,12,174,178,77,29,7,286,88,46,15,5,156,58,27,7,3,90,6,12,4,5,24,20,7,3,0,30,22,6,3,0,32,37,21,9,6,77,15,0,0,0,20,737,344,155,57,1296
LGA37400,0,0,0,0,3,0,0,0,0,5,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,15,10,4,3,29
LGA37550,3,8,0,3,19,4,6,4,3,13,6,8,5,3,21,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,4,5,13,3,0,0,0,3,55,44,31,21,145
LGA37570,0,0,0,0,3,3,0,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,5,3,27
LGA37600,11,10,7,8,34,8,7,3,4,24,11,14,4,8,40,6,7,3,5,21,0,0,0,4,10,0,0,0,0,3,0,3,0,0,6,0,0,0,0,0,0,0,0,10,19,0,0,0,3,4,99,63,39,52,255
LGA39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA40070,19,3,0,0,28,25,8,0,0,31,78,19,0,0,95,53,16,0,0,67,44,15,3,0,68,16,7,0,0,28,14,10,0,0,22,30,3,3,0,34,13,4,0,0,20,6,0,0,0,5,396,121,26,7,548
LGA40120,41,18,6,4,68,78,32,5,3,113,145,84,21,3,256,100,63,17,3,189,88,54,4,0,145,32,17,5,0,55,23,17,3,0,48,16,19,8,0,39,66,44,16,8,129,3,0,0,0,6,684,391,112,29,1214
LGA40150,15,14,5,0,34,19,15,5,6,43,44,11,5,3,69,34,13,0,0,49,10,5,0,0,15,11,5,0,0,18,6,8,4,0,15,4,4,0,0,8,13,9,6,0,32,7,3,0,0,8,192,104,36,19,351
LGA40220,58,35,6,0,98,92,40,9,6,153,135,65,19,6,229,74,36,14,0,126,39,23,0,3,68,15,9,0,0,25,8,11,6,0,29,7,5,5,0,20,38,32,20,0,95,11,4,0,0,13,583,305,95,26,1015
LGA40250,11,8,5,4,18,7,5,0,0,12,3,7,6,0,16,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,7,5,0,20,10,3,0,0,16,80,47,15,11,162
LGA40310,39,32,12,5,82,48,21,16,7,89,121,51,19,7,210,60,36,17,9,122,47,29,4,0,79,22,10,0,0,35,18,6,3,0,26,9,4,0,0,13,32,43,12,0,92,9,0,0,0,8,472,282,111,29,895
LGA40430,3,0,0,0,3,9,0,0,0,13,13,0,0,0,11,10,5,0,0,13,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,6,45,20,7,0,74
LGA40520,37,17,15,3,71,37,20,8,0,60,81,32,7,7,132,30,9,11,0,52,19,11,3,4,42,5,5,3,0,12,7,8,0,0,14,4,0,0,0,7,18,12,7,7,40,10,0,0,0,8,314,156,55,31,560
LGA40700,59,17,0,0,79,76,32,6,0,115,162,90,16,0,260,114,75,15,6,208,101,47,15,0,159,54,17,5,0,83,45,24,3,0,71,49,47,18,5,117,48,40,18,0,106,9,5,0,0,14,876,448,104,20,1453
LGA40910,92,41,13,0,154,170,48,10,11,234,343,166,31,11,550,195,122,15,4,340,133,99,20,3,255,70,45,11,0,122,45,44,10,3,103,33,22,3,0,60,47,62,25,6,142,17,3,4,0,30,1365,740,180,57,2349
LGA41010,4,7,3,3,14,3,8,0,0,8,17,5,5,0,31,17,3,0,0,22,4,0,0,0,3,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,4,10,0,4,22,4,0,0,0,3,84,50,17,7,152
LGA41060,271,146,30,9,447,413,128,42,18,604,777,312,61,24,1171,484,227,58,17,785,381,181,39,13,615,155,100,26,0,276,110,65,28,5,203,69,57,27,6,157,179,133,60,13,383,33,18,7,3,60,3401,1605,432,132,5578
LGA41140,14,11,6,0,30,28,12,7,0,42,41,14,11,0,67,14,19,4,0,39,4,4,0,0,12,4,3,0,0,12,4,0,0,0,7,4,0,0,0,4,21,6,6,4,37,4,0,0,0,6,174,96,37,13,319
LGA41190,4,0,0,0,7,5,0,0,0,5,11,0,0,0,10,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,4,24,5,6,6,44
LGA41330,6,0,0,0,8,5,0,0,0,4,5,0,0,0,4,6,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,5,31,8,8,7,49
LGA41560,41,22,7,3,74,62,24,14,7,109,77,44,9,9,140,33,11,5,8,49,18,8,0,4,34,7,0,0,0,13,4,4,0,0,7,7,0,0,0,7,21,11,11,0,50,15,9,4,0,25,373,177,69,33,656
LGA41750,4,0,0,0,4,0,0,0,3,7,4,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,3,21
LGA41830,4,0,0,0,8,7,0,3,0,3,0,0,0,0,7,4,0,0,0,3,6,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,5,0,0,11,0,0,0,0,0,36,19,9,0,62
LGA41960,4,0,3,0,4,0,0,0,0,3,3,5,0,0,3,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,8,0,31
