LGA_CODE_2021,C21_75_84_No_need_assist_F,C21_75_84_No_need_assist_P,C21_75_84_Need_assist_ns_M,C21_75_84_Need_assist_ns_F,C21_75_84_Need_assist_ns_P,C21_75_84_Tot_M,C21_75_84_Tot_F,C21_75_84_Tot_P,C21_85over_Need_assist_M,C21_85over_Need_assist_F,C21_85over_Need_assist_P,C21_85over_No_need_assist_M,C21_85over_No_need_assist_F,C21_85over_No_need_assist_P,C21_85over_Need_assist_ns_M,C21_85over_Need_assist_ns_F,C21_85over_Need_assist_ns_P,C21_85over_Tot_M,C21_85over_Tot_F,C21_85over_Tot_P,C21_Tot_Need_assist_M,C21_Tot_Need_assist_F,C21_Tot_Need_assist_P,C21_Tot_No_need_assist_M,C21_Tot_No_need_assist_F,C21_Tot_No_need_assist_P,C21_Tot_Need_assist_ns_M,C21_Tot_Need_assist_ns_F,C21_Tot_Need_assist_ns_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
LGA43710,118,259,19,5,28,178,140,315,10,21,29,28,24,51,0,6,6,38,51,83,98,92,193,2650,2522,5165,376,177,551,3124,2791,5910
LGA43790,375,733,34,35,70,482,516,992,64,137,202,79,78,157,19,16,30,162,231,392,407,447,858,5052,4962,10015,422,370,793,5881,5779,11666
LGA44000,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,24,23,47,20,23,40,47,50,96
LGA44060,2241,4051,95,84,187,2330,2957,5294,425,1027,1455,510,653,1163,43,73,120,978,1753,2729,2754,3473,6225,41230,44214,85444,1637,1411,3052,45621,49098,94721
LGA44210,293,607,32,21,58,422,371,799,33,56,90,53,52,106,4,15,20,90,123,214,372,334,706,3893,3646,7537,596,332,926,4861,4312,9164
LGA44340,1909,3672,88,96,181,2186,2462,4648,369,726,1099,439,567,1009,51,56,111,859,1349,2220,1583,2046,3626,30402,31816,62223,903,867,1768,32888,34729,67617
LGA44550,866,1620,39,39,84,933,1101,2042,115,233,348,153,195,353,18,25,46,286,453,740,1002,1083,2084,17232,18229,35463,856,814,1671,19090,20126,39217
LGA44620,785,1400,55,76,133,827,1049,1874,117,239,357,155,189,344,32,75,107,304,503,802,1016,1004,2022,11183,12160,23343,741,770,1512,12940,13934,26878
LGA44830,100,202,15,11,30,133,133,271,11,24,40,17,20,38,0,0,0,28,44,83,102,109,205,1222,1190,2414,122,121,242,1446,1420,2862
LGA45040,613,1211,41,50,88,811,851,1664,94,199,293,132,140,274,19,29,53,245,368,615,902,965,1868,8820,9175,17996,1145,640,1783,10867,10780,21644
LGA45090,229,461,21,28,47,283,305,587,26,68,93,48,59,103,15,7,20,89,134,220,171,204,374,4005,3697,7700,331,279,610,4507,4180,8686
LGA45120,139,289,12,8,24,192,188,379,19,40,67,29,32,60,5,5,9,53,77,130,144,171,320,2019,1953,3967,143,126,270,2306,2250,4559
LGA45290,1145,1976,49,54,102,1065,1547,2611,218,503,725,262,319,578,30,46,74,510,868,1377,904,1286,2181,16481,17490,33972,683,651,1333,18068,19427,37487
LGA45340,4211,8127,227,272,500,5024,5679,10711,624,1243,1862,805,914,1718,119,192,311,1548,2349,3887,5828,6264,12095,76152,79546,155699,3809,3605,7410,85789,89415,175204
LGA45400,28,48,0,6,8,30,34,68,7,18,27,7,6,12,4,8,13,18,32,49,35,33,70,362,372,737,34,37,68,431,442,874
LGA45540,63,119,13,6,13,79,82,157,10,12,19,10,7,17,5,4,8,25,23,49,80,82,161,631,617,1241,111,123,234,822,822,1638
LGA45680,1406,2618,117,160,275,1758,2161,3912,247,507,753,286,340,626,72,120,190,605,967,1574,4212,4162,8373,41793,43048,84835,3065,2915,5980,49070,50125,99190
LGA45890,2312,4300,134,154,285,2743,3449,6188,534,1194,1725,475,658,1130,53,79,131,1062,1931,2988,4312,5038,9348,58127,58423,116553,3606,2894,6504,66045,66355,132400
LGA46090,271,555,27,28,57,397,400,799,37,82,120,46,62,107,10,12,24,93,156,250,414,445,866,5578,5735,11311,1152,503,1652,7144,6683,13829
LGA46300,375,708,25,38,59,452,508,959,68,134,208,83,105,190,18,18,36,169,257,432,462,477,940,6106,6419,12523,504,437,940,7072,7333,14404
LGA46450,530,996,25,39,66,634,747,1371,89,170,260,115,117,238,14,14,28,218,301,521,749,814,1560,7219,7414,14631,546,540,1090,8514,8768,17282
LGA46510,328,605,16,22,37,366,517,883,73,181,257,89,99,183,7,26,38,169,306,474,448,652,1098,10327,10142,20473,352,352,702,11127,11146,22272
LGA46670,237,481,15,28,49,314,363,682,38,85,124,53,76,127,9,10,19,100,171,275,308,380,690,4258,4161,8422,357,313,671,4923,4854,9783
LGA46860,64,112,0,6,10,56,78,141,4,11,12,8,7,17,4,0,4,16,18,30,22,34,58,700,709,1408,32,42,75,754,785,1542
LGA46970,0,8,0,0,5,5,0,14,0,0,0,0,0,0,0,0,0,0,0,3,25,24,44,1870,1580,3456,279,200,476,2174,1804,3976
LGA47140,2632,4956,147,188,335,3196,3937,7146,491,853,1342,485,555,1043,81,133,224,1057,1541,2607,5294,5660,10950,64396,64028,128424,3337,3099,6435,73027,72787,145806
LGA47290,56,118,4,5,4,75,80,146,13,24,29,16,15,25,3,3,3,32,42,69,53,57,110,892,809,1703,87,83,170,1032,949,1979
LGA47490,51,103,8,5,12,77,59,134,3,16,27,14,13,23,8,4,8,25,33,59,54,38,90,970,915,1890,90,94,177,1114,1047,2165
LGA47630,174,334,23,15,36,213,224,431,29,49,84,29,50,81,4,4,11,62,103,172,158,152,312,3147,2905,6052,282,240,528,3587,3297,6891
LGA47700,2821,5375,101,152,254,3155,3695,6842,404,784,1187,522,596,1116,66,115,182,992,1495,2482,2786,3227,6007,45438,46739,92170,1534,1458,2990,49758,51424,101174
LGA47800,166,366,22,19,41,258,231,486,18,39,54,31,39,69,5,6,14,54,84,142,177,187,362,2376,2187,4565,302,231,534,2855,2605,5463
LGA47910,124,228,15,7,27,133,151,289,16,41,60,22,29,56,0,3,6,38,73,117,81,121,197,1212,1226,2434,98,89,187,1391,1436,2817
LGA47980,1065,1945,49,58,109,1114,1477,2599,283,685,969,223,297,519,27,60,89,533,1042,1572,900,1506,2404,16874,18329,35203,505,529,1035,18279,20364,38641
LGA48050,965,1915,43,46,84,1149,1218,2363,128,286,407,226,231,458,17,23,42,371,540,909,695,887,1582,6564,7333,13904,318,336,650,7577,8556,16139
LGA48130,173,338,16,14,22,222,240,453,20,74,96,45,42,83,6,0,3,71,116,184,280,299,585,2961,2883,5844,185,167,352,3426,3349,6780
LGA48260,272,501,17,12,24,310,343,647,54,119,171,63,92,151,3,12,12,120,223,339,196,251,444,3404,3870,7275,159,140,305,3759,4261,8023
LGA48340,333,647,26,30,56,418,455,874,44,93,138,56,83,142,8,14,24,108,190,305,437,413,854,5146,5063,10207,430,392,827,6013,5868,11888
LGA48410,1487,2616,57,92,139,1496,2137,3626,424,887,1307,415,498,915,29,65,91,868,1450,2317,1700,2388,4084,27492,28065,55560,1096,958,2047,30288,31411,61699
LGA48540,546,988,32,58,97,605,820,1433,80,131,211,100,104,204,15,18,35,195,253,451,785,865,1651,9154,9013,18169,726,694,1421,10665,10572,21244
LGA48640,27,47,0,4,7,22,39,61,3,7,10,11,17,25,3,9,5,17,33,48,20,24,48,475,502,980,55,60,110,550,586,1136
LGA48750,210,460,17,8,35,303,262,575,23,43,76,40,54,93,5,4,6,68,101,174,169,219,393,2560,2544,5110,167,172,336,2896,2935,5834
LGA48830,455,1021,51,45,92,697,615,1306,64,106,169,112,123,230,11,22,30,187,251,427,445,456,898,5081,4791,9871,441,388,830,5967,5635,11598
LGA49399,22,60,8,6,13,54,36,88,3,5,8,7,3,12,0,4,4,10,12,25,47,48,96,1390,1035,2429,292,185,478,1729,1268,3006
LGA49499,16,47,7,6,4,40,25,64,4,3,3,3,7,6,0,0,0,7,10,11,105,101,205,1278,1098,2372,488,314,801,1871,1513,3377
LGA49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,5,0,5,11,0,12
LGA50080,1171,2176,76,80,157,1345,1547,2890,180,312,493,284,309,593,37,38,76,501,659,1164,1191,1273,2462,16396,17472,33871,1450,989,2434,19037,19734,38763
LGA50210,1231,2433,92,108,193,1590,1700,3289,158,267,419,216,242,464,53,70,117,427,579,1006,2157,2220,4373,41692,42999,84691,2756,2359,5123,46605,47578,94184
LGA50250,13,36,4,0,7,30,16,54,0,4,5,0,0,0,0,0,0,0,4,10,52,39,89,3346,2549,5893,899,511,1408,4297,3099,7391
LGA50280,283,605,17,15,30,372,362,746,43,81,126,66,77,139,11,16,20,120,174,286,285,301,579,7338,7464,14798,766,643,1409,8389,8408,16791
LGA50350,348,612,37,23,61,359,475,839,49,130,179,65,90,153,7,15,25,121,235,360,426,531,954,6871,7216,14091,503,386,888,7800,8133,15932
LGA50420,1411,2781,102,103,202,1817,2014,3832,264,614,878,281,321,595,57,103,162,602,1038,1634,1580,2079,3663,31019,31343,62360,1787,1474,3263,34386,34896,69283
LGA50490,663,1261,59,81,142,830,1000,1827,132,273,407,155,218,376,39,83,127,326,574,902,919,1124,2042,18839,18319,37152,1660,1405,3063,21418,20848,42257
LGA50560,54,121,15,4,18,99,69,165,10,7,16,13,12,29,4,4,9,27,23,58,65,51,115,686,696,1381,114,91,202,865,838,1694
LGA50630,31,67,4,5,9,42,39,86,0,6,5,6,8,11,0,0,0,6,14,20,26,30,60,769,723,1491,87,72,163,882,825,1705
LGA50770,54,116,8,14,23,83,78,158,4,7,12,10,11,21,3,0,0,17,18,35,46,38,86,774,780,1550,100,94,194,920,912,1834
LGA50840,163,329,13,14,28,210,213,426,27,28,52,18,22,43,0,5,8,45,55,104,152,159,318,2222,2307,4530,220,178,393,2594,2644,5238
LGA50910,35,57,0,0,5,34,50,90,11,16,29,11,5,17,0,0,0,22,21,41,40,55,91,383,363,747,50,46,91,473,464,929
LGA50980,87,193,28,20,49,157,138,289,12,19,29,22,8,29,9,8,20,43,35,75,223,214,440,6766,7269,14040,1267,1217,2480,8256,8700,16959
LGA51080,22,43,3,3,5,23,25,52,0,0,4,3,5,8,0,0,0,3,5,13,27,31,51,442,421,868,59,72,128,528,524,1046
LGA51120,28,53,9,10,19,28,42,72,3,3,5,10,7,14,0,5,9,13,15,26,23,20,52,404,377,783,78,73,152,505,470,979
LGA51190,856,1614,60,61,118,995,1153,2158,121,324,443,195,239,436,29,58,93,345,621,968,1011,1208,2220,13587,14588,28172,1596,993,2592,16194,16789,32987
LGA51260,1177,2331,92,101,197,1448,1516,2960,156,343,495,219,277,498,28,27,56,403,647,1045,977,1100,2072,17462,18684,36146,1307,1111,2421,19746,20895,40640
LGA51310,676,1292,21,28,54,742,862,1608,156,352,505,185,241,425,9,24,32,350,617,969,488,704,1187,13158,13664,26824,425,437,863,14071,14805,28876
LGA51330,1719,3282,74,119,191,1983,2311,4299,260,510,768,332,380,713,49,61,111,641,951,1591,1775,2064,3841,44001,43941,87936,2242,1836,4079,48018,47841,95860
LGA51400,290,565,21,13,38,352,349,701,24,36,55,28,37,65,7,4,13,59,77,136,387,328,715,7990,8546,16531,506,416,925,8883,9290,18175
LGA51470,6,26,0,9,6,19,15,33,0,0,0,3,3,6,0,0,0,3,3,11,11,10,25,238,208,444,42,40,82,291,258,552
LGA51540,73,161,17,19,36,126,119,241,10,20,30,21,16,33,8,5,8,39,41,70,96,112,210,2131,1976,4111,502,429,929,2729,2517,5251
LGA51610,11,42,4,0,3,39,14,53,3,3,6,3,0,3,0,0,0,6,3,9,32,19,48,670,634,1300,110,98,204,812,751,1556
LGA51680,106,236,14,14,25,160,142,309,10,16,33,18,19,36,3,3,9,31,38,77,132,145,275,2618,2586,5207,259,198,457,3009,2929,5930
LGA51710,11,27,0,3,3,20,14,32,0,0,4,5,0,5,0,0,0,5,0,4,16,17,25,646,565,1210,346,101,449,1008,683,1692
LGA51750,475,857,30,23,51,458,568,1030,59,161,219,109,149,258,18,30,51,186,340,529,219,330,547,4880,5302,10186,278,267,551,5377,5899,11284
LGA51820,1747,3421,134,149,287,2243,2496,4740,296,645,942,335,356,696,65,106,174,696,1107,1811,2420,2857,5278,52853,54693,107547,2909,2361,5264,58182,59911,118091
LGA51860,3,16,7,0,6,22,7,33,3,4,9,0,0,0,0,0,0,3,4,11,12,13,31,243,228,473,48,49,98,303,290,593
LGA51890,200,411,25,32,59,278,282,568,29,32,64,26,38,65,19,32,47,74,102,183,308,275,583,3777,3723,7495,388,345,730,4473,4343,8812
LGA51960,24,57,8,13,21,53,42,86,4,0,4,3,3,8,6,0,6,13,3,14,69,53,122,1364,1199,2564,447,344,790,1880,1596,3478
LGA52030,37,78,4,3,13,52,46,103,3,6,8,8,3,8,3,5,6,14,14,23,29,20,52,470,399,864,73,59,136,572,478,1055
LGA52100,33,62,0,0,6,33,37,75,3,10,11,16,11,28,0,0,3,19,21,42,17,27,44,456,447,903,25,33,58,498,507,1007
LGA52170,237,492,18,20,35,293,280,577,21,49,75,51,45,94,15,27,42,87,121,219,78,120,198,3664,3716,7382,201,184,385,3943,4020,7970
LGA52240,27,61,3,4,11,44,40,85,0,0,4,6,3,6,0,3,0,6,6,15,32,33,63,476,439,916,59,56,123,567,528,1100
LGA52310,17,46,4,3,10,34,29,61,0,3,3,10,0,13,0,0,0,10,3,12,30,21,55,401,361,763,44,40,80,475,422,902
LGA52380,5,10,3,0,3,11,5,11,0,0,0,0,0,0,0,0,0,0,0,0,5,5,12,115,54,172,17,13,32,137,72,215
LGA52450,20,53,0,5,5,33,31,64,0,0,3,8,11,19,0,3,3,8,14,27,23,22,45,602,544,1150,47,52,103,672,618,1302
LGA52520,24,38,0,7,10,17,39,63,0,3,7,10,15,23,0,0,6,10,18,36,19,27,47,587,531,1111,117,105,224,723,663,1379
LGA52590,95,215,11,11,22,139,123,265,4,12,18,17,24,38,4,3,6,25,39,65,64,75,135,1514,1364,2876,211,131,340,1789,1570,3355
LGA52660,358,650,33,50,86,388,505,900,38,77,119,83,76,159,34,40,69,155,193,347,382,391,770,6414,6614,13032,487,400,891,7283,7405,14686
LGA52730,201,433,24,19,44,281,259,542,16,42,61,41,38,81,6,9,19,63,89,155,131,170,299,2651,2762,5407,304,301,599,3086,3233,6310
LGA52800,31,59,7,13,22,51,61,119,9,14,22,0,0,6,0,4,4,9,18,29,121,127,247,2702,2710,5415,740,672,1411,3563,3509,7075
LGA52870,181,350,17,16,32,222,236,460,21,31,59,25,38,60,3,0,6,49,69,127,155,173,331,2671,2778,5441,217,169,383,3043,3120,6155
LGA52940,17,37,3,0,3,24,17,45,0,0,3,3,6,6,0,0,0,3,6,10,15,20,30,324,301,626,36,20,55,375,341,715
LGA53010,10,26,6,0,5,26,13,44,0,0,0,0,0,0,0,0,0,0,0,0,18,10,24,274,264,541,60,49,112,352,323,681
LGA53080,17,32,0,0,4,20,17,49,0,0,0,5,0,5,0,0,0,5,0,3,23,15,43,270,222,493,78,62,143,371,299,677
LGA53150,178,340,15,25,40,217,255,471,44,79,131,37,40,80,15,28,49,96,147,254,157,200,362,3365,3703,7067,195,194,386,3717,4097,7819
LGA53220,12,28,4,3,11,23,21,44,0,0,3,0,0,0,0,3,3,0,3,13,59,72,124,4435,2823,7263,1762,609,2376,6256,3504,9760
LGA53290,354,681,56,42,98,443,469,918,44,86,126,66,76,135,7,14,25,117,176,284,300,303,598,5917,5921,11844,777,668,1440,6994,6892,13883
LGA53360,36,78,3,3,3,54,48,101,0,4,9,3,9,9,3,0,3,6,13,16,43,31,71,1386,1305,2696,183,134,320,1612,1470,3085
LGA53430,750,1461,59,71,131,906,1024,1936,143,276,418,159,172,328,31,72,97,333,520,849,706,886,1598,13668,14576,28243,1135,960,2093,15509,16422,31930
LGA53570,150,369,22,19,36,270,196,462,16,20,33,27,21,47,4,6,7,47,47,88,135,127,259,2517,2345,4862,263,191,451,2915,2663,5576
LGA53640,9,24,5,0,0,25,13,34,3,3,5,0,0,3,0,0,0,3,3,8,35,30,70,558,481,1040,56,50,107,649,561,1215
LGA53710,23,48,8,6,13,34,33,68,5,6,5,8,5,15,0,0,3,13,11,24,22,23,41,410,400,813,60,52,108,492,475,955
LGA53780,1956,3754,118,160,278,2389,2778,5162,262,564,828,350,444,800,101,143,246,713,1151,1869,2830,3156,5987,56211,56436,112647,4448,3295,7744,63489,62887,126376
LGA53800,781,1511,92,94,192,1015,1125,2149,139,240,378,183,181,362,31,62,96,353,483,839,1019,1121,2136,16369,17059,33430,2119,1809,3928,19507,19989,39489
LGA53920,6,24,13,5,16,29,23,62,0,0,3,0,0,5,3,4,3,3,4,11,59,79,140,1484,1479,2966,245,227,468,1788,1785,3574
LGA53990,604,1159,38,50,91,713,763,1466,57,104,164,99,99,201,15,14,33,171,217,400,684,640,1319,12755,13020,25776,847,631,1479,14286,14291,28567
LGA54060,131,266,26,19,45,183,178,362,21,13,32,16,24,40,4,5,11,41,42,78,99,96,195,1506,1572,3080,226,183,403,1831,1851,3680
LGA54130,15,38,0,0,0,25,18,46,0,3,8,4,0,4,0,0,0,4,3,12,19,15,36,546,480,1024,55,52,106,620,547,1160
LGA54170,3186,6262,145,172,315,3729,4124,7853,413,899,1313,553,730,1276,81,115,193,1047,1744,2782,2836,3373,6213,73300,75071,148378,3061,2363,5417,79197,80807,160003
LGA54200,1463,2832,80,102,178,1684,1902,3593,189,343,538,313,343,658,42,59,100,544,745,1292,1279,1468,2752,26386,26992,53384,1435,1196,2632,29100,29656,58762
LGA54280,221,468,46,24,72,357,319,678,28,81,103,29,43,67,6,19,23,63,143,202,440,465,908,13084,12033,25122,1917,1363,3276,15441,13861,29306
LGA54310,43,78,12,3,21,74,60,135,0,5,9,0,0,4,0,0,0,0,5,12,192,142,332,9547,8536,18085,2291,1487,3778,12030,10165,22199
LGA54340,87,166,9,8,15,117,122,232,15,29,42,20,30,53,4,5,7,39,64,100,101,111,208,1750,1667,3418,231,192,430,2082,1970,4057
LGA54410,28,62,5,5,10,50,54,114,4,17,19,6,12,21,4,6,5,14,35,46,63,67,130,452,431,886,69,57,128,584,555,1138
LGA54480,4,12,0,0,0,11,4,19,0,0,0,0,0,0,0,0,0,0,0,0,4,5,10,238,194,424,33,23,59,275,222,491
LGA54550,59,109,6,9,16,70,80,150,11,10,29,6,17,25,0,0,3,17,27,54,46,44,93,844,807,1657,82,68,152,972,919,1901
LGA54620,14,41,0,3,5,24,22,51,0,4,9,5,0,9,3,3,6,8,7,18,23,17,41,381,320,704,57,49,102,461,386,847
LGA54690,7,22,0,0,0,15,7,27,0,0,5,0,0,3,0,0,0,0,0,6,10,6,18,189,149,336,13,4,14,212,159,361
LGA54760,10,33,0,3,4,27,18,43,0,3,3,6,3,4,0,0,0,6,6,11,10,18,21,341,316,658,44,39,90,395,373,769
LGA54830,456,903,25,38,66,625,689,1314,81,129,211,82,98,172,14,11,29,177,238,416,1102,1077,2175,19799,20203,40003,2585,1100,3687,23486,22380,45867
LGA54900,24,52,0,4,7,26,31,67,0,4,4,3,4,6,0,0,0,3,8,13,14,18,26,623,527,1144,48,40,83,685,585,1265
LGA54970,4,7,0,0,0,7,4,11,0,0,0,0,0,5,0,0,0,0,0,5,10,14,25,540,299,839,366,107,470,916,420,1333
LGA55040,5,13,3,0,5,6,8,26,3,0,5,0,0,0,0,0,0,3,0,3,21,9,30,593,456,1048,370,139,505,984,604,1588
LGA55110,3112,6058,229,265,496,3794,4053,7848,377,689,1063,618,690,1309,112,224,337,1107,1603,2707,2865,3092,5954,37598,41349,78949,2916,2490,5406,43379,46931,90306
LGA55180,230,492,18,20,40,339,313,647,40,70,108,56,42,95,12,5,18,108,117,221,266,322,584,3946,3863,7808,360,344,707,4572,4529,9093
LGA55250,8,21,5,0,4,19,11,31,0,0,0,0,0,0,0,0,0,0,0,0,7,14,16,529,355,889,179,114,295,715,483,1200
LGA55320,2775,5297,137,153,290,3082,3595,6676,479,1085,1561,663,851,1516,111,158,263,1253,2094,3336,2012,2853,4868,45566,49149,94713,2064,1877,3944,49642,53879,103523
LGA55390,0,6,0,0,4,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,7,4,13,260,106,358,130,19,153,397,129,524
LGA55460,50,116,17,4,16,89,73,160,5,19,18,23,17,42,3,0,5,31,36,65,74,99,177,1328,1245,2575,195,168,365,1597,1512,3119
LGA55530,15,27,7,0,8,16,15,34,0,0,0,4,0,4,0,0,0,4,0,9,7,8,12,184,151,333,38,31,65,229,190,407
LGA55600,54,112,6,9,12,77,78,149,7,14,24,8,20,24,3,5,8,18,39,57,54,55,107,962,934,1895,143,142,290,1159,1131,2292
LGA55670,11,21,3,4,10,14,20,36,0,0,3,5,0,10,3,3,8,8,3,18,23,14,33,248,242,494,65,66,136,336,322,660
LGA55740,246,475,27,22,49,283,307,594,42,49,92,32,49,81,4,29,35,78,127,211,209,194,403,3878,4375,8254,266,241,511,4353,4810,9169
LGA55810,3,12,9,0,10,22,8,23,0,0,0,0,0,3,0,0,0,0,0,9,9,9,23,171,144,314,180,135,311,360,288,653
LGA55880,8,14,0,0,0,9,8,20,0,9,13,6,4,8,0,0,0,6,13,16,8,18,31,208,178,386,25,15,44,241,211,459
LGA55950,22,35,3,3,7,20,25,46,0,0,0,3,0,6,3,0,4,6,0,11,12,10,20,263,229,489,43,31,73,318,270,579
LGA56090,964,1902,80,77,157,1187,1245,2428,116,189,305,155,184,345,42,85,124,313,458,775,848,882,1731,16597,17138,33730,2889,812,3705,20334,18832,39166
LGA56160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,46,41,84,3,9,11,53,56,101
LGA56230,541,1121,36,47,81,732,701,1433,67,97,162,121,97,219,12,11,23,200,205,409,597,549,1153,7656,7940,15595,719,597,1315,8972,9086,18068
LGA56300,54,114,11,8,26,80,68,151,4,7,9,7,3,11,0,3,3,11,13,30,33,36,72,649,611,1264,104,103,210,786,750,1538
LGA56370,27,55,8,7,13,38,40,68,6,11,12,9,15,21,3,6,13,18,32,41,13,17,26,336,309,641,72,51,124,421,377,787
LGA56460,118,234,11,8,22,156,172,326,23,56,81,31,33,68,0,7,12,54,96,159,128,182,307,1978,2012,3993,246,232,479,2352,2426,4779
LGA56580,634,1242,35,48,78,717,787,1499,85,175,263,155,181,330,21,37,61,261,393,650,367,465,826,10185,10399,20581,368,354,728,10920,11218,22132
LGA56620,0,3,0,3,3,3,11,14,0,0,0,0,0,0,0,0,0,0,0,3,28,44,64,538,583,1124,89,74,167,655,701,1358
LGA56730,250,498,27,39,70,344,361,706,37,72,106,46,55,104,10,20,30,93,147,237,335,379,717,4510,4709,9214,897,530,1427,5742,5618,11358
LGA56790,88,207,20,14,38,157,120,282,16,23,38,18,12,35,4,7,14,38,42,86,95,92,192,1377,1229,2602,239,200,434,1711,1521,3227
LGA56860,8,3,3,0,3,8,8,14,5,0,3,0,0,0,0,0,0,5,0,4,11,7,15,98,84,185,25,23,50,134,114,255
LGA56930,52,96,3,8,9,53,64,114,9,9,13,12,17,32,4,0,4,25,26,41,20,24,45,629,860,1489,31,32,59,680,916,1597
LGA57000,7,17,7,0,4,20,7,26,0,0,3,0,6,10,4,0,4,4,6,11,3,5,7,249,177,430,134,54,188,386,236,629
LGA57080,322,717,40,27,75,485,414,901,43,74,116,64,63,124,11,14,25,118,151,268,286,329,624,13038,12008,25048,1668,1126,2799,14992,13463,28463
LGA57140,36,79,3,10,7,51,62,107,3,5,7,7,4,13,0,0,4,10,9,23,36,42,77,471,431,909,22,27,48,529,500,1037
LGA57210,114,254,15,10,25,188,156,352,23,32,54,28,34,60,6,3,11,57,69,117,172,185,354,2263,2183,4447,339,251,591,2774,2619,5388
LGA57280,25,63,7,12,20,58,57,111,6,9,14,7,6,12,3,3,4,16,18,33,153,165,322,6739,6208,12946,1337,1078,2417,8229,7451,15684
LGA57350,28,58,5,10,18,44,41,81,6,13,15,9,7,16,5,4,6,20,24,39,23,28,54,307,350,661,124,123,244,454,501,961
LGA57420,55,99,8,6,7,57,70,126,4,12,12,10,3,16,0,0,0,14,15,32,40,46,89,946,843,1784,112,94,205,1098,983,2085
LGA57490,2393,4611,196,220,418,2943,3266,6210,313,541,849,433,499,930,114,191,300,860,1231,2083,3444,3468,6912,58967,61662,120628,4674,3457,8132,67085,68587,135678
LGA57630,0,9,3,0,3,11,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,39,31,67,26,9,41,65,45,109
LGA57700,312,694,34,28,62,498,455,955,49,84,137,48,50,104,8,5,12,105,139,249,574,577,1151,14288,14874,29162,1202,656,1861,16064,16107,32173
LGA57770,14,40,12,6,11,39,20,63,0,0,0,0,3,0,0,5,5,0,8,8,21,9,33,416,412,831,87,83,166,524,504,1031
LGA57840,1008,1874,85,111,196,1124,1381,2503,168,382,554,205,267,469,66,138,205,439,787,1233,754,1068,1826,19356,19994,39352,1131,1102,2233,21241,22164,43405
LGA57910,5231,9510,303,361,666,5541,7100,12645,965,1918,2882,1105,1471,2570,170,269,437,2240,3658,5894,4776,6249,11031,99131,104898,204030,5956,5353,11311,109863,116500,226369
LGA57980,495,911,39,45,80,525,631,1153,57,135,187,81,121,205,20,30,50,158,286,439,264,376,639,7501,8257,15762,450,410,867,8215,9043,17267
LGA58050,1909,3750,141,149,290,2442,2753,5197,295,585,879,334,371,706,81,100,180,710,1056,1767,3442,3549,6998,68215,69633,137849,4332,3795,8128,75989,76977,152974
LGA58190,6,13,0,4,3,11,15,25,3,0,3,0,5,9,0,0,0,3,5,6,12,8,15,173,139,315,32,26,54,217,173,386
LGA58260,15,32,3,0,7,24,19,45,3,0,3,3,0,0,0,0,0,6,0,6,14,14,25,234,215,449,51,46,94,299,275,575
LGA58330,117,265,22,20,38,189,165,353,8,16,22,27,14,39,0,3,9,35,33,72,109,126,227,1955,1878,3837,307,230,535,2371,2234,4601
LGA58400,13,22,4,0,4,20,16,29,0,6,6,0,0,0,0,0,0,0,6,0,15,10,26,124,112,238,13,18,28,152,140,298
LGA58470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,81,75,154,8,6,16,94,81,170
LGA58510,585,1068,60,112,170,709,918,1626,134,306,439,143,207,350,70,168,239,347,681,1022,817,931,1747,16299,16309,32607,1299,1235,2535,18415,18475,36889
LGA58540,22,38,4,0,3,28,27,50,8,0,8,0,3,0,0,0,0,8,3,12,16,17,33,354,314,667,48,53,101,418,384,802
LGA58570,398,780,47,38,84,553,642,1197,111,312,417,94,107,202,21,26,44,226,445,667,576,891,1467,16560,16534,33095,1103,873,1979,18239,18298,36537
LGA58610,47,115,4,10,14,79,70,152,7,11,22,10,15,22,0,4,8,17,30,47,43,57,105,751,705,1457,90,107,201,884,869,1761
LGA58680,21,37,6,3,11,25,24,48,0,0,0,3,3,7,0,0,0,3,3,9,3,8,18,232,195,427,53,43,91,288,246,535
LGA58760,3028,5836,173,232,409,3580,4218,7804,405,898,1304,534,548,1076,88,147,240,1027,1593,2623,4309,4905,9214,93152,97129,190286,5345,4275,9619,102806,106309,209111
LGA58820,99,214,14,18,35,153,152,305,11,25,42,25,19,39,10,18,29,46,62,106,96,141,242,1814,1818,3630,197,159,357,2107,2118,4234
LGA58890,14,40,0,3,3,26,20,46,0,4,4,8,6,11,0,0,3,8,10,24,13,10,22,352,302,649,47,48,100,412,360,773
LGA59030,8,17,0,4,4,13,12,19,0,0,0,4,3,4,0,0,3,4,3,6,6,4,8,107,110,212,16,17,28,129,131,248
LGA59100,22,41,9,7,11,32,32,57,0,3,4,6,3,7,0,4,3,6,10,18,14,17,30,294,270,564,60,42,103,368,329,690
LGA59170,30,57,4,5,9,39,39,65,0,0,0,9,6,10,0,0,0,9,6,17,23,15,33,448,428,873,55,58,110,526,501,1021
