LGA_CODE_2021,C21_75_79_Div_P,C21_75_79_Wid_M,C21_75_79_Wid_F,C21_75_79_Wid_P,C21_75_79_Nvr_marrd_M,C21_75_79_Nvr_marrd_F,C21_75_79_Nvr_marrd_P,C21_75_79_Tot_M,C21_75_79_Tot_F,C21_75_79_Tot_P,C21_80_84_Married_M,C21_80_84_Married_F,C21_80_84_Married_P,C21_80_84_Sep_M,C21_80_84_Sep_F,C21_80_84_Sep_P,C21_80_84_Div_M,C21_80_84_Div_F,C21_80_84_Div_P,C21_80_84_Wid_M,C21_80_84_Wid_F,C21_80_84_Wid_P,C21_80_84_Nvr_marrd_M,C21_80_84_Nvr_marrd_F,C21_80_84_Nvr_marrd_P,C21_80_84_Tot_M,C21_80_84_Tot_F,C21_80_84_Tot_P,C21_85_over_Married_M,C21_85_over_Married_F,C21_85_over_Married_P,C21_85_over_Seprtd_M,C21_85_over_Seprtd_F,C21_85_over_Seprtd_P,C21_85_over_Divorce_M,C21_85_over_Divorce_F,C21_85_over_Divorce_P,C21_85_over_Wid_M,C21_85_over_Wid_F,C21_85_over_Wid_P,C21_85_over_Nvr_mard_M,C21_85_over_Nvr_mard_F,C21_85_over_Nvr_mard_P,C21_85_over_Tot_M,C21_85_over_Tot_F,C21_85_over_Tot_P,C21_Tot_Married_M,C21_Tot_Married_F,C21_Tot_Married_P,C21_Tot_Sep_M,C21_Tot_Sep_F,C21_Tot_Sep_P,C21_Tot_Div_M,C21_Tot_Div_F,C21_Tot_Div_P,C21_Tot_Wid_M,C21_Tot_Wid_F,C21_Tot_Wid_P,C21_Tot_nver_marrie_M,C21_Tot_nver_marrie_F,C21_Tot_nver_marrie_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
LGA22910,120,30,95,128,40,25,63,418,400,817,154,106,263,9,4,8,26,33,60,31,109,137,11,9,19,232,257,490,89,42,134,4,3,3,18,19,39,62,204,266,14,11,28,183,284,467,3252,3180,6432,252,231,488,799,995,1794,212,632,845,2426,2262,4690,6943,7309,14251
LGA22980,29,16,59,70,11,5,13,147,161,314,69,48,124,4,3,3,9,5,9,16,61,73,8,3,12,99,122,224,62,42,104,3,0,3,3,4,13,39,112,147,6,9,21,115,165,282,1213,1206,2424,82,71,152,236,196,434,98,320,417,801,619,1419,2435,2417,4851
LGA23110,323,99,504,600,78,62,139,1184,1420,2598,603,399,999,26,18,39,55,93,141,138,555,695,39,34,78,857,1094,1950,449,247,701,12,4,15,39,77,119,258,956,1218,33,29,64,790,1322,2115,17235,17300,34535,1064,1311,2372,2715,3639,6348,789,3125,3915,14226,12981,27210,36029,38359,74390
LGA23190,70,31,124,160,22,5,28,366,435,806,200,138,335,3,6,3,20,32,52,44,162,203,8,15,18,274,346,617,148,75,221,0,0,0,4,10,17,89,296,388,11,18,23,251,401,656,3950,3940,7892,249,294,545,642,829,1475,251,869,1120,2991,2663,5652,8090,8603,16691
LGA23270,500,225,963,1195,85,56,149,2326,2557,4885,1019,530,1551,46,25,78,93,120,207,197,902,1107,36,37,68,1386,1615,3007,563,258,828,17,7,24,34,67,104,342,1125,1460,29,23,55,989,1481,2473,48480,48464,96942,2919,3801,6722,5333,7761,13094,1450,5987,7437,35565,29396,64959,93744,95401,189145
LGA23350,94,43,87,128,30,21,48,418,354,773,152,88,243,4,5,10,20,20,37,44,90,139,15,13,27,235,225,458,73,51,127,3,3,8,7,12,28,47,170,223,10,8,24,146,251,394,3657,3653,7316,230,231,460,708,846,1556,227,605,831,2201,1961,4159,7022,7297,14324
LGA23430,827,217,908,1126,119,124,240,2456,3046,5503,1244,842,2083,37,39,75,174,251,426,272,1004,1274,73,100,178,1796,2241,4034,934,472,1401,19,14,33,110,193,305,506,2008,2513,62,87,150,1629,2773,4401,31390,31547,62940,1699,2236,3935,4593,7224,11817,1529,5772,7304,23501,21431,44928,62717,68202,130919
LGA23670,629,207,832,1047,72,64,131,2356,2799,5154,1231,812,2042,31,28,60,131,220,352,250,944,1194,46,49,89,1689,2050,3742,734,399,1126,23,21,46,79,121,203,453,1621,2073,37,47,85,1333,2203,3540,33647,33891,67538,1596,2101,3701,3934,6487,10426,1443,5228,6673,23255,20404,43659,63878,68114,131987
LGA23810,405,171,491,666,80,32,102,1450,1532,2986,630,418,1048,37,21,54,91,92,179,143,591,737,38,17,61,932,1145,2078,389,186,578,13,12,23,55,41,91,269,920,1196,28,32,62,752,1193,1947,13280,13389,26673,1260,1448,2706,3004,3797,6802,991,3327,4320,12197,10924,23128,30738,32889,63627
LGA23940,58,22,52,73,24,5,29,224,178,401,69,51,121,6,4,8,16,4,20,24,65,87,8,0,10,126,120,244,59,30,91,9,0,7,0,3,6,53,142,197,4,6,14,127,180,308,1588,1564,3156,162,127,293,384,306,693,143,392,539,1068,851,1922,3348,3251,6602
LGA24130,236,87,236,327,41,45,90,983,945,1925,384,225,611,23,0,25,44,50,97,76,222,298,21,19,43,554,517,1070,181,99,282,6,9,7,23,31,53,137,388,529,14,8,24,365,531,893,10929,10942,21866,565,641,1212,1507,2066,3575,521,1358,1881,6619,6084,12700,20143,21092,41232
LGA24210,394,207,813,1018,50,62,118,2499,3008,5508,1703,1174,2880,37,24,64,94,153,241,252,1118,1367,38,48,85,2123,2521,4645,1296,599,1899,16,17,30,55,118,170,545,1849,2391,20,45,65,1930,2630,4558,29205,29878,59082,1004,1301,2297,2449,4170,6622,1322,5096,6414,16040,14104,30139,50015,54541,104556
LGA24250,66,11,56,70,13,12,24,252,222,475,95,63,154,3,0,3,18,9,31,16,72,88,4,4,7,137,148,285,53,13,69,0,0,0,8,7,11,34,115,148,3,0,7,92,139,239,2136,2110,4242,155,136,294,414,484,903,134,354,487,1317,1191,2510,4152,4277,8430
LGA24330,224,48,255,303,84,54,135,684,777,1462,324,218,545,21,10,27,46,74,124,70,354,422,53,41,91,515,699,1217,248,110,363,8,6,17,31,47,75,182,643,823,28,42,70,500,846,1348,13440,13156,26593,1005,1184,2193,2386,3277,5661,519,2063,2585,18421,16488,34909,35770,36173,71946
LGA24410,568,140,590,730,58,70,134,1743,2172,3915,817,598,1416,25,23,46,102,202,300,154,670,822,38,42,79,1135,1533,2663,606,322,925,9,5,17,62,134,199,351,1326,1675,23,41,63,1055,1829,2883,23128,23303,46438,1189,1578,2767,3083,5250,8334,980,3872,4851,16495,15139,31640,44880,49138,94018
LGA24600,326,43,249,296,113,86,198,960,952,1911,370,213,584,22,10,30,77,83,155,59,264,326,62,67,131,597,636,1232,212,102,312,6,0,6,52,57,114,119,496,615,67,73,141,464,726,1188,17694,17428,35122,1506,1477,2982,3629,4660,8292,479,1813,2292,45948,44884,90829,69256,70262,139515
LGA24650,333,138,512,650,51,25,78,1399,1374,2768,527,259,786,23,13,37,62,83,144,126,435,556,17,7,24,754,798,1551,228,124,358,6,3,12,31,47,77,163,515,678,9,20,27,441,714,1154,34418,34068,68492,2126,2686,4812,3890,5722,9612,932,3349,4282,25836,22334,48171,67200,68167,135368
LGA24780,256,93,324,420,62,17,81,1017,976,1995,445,322,766,14,3,23,66,62,127,99,440,541,29,30,55,657,851,1513,314,154,477,6,7,11,24,42,68,200,736,931,26,16,42,568,956,1526,10451,10382,20832,847,986,1832,1935,2391,4323,658,2298,2962,8769,7701,16472,22661,23768,46427
LGA24850,192,77,217,294,28,18,47,692,707,1402,254,167,417,9,6,21,39,49,88,72,172,248,11,7,22,385,402,786,149,79,226,10,3,13,18,29,47,89,341,432,11,3,16,269,459,730,9018,8981,17995,692,723,1421,1615,1957,3574,450,1302,1751,7797,6601,14398,19567,19566,39135
LGA24900,208,87,208,303,35,13,55,841,774,1616,372,222,593,16,16,27,52,49,100,83,273,352,30,9,44,554,568,1124,233,137,371,10,0,10,34,16,52,138,442,581,23,16,33,441,614,1050,6143,6141,12284,533,507,1033,1222,1346,2573,505,1382,1888,4232,3468,7695,12635,12834,25470
LGA24970,536,240,1069,1306,117,107,227,3028,3615,6645,1903,1420,3327,59,40,101,137,213,349,336,1354,1685,73,88,159,2508,3112,5623,1605,799,2404,36,15,52,79,154,230,732,2609,3344,65,99,165,2518,3687,6204,40416,41207,81623,1460,1833,3293,3557,5821,9385,1758,6829,8582,32333,25608,57934,79524,81293,160818
LGA25060,363,132,649,784,121,110,235,1733,2106,3839,969,715,1682,35,19,61,69,144,216,167,823,994,67,63,128,1314,1762,3074,774,314,1095,19,14,35,41,88,131,387,1523,1905,55,64,117,1276,2003,3274,23236,23343,46577,1320,1620,2940,3103,4600,7701,1037,4276,5317,20415,19341,39754,49111,53172,102281
LGA25150,165,65,185,256,38,23,54,591,623,1211,194,117,308,10,10,19,34,38,68,59,168,225,13,15,25,311,342,652,120,60,179,0,3,5,6,29,39,78,302,384,11,6,15,222,403,628,7222,7225,14448,483,577,1066,1203,1491,2696,375,1107,1480,5429,4937,10364,14709,15339,30044
LGA25250,443,153,739,896,175,134,304,1704,2118,3817,1017,794,1808,31,16,52,81,185,262,237,1241,1469,93,73,169,1456,2306,3763,1046,462,1508,26,23,54,56,121,175,583,2210,2791,82,75,152,1784,2899,4682,27655,27549,55204,1636,2023,3661,4063,5694,9756,1353,5713,7064,35243,33924,69165,69954,74900,144853
LGA25340,1296,397,1162,1562,123,152,266,4458,5104,9562,2112,1439,3552,67,58,121,257,364,625,398,1396,1797,86,89,183,2924,3348,6271,1551,817,2366,52,26,81,147,201,348,748,2340,3086,54,88,147,2561,3467,6029,35217,35199,70415,2187,2497,4682,5972,9054,15029,2244,7110,9361,21890,20056,41946,67516,73922,141435
LGA25430,231,44,150,193,28,34,64,506,554,1063,195,144,341,11,3,20,49,61,103,52,136,191,25,19,43,322,372,692,136,68,204,0,3,6,14,34,55,82,263,341,26,19,47,259,393,644,3814,3602,7414,339,325,658,987,1249,2241,263,812,1074,3206,2811,6016,8606,8792,17402
LGA25490,69,19,113,127,22,12,26,334,330,659,141,101,244,0,0,0,20,16,29,23,84,110,16,4,18,200,207,404,74,37,102,0,5,3,0,8,10,59,189,243,7,6,12,142,236,381,3617,3652,7268,241,199,437,539,609,1149,185,588,768,2346,2104,4449,6927,7151,14077
LGA25620,110,40,65,106,26,11,38,451,331,783,141,87,225,4,8,13,16,22,36,35,89,123,13,6,26,208,214,420,76,42,115,0,0,0,14,11,27,49,140,191,8,0,9,154,196,346,3115,3073,6192,294,218,505,802,735,1532,225,496,724,2208,1835,4047,6637,6360,12993
LGA25710,216,68,209,276,23,28,53,946,963,1913,391,229,623,4,5,11,21,50,80,72,193,270,8,8,13,503,491,994,200,106,302,0,0,0,18,26,45,114,392,506,8,10,22,340,539,880,14057,14137,28190,509,634,1144,1435,2178,3611,472,1344,1818,8678,7779,16457,25155,26073,51226
LGA25810,69,42,91,130,25,11,37,329,319,644,121,74,197,4,6,5,7,12,19,33,111,144,11,5,12,174,206,376,73,34,109,0,3,5,5,6,11,57,188,245,3,4,8,148,242,384,2339,2282,4619,209,177,380,454,526,981,207,615,823,1839,1503,3340,5051,5101,10147
LGA25900,545,87,314,397,220,117,334,1300,1325,2626,441,284,722,27,24,47,104,136,238,74,384,463,111,64,178,755,889,1646,292,134,427,7,9,15,51,107,160,165,569,735,78,50,129,597,876,1468,13978,13926,27905,1222,1237,2457,3856,5202,9059,588,2084,2674,24171,24046,48216,43814,46502,90312
LGA25990,50,23,58,84,9,3,16,214,179,397,56,32,89,5,0,5,11,5,22,26,58,81,10,0,9,108,99,208,39,26,67,0,0,0,9,3,7,33,78,108,4,0,5,88,103,195,1572,1450,3020,178,100,281,418,363,778,146,311,457,1137,870,2007,3447,3097,6546
LGA26080,27,15,36,51,8,9,16,134,158,293,80,62,143,0,0,3,5,11,16,14,37,54,4,5,6,95,121,217,46,27,77,4,0,4,0,9,10,27,58,79,4,0,6,75,95,175,890,888,1776,29,36,67,95,162,252,78,184,260,303,299,606,1403,1560,2965
LGA26170,196,56,194,248,32,25,53,758,745,1503,329,218,541,8,3,14,36,37,69,71,212,280,26,13,35,463,483,951,196,80,281,9,9,18,20,19,38,109,395,505,13,0,12,350,505,857,6309,6282,12599,455,446,900,1254,1483,2731,407,1243,1648,4004,3562,7564,12428,13017,25444
LGA26260,91,36,148,181,30,10,40,394,432,827,147,99,249,5,4,3,27,16,46,46,155,202,12,12,27,231,292,526,124,61,186,0,0,0,7,13,26,65,293,360,11,9,24,211,380,585,3340,3340,6681,237,248,483,548,683,1226,246,868,1114,2304,1959,4263,6672,7094,13766
LGA26350,469,105,483,582,143,167,308,1568,1877,3447,809,564,1372,22,22,44,87,183,273,140,614,757,92,90,182,1147,1476,2630,617,298,915,8,8,14,60,133,198,279,1165,1448,62,108,168,1030,1714,2749,16976,17180,34157,827,1097,1923,2602,4206,6812,807,3119,3924,22579,23295,45872,43790,48902,92690
LGA26430,90,33,92,118,17,14,30,307,334,643,146,82,225,5,0,8,34,25,59,38,85,119,8,8,15,238,191,425,92,44,131,4,0,4,14,9,22,62,192,259,7,12,19,178,257,433,2334,2330,4664,203,204,408,598,595,1187,200,569,775,1500,1299,2805,4838,4998,9835
LGA26490,145,56,151,213,28,13,36,663,671,1339,292,190,483,3,7,3,10,39,52,49,154,200,8,9,18,363,400,762,172,93,268,0,3,4,5,24,31,95,327,420,15,8,21,284,455,738,8072,8037,16107,380,402,778,961,1359,2323,321,999,1319,4989,4742,9731,14726,15530,30258
LGA26610,76,26,135,161,27,12,37,347,394,743,170,117,291,3,7,9,28,27,57,37,168,199,11,3,15,253,323,576,116,59,180,3,5,4,6,10,14,78,306,381,13,5,22,213,385,597,4353,4124,8481,302,336,640,694,709,1398,235,893,1124,3140,2614,5754,8722,8673,17396
LGA26670,21,16,39,55,8,6,16,172,161,333,71,38,109,0,0,0,12,6,20,16,46,57,5,7,8,107,94,203,46,19,62,0,0,0,5,7,10,32,97,129,6,4,7,87,131,217,1399,1372,2773,81,83,168,315,253,569,103,275,379,769,606,1371,2665,2592,5258
LGA26700,143,62,231,296,38,33,70,632,755,1388,332,202,534,9,17,22,42,50,82,77,234,312,21,22,42,472,521,991,214,122,334,7,0,5,17,29,41,116,416,538,18,19,35,372,578,952,5839,5867,11705,398,497,894,1072,1392,2465,416,1305,1723,4021,3788,7812,11752,12844,24603
LGA26730,165,61,228,291,32,30,62,644,759,1404,285,219,502,7,6,12,28,50,76,64,263,327,15,19,37,402,558,959,227,127,351,3,3,9,13,36,49,127,495,615,16,27,41,387,680,1065,6657,6653,13317,441,583,1022,1016,1641,2654,396,1462,1862,5279,5089,10372,13788,15433,29229
LGA26810,230,92,313,414,49,29,76,910,958,1871,390,241,627,21,9,23,58,51,108,75,348,424,35,17,50,578,658,1237,218,119,343,10,5,13,30,32,64,142,449,595,16,9,28,418,622,1038,9001,8749,17755,697,743,1443,1790,2061,3852,607,1802,2412,6892,5540,12432,18996,18895,37887
LGA26890,16,11,42,45,5,3,5,87,87,176,42,31,66,0,0,0,10,0,7,11,48,58,3,3,10,67,78,151,24,19,40,0,0,0,0,0,6,18,74,84,10,0,11,52,91,141,854,850,1697,78,52,133,172,146,321,61,226,283,521,385,905,1678,1653,3333
LGA26980,656,214,867,1078,115,172,288,2536,3259,5801,1517,1120,2639,38,43,81,129,277,406,273,1252,1524,64,121,183,2017,2812,4832,1283,663,1946,31,19,49,85,214,295,608,2348,2956,65,156,217,2067,3405,5471,35378,36027,71411,1340,1759,3093,3626,6452,10077,1559,6042,7597,26293,23926,50215,68197,74202,142397
LGA27070,438,240,955,1195,66,62,129,2531,2798,5329,1230,755,1982,29,14,46,98,119,220,259,1118,1383,30,21,49,1651,2022,3672,792,387,1177,19,15,32,52,63,116,420,1517,1937,35,27,60,1322,2014,3332,46614,46676,93294,2607,3394,5997,5098,7966,13065,1565,6292,7851,32786,27693,60481,88666,92021,180685
LGA27170,188,72,225,300,24,24,42,637,753,1388,284,218,506,7,5,13,44,68,110,50,240,289,17,13,31,409,543,951,195,96,294,0,0,6,25,21,44,94,396,486,8,7,20,326,519,846,7593,7666,15259,557,774,1325,1507,2000,3509,392,1412,1806,6683,5990,12668,16729,17840,34569
LGA27260,428,197,725,919,57,63,112,1806,1979,3780,718,421,1132,33,19,54,77,119,195,186,658,848,37,26,57,1036,1241,2282,359,188,544,11,0,15,28,49,81,243,932,1180,15,17,30,659,1189,1852,59956,59851,119805,2896,3661,6548,5332,7807,13142,1310,5238,6546,39797,32045,71841,109284,108604,217884
LGA27350,393,73,275,356,139,115,254,886,1068,1956,300,218,514,16,17,32,64,117,176,62,280,344,97,87,177,536,711,1246,260,113,376,10,12,16,33,78,110,115,530,650,55,62,117,473,790,1268,10722,10581,21309,871,1011,1882,2555,3583,6137,492,1788,2283,24608,24366,48966,39249,41333,80584
LGA27450,713,230,685,920,118,70,187,2648,2729,5380,1042,663,1709,37,35,69,146,200,349,210,754,960,48,37,89,1480,1685,3168,634,335,968,17,14,30,75,96,176,327,1106,1433,30,39,73,1086,1590,2677,31126,31168,62292,1753,2196,3955,4682,6900,11580,1337,4281,5620,23187,20404,43591,62089,64947,127036
LGA27630,41,25,55,78,16,6,24,186,190,375,73,58,131,0,0,3,4,6,10,16,60,82,8,4,16,109,134,244,68,26,93,3,0,3,3,5,7,36,127,164,15,3,16,125,168,297,1379,1370,2752,109,107,215,269,255,525,130,345,466,885,696,1578,2769,2765,5538
LGA29399,0,0,0,0,0,0,0,6,5,13,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,5,0,5,0,0,0,0,5,7,0,0,0,0,0,0,0,0,3,104,110,214,16,6,26,31,26,60,0,13,11,304,261,568,456,418,869
LGA29499,36,7,11,19,8,3,9,70,42,120,5,3,11,0,0,0,5,0,5,6,8,14,0,0,0,20,14,34,9,5,9,0,4,4,4,0,7,4,10,13,0,0,0,15,19,29,963,676,1642,416,246,658,581,425,1005,56,103,165,2551,1924,4474,4576,3373,7946
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,14,13,0,13,6,0,6,0,0,0,8,0,8,36,6,38
LGA30250,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,15,39,0,0,5,6,6,13,3,11,12,364,395,761,402,440,836
LGA30300,13,3,22,29,4,0,4,66,64,126,25,15,44,0,3,3,4,7,8,9,25,32,7,0,7,40,43,86,21,7,31,4,0,4,3,0,3,14,24,36,3,0,3,41,35,74,795,785,1574,75,54,131,132,119,251,43,137,177,702,617,1319,1741,1714,3455
LGA30370,42,18,81,95,20,9,23,220,237,459,112,81,189,6,7,12,17,7,21,33,76,108,11,3,14,176,165,343,44,20,66,3,0,4,5,4,8,27,146,169,9,6,10,87,177,266,3041,2900,5944,244,198,438,438,377,820,133,454,583,2047,1620,3670,5904,5556,11455
LGA30410,14,8,24,27,0,0,3,54,67,122,26,10,41,0,0,0,8,4,7,15,23,36,5,5,5,53,38,88,13,10,23,0,0,0,0,0,0,3,25,32,6,0,6,25,35,60,570,561,1127,46,40,88,98,85,187,45,109,159,385,357,747,1148,1156,2299
LGA30450,0,0,3,3,3,0,3,6,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,53,106,11,4,12,10,10,14,8,15,20,62,48,112,140,123,266
LGA30760,13,5,12,17,0,0,5,53,38,94,22,8,28,3,0,3,4,0,9,8,14,21,0,3,4,37,29,65,17,4,16,0,0,3,0,0,5,10,23,34,0,0,0,28,26,56,412,422,831,26,22,51,73,63,138,37,87,122,245,209,454,787,803,1595
LGA30900,3,0,0,0,0,0,0,3,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,72,146,14,10,27,18,13,34,3,7,8,70,65,133,179,171,347
LGA31000,4456,1163,4812,5974,958,930,1889,14346,16797,31151,6387,4439,10825,221,174,393,852,1347,2200,1347,5238,6589,518,607,1129,9326,11810,21135,4584,2354,6937,130,94,225,464,974,1442,2566,10193,12761,402,727,1133,8146,14350,22497,225550,226261,451809,13338,15710,29040,33473,49407,82877,8107,31279,39386,220042,203062,423105,500509,525710,1026217
LGA31750,0,0,0,4,0,0,0,6,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,48,113,4,0,3,13,8,20,4,6,10,82,46,124,165,116,278
LGA31820,701,241,746,994,113,66,176,2673,2589,5261,1082,738,1823,46,28,76,176,168,348,247,817,1064,55,30,89,1611,1789,3397,627,309,938,21,4,28,103,88,189,345,1139,1489,38,29,73,1142,1578,2720,19630,19632,39259,1642,1923,3559,4311,5001,9306,1376,4339,5715,13424,11703,25133,40377,42594,82973
LGA31900,88,28,108,135,13,12,27,360,383,744,177,115,290,4,0,3,18,14,30,44,149,189,22,8,25,257,281,543,94,49,144,3,0,4,12,6,18,66,262,324,8,3,9,179,317,497,3415,3374,6785,250,231,482,635,572,1210,226,781,1010,2495,1947,4443,7025,6907,13927
LGA31950,0,0,0,0,5,0,5,4,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,66,58,125,14,0,16,12,13,25,4,3,7,116,64,180,209,144,354
LGA32080,843,193,717,911,224,114,341,2357,2403,4760,801,462,1267,40,31,73,171,177,346,212,689,898,95,35,135,1322,1396,2719,518,261,780,29,11,40,86,101,195,319,1028,1349,60,30,92,1017,1438,2457,26877,27011,53890,2361,2796,5153,6370,8024,14394,1379,4567,5938,29062,26658,55723,66047,69054,135099
LGA32250,9,0,7,8,12,0,10,41,25,65,4,0,9,0,0,0,3,0,4,0,3,4,3,8,9,12,11,22,3,0,3,0,0,0,0,0,0,4,0,7,4,0,4,8,6,11,244,253,493,29,15,42,86,60,145,20,31,50,497,412,907,878,768,1643
LGA32260,149,48,165,215,62,12,74,620,585,1209,261,152,412,9,9,19,53,32,83,56,196,252,24,6,33,409,397,803,176,66,241,3,3,8,33,13,45,90,323,413,13,11,31,318,417,738,5564,5474,11037,445,433,875,1280,1155,2435,362,1132,1489,4625,3602,8229,12279,11786,24064
LGA32270,69,27,84,110,27,6,34,253,240,497,90,45,129,8,3,12,17,8,31,22,74,98,8,8,7,144,136,276,40,12,50,0,0,0,9,8,13,27,75,102,14,9,20,83,108,190,5152,4908,10065,431,375,804,988,822,1810,173,458,631,4533,3510,8038,11274,10070,21345
LGA32310,76,27,59,87,26,5,33,265,212,481,87,58,147,8,0,12,25,15,38,24,72,98,8,0,10,157,155,314,52,21,79,0,0,0,13,8,16,45,109,149,9,0,6,115,141,258,2065,2088,4152,191,199,396,469,493,965,154,431,582,1815,1577,3394,4700,4790,9488
LGA32330,0,0,0,0,0,0,3,5,4,8,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,4,5,31,37,72,0,9,9,5,4,10,10,14,21,303,362,666,355,417,775
LGA32450,4,10,12,22,3,0,6,39,31,68,7,0,10,0,4,3,0,0,0,3,9,14,0,0,0,13,16,29,5,3,4,0,0,0,0,0,0,3,12,13,0,0,0,5,17,25,615,441,1054,53,39,87,146,91,237,29,64,90,851,607,1461,1689,1239,2933
LGA32500,39,13,14,27,5,8,14,105,60,163,23,0,23,0,0,0,12,6,16,8,12,21,4,0,5,50,17,68,4,0,6,0,0,0,3,0,0,3,8,12,0,0,0,5,13,24,651,594,1248,77,65,147,292,176,469,60,100,155,943,767,1712,2022,1706,3730
LGA32600,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,38,80,3,0,10,13,4,20,0,4,4,63,49,111,125,90,219
LGA32750,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,36,81,0,3,0,11,10,16,0,7,7,72,58,129,121,109,235
LGA32770,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,76,79,153,7,7,21,5,7,16,3,20,22,369,370,745,469,487,952
LGA32810,87,21,52,72,24,9,29,261,219,480,84,41,126,7,0,4,19,12,36,24,62,89,14,0,13,147,115,265,40,14,58,5,3,4,15,12,22,27,61,91,8,0,12,92,89,184,2066,2063,4128,215,194,410,636,623,1252,137,338,478,2285,1939,4223,5338,5153,10488
LGA33100,4,0,5,0,5,0,5,19,13,31,13,6,19,0,0,0,0,0,3,0,0,5,0,0,0,14,8,22,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,7,7,148,142,292,12,3,19,40,29,67,4,14,26,110,90,198,315,284,600
LGA33200,13,8,12,22,5,0,5,42,35,73,11,9,17,0,0,0,0,0,4,3,13,12,3,0,3,14,23,39,9,0,9,0,0,0,0,5,5,0,20,20,3,0,3,13,25,31,293,295,587,20,13,36,50,64,112,20,67,90,214,182,396,594,621,1219
LGA33220,942,330,948,1278,116,79,193,3404,3306,6711,1326,864,2190,60,34,92,220,229,450,295,920,1214,79,37,117,1975,2088,4067,738,364,1100,33,12,45,107,137,244,399,1364,1758,46,32,79,1316,1908,3229,22393,22385,44778,2024,2252,4276,5334,6380,11707,1708,5282,6989,14255,12220,26478,45715,48517,94237
LGA33360,208,86,233,315,54,14,71,765,733,1507,268,164,430,16,7,20,47,54,98,69,241,311,22,7,24,415,474,886,144,66,215,10,3,14,23,11,37,104,299,404,13,8,20,293,387,679,11504,11472,22978,1130,1123,2247,2496,2472,4965,535,1479,2011,9611,8050,17657,25274,24597,49868
LGA33430,3684,845,3047,3892,437,312,752,10616,11407,22013,4402,2777,7176,175,156,331,770,1068,1833,941,3220,4156,252,193,448,6529,7405,13938,2786,1351,4131,113,61,168,426,716,1142,1544,5440,6991,204,171,367,5074,7737,12805,112444,113375,225812,8095,10323,18423,22687,32989,55675,5309,18948,24254,98344,92644,190990,246877,268279,515153
LGA33610,32,26,72,96,4,5,12,190,192,379,91,62,153,5,5,3,13,10,20,28,67,96,10,4,9,143,143,289,52,28,82,4,3,6,4,3,8,38,99,133,4,5,9,107,135,241,2011,1986,4001,156,158,314,353,293,642,138,362,502,1433,1251,2690,4092,4061,8152
LGA33620,358,111,361,469,60,29,92,1364,1312,2677,481,282,770,29,9,35,109,80,189,89,337,425,44,13,58,750,730,1476,287,130,411,14,6,21,42,43,87,148,491,634,22,16,38,512,689,1204,10451,10456,20903,877,958,1832,2598,3015,5616,647,2023,2673,7281,6119,13400,21857,22567,44425
LGA33800,59,18,94,110,28,14,38,281,292,577,141,99,242,6,4,8,22,21,37,42,122,160,15,4,20,222,245,469,121,54,169,9,0,11,11,3,16,52,198,251,10,0,15,199,260,454,2346,2331,4679,169,158,330,439,378,821,175,575,755,1578,1122,2698,4711,4569,9278
LGA33830,0,0,3,3,0,0,0,0,4,4,3,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,8,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,41,37,83,4,3,13,3,12,16,12,21,31,279,267,542,341,337,686
