LGA_CODE_2021,C21_75_79_Div_P,C21_75_79_Wid_M,C21_75_79_Wid_F,C21_75_79_Wid_P,C21_75_79_Nvr_marrd_M,C21_75_79_Nvr_marrd_F,C21_75_79_Nvr_marrd_P,C21_75_79_Tot_M,C21_75_79_Tot_F,C21_75_79_Tot_P,C21_80_84_Married_M,C21_80_84_Married_F,C21_80_84_Married_P,C21_80_84_Sep_M,C21_80_84_Sep_F,C21_80_84_Sep_P,C21_80_84_Div_M,C21_80_84_Div_F,C21_80_84_Div_P,C21_80_84_Wid_M,C21_80_84_Wid_F,C21_80_84_Wid_P,C21_80_84_Nvr_marrd_M,C21_80_84_Nvr_marrd_F,C21_80_84_Nvr_marrd_P,C21_80_84_Tot_M,C21_80_84_Tot_F,C21_80_84_Tot_P,C21_85_over_Married_M,C21_85_over_Married_F,C21_85_over_Married_P,C21_85_over_Seprtd_M,C21_85_over_Seprtd_F,C21_85_over_Seprtd_P,C21_85_over_Divorce_M,C21_85_over_Divorce_F,C21_85_over_Divorce_P,C21_85_over_Wid_M,C21_85_over_Wid_F,C21_85_over_Wid_P,C21_85_over_Nvr_mard_M,C21_85_over_Nvr_mard_F,C21_85_over_Nvr_mard_P,C21_85_over_Tot_M,C21_85_over_Tot_F,C21_85_over_Tot_P,C21_Tot_Married_M,C21_Tot_Married_F,C21_Tot_Married_P,C21_Tot_Sep_M,C21_Tot_Sep_F,C21_Tot_Sep_P,C21_Tot_Div_M,C21_Tot_Div_F,C21_Tot_Div_P,C21_Tot_Wid_M,C21_Tot_Wid_F,C21_Tot_Wid_P,C21_Tot_nver_marrie_M,C21_Tot_nver_marrie_F,C21_Tot_nver_marrie_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
LGA21670,102,67,112,179,41,17,61,419,415,841,187,115,301,11,4,15,32,34,62,49,138,188,19,11,26,296,295,591,99,48,144,4,0,4,10,22,35,84,213,298,10,12,19,210,294,501,2379,2340,4720,248,271,513,655,798,1451,283,762,1044,2084,1700,3783,5645,5867,11511
LGA21750,127,40,133,179,32,28,62,490,482,975,211,148,358,12,3,16,27,29,54,61,160,219,22,17,37,319,359,680,144,75,221,3,7,8,6,21,24,71,303,373,14,10,26,240,415,651,4241,4169,8408,307,334,639,838,1033,1873,280,923,1203,3609,2954,6564,9276,9412,18690
LGA21830,85,25,109,136,29,14,44,387,404,788,135,113,251,3,5,7,21,14,34,51,166,214,18,11,32,230,309,538,109,42,154,0,6,6,15,11,28,76,241,317,13,6,23,214,307,517,3254,3240,6490,217,248,460,598,600,1204,245,737,982,2416,1880,4295,6731,6705,13433
LGA21890,475,192,751,942,156,135,287,1739,2182,3920,1009,672,1678,41,32,73,114,158,275,228,1022,1248,87,74,164,1478,1956,3439,888,390,1273,29,15,46,63,108,178,485,1832,2316,74,67,138,1543,2406,3949,23680,23666,47348,1626,1818,3439,3787,5274,9056,1320,5032,6348,30277,29745,60020,60688,65528,126214
LGA22110,376,158,367,530,76,27,105,1560,1477,3039,626,404,1030,22,6,26,109,80,195,114,415,533,32,24,54,905,929,1836,353,182,537,19,4,20,47,40,87,211,635,838,20,13,31,640,877,1516,10032,9993,20025,820,824,1640,2242,2450,4689,798,2270,3069,6353,5648,12000,20241,21189,41422
LGA22170,789,197,631,828,118,72,190,2003,2379,4382,824,541,1364,51,30,77,139,232,369,206,748,953,51,38,92,1271,1585,2855,552,331,886,19,12,36,86,171,258,413,1333,1744,33,56,94,1106,1913,3017,23309,23424,46736,2011,2428,4438,5009,7551,12558,1337,4323,5663,23153,20885,44048,54823,58620,113444
LGA22250,60,29,95,123,11,5,11,300,310,612,148,94,244,7,11,17,20,16,35,40,113,152,9,0,10,222,236,459,93,45,138,3,0,3,4,4,12,67,179,237,8,4,16,179,234,409,2225,2204,4429,181,162,345,448,417,865,196,569,770,1431,1173,2608,4484,4526,9007
LGA22310,597,134,615,745,148,157,301,1848,2252,4099,892,628,1519,22,25,46,97,239,339,175,835,1013,102,106,204,1295,1831,3122,821,422,1238,17,15,37,84,162,250,415,1861,2280,64,111,176,1396,2577,3979,28920,29124,58038,1240,1644,2882,3452,5627,9077,1093,4610,5698,24132,23001,47136,58836,64003,122840
LGA22410,120,56,142,196,33,18,50,447,456,898,209,148,354,7,8,10,40,25,65,53,144,192,12,4,16,316,325,645,117,62,176,0,6,6,11,17,29,74,287,367,13,6,16,222,375,594,3963,3970,7930,298,317,614,885,970,1851,298,914,1212,3036,2413,5453,8470,8590,17065
LGA22490,63,40,63,101,14,5,27,353,294,649,134,75,211,5,0,6,13,13,27,33,73,112,3,5,7,193,166,361,57,30,86,0,0,3,3,11,19,27,124,147,5,5,7,96,161,258,5294,5277,10567,300,270,575,729,730,1461,222,517,729,3347,2799,6146,9891,9589,19477
LGA22620,552,221,602,817,106,103,213,2085,2279,4372,996,708,1705,35,23,58,130,167,299,220,731,946,63,51,117,1442,1688,3126,681,362,1037,17,12,30,65,112,174,410,1333,1747,44,67,109,1212,1886,3097,21899,21960,43859,1661,1975,3635,3959,5735,9690,1396,4234,5632,18254,17657,35912,47166,51561,98733
LGA22670,575,218,865,1079,126,78,199,2223,2459,4688,1052,671,1723,51,26,80,160,158,312,251,922,1170,72,49,124,1583,1826,3408,776,353,1130,28,27,54,95,123,212,406,1521,1927,42,35,81,1346,2061,3400,32004,30740,62738,2123,2315,4440,4841,6572,11413,1392,5792,7188,25874,19148,45024,66239,64563,130795
LGA22750,1266,448,1479,1926,174,191,372,4585,5322,9905,2121,1519,3647,58,49,103,252,380,631,475,1745,2211,103,105,207,3007,3795,6800,1454,757,2208,49,28,80,128,208,334,902,3130,4037,84,104,188,2619,4228,6844,50827,50623,101445,3263,4071,7335,8024,12225,20247,2847,9697,12543,42391,39332,81721,107346,115941,223284
LGA22830,293,135,367,499,70,34,102,1212,1271,2486,572,403,979,20,6,29,67,82,146,128,436,568,40,24,63,825,947,1773,378,181,556,14,0,17,32,61,89,204,737,945,22,25,47,645,1004,1649,13025,12772,25799,1006,1128,2137,2199,2819,5020,774,2465,3235,10123,8875,19000,27123,28064,55188
