LGA_CODE_2021,C21_450_549_1PF_CU15_DS,C21_450_549_1PF_CU15_NDS,C21_450_549_1PFnoCU15_DS,C21_450_549_1PF_NDCO,C21_450_549_Tot,C21_550_649_1PF_CU15_DS,C21_550_649_1PF_CU15_NDS,C21_550_649_1PFnoCU15_DS,C21_550_649_1PF_NDCO,C21_550_649_Tot,C21_650_749_1PF_CU15_DS,C21_650_749_1PF_CU15_NDS,C21_650_749_1PFnoCU15_DS,C21_650_749_1PF_NDCO,C21_650_749_Tot,C21_750_849_1PF_CU15_DS,C21_750_849_1PF_CU15_NDS,C21_750_849_1PFnoCU15_DS,C21_750_849_1PF_NDCO,C21_750_849_Tot,C21_850_949_1PF_CU15_DS,C21_850_949_1PF_CU15_NDS,C21_850_949_1PFnoCU15_DS,C21_850_949_1PF_NDCO,C21_850_949_Tot,C21_950over_1PF_CU15_DS,C21_950over_1PF_CU15_NDS,C21_950over_1PFnoCU15_DS,C21_950over_1PF_NDCO,C21_950over_Tot,C21_Rns_1PF_CU15_DS,C21_Rns_1PF_CU15_NDS,C21_Rns_1PFnoCU15_DS,C21_Rns_1PF_NDCO,C21_Rns_Tot,C21_Tot_1PF_CU15_DS,C21_Tot_1PF_CU15_NDS,C21_Tot_1PFnoCU15_DS,C21_Tot_1_pa_f_NDCO,C21_Tot_Tot
LGA14500,3,97,46,43,191,28,138,75,61,305,12,72,57,24,169,14,38,36,17,102,12,33,36,17,96,61,78,75,23,236,3,23,14,7,44,151,523,350,212,1228
LGA14550,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,23,101,10,47,179
LGA14600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,10,74,8,31,115
LGA14650,122,526,115,191,954,33,148,30,50,262,9,25,10,17,66,5,12,5,8,26,0,5,0,0,7,4,5,4,0,10,15,82,15,44,152,433,2455,510,1229,4631
LGA14700,5,76,9,16,114,6,50,9,16,82,3,29,8,14,56,6,21,8,9,42,6,7,11,4,24,6,31,8,4,50,3,5,0,7,9,36,272,78,104,484
LGA14750,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,3,15,151,16,43,229
LGA14850,13,60,14,25,114,0,17,5,8,33,0,9,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,0,8,23,101,567,127,264,1059
LGA14870,3,9,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,9,22,43,263,38,118,467
LGA14900,161,565,188,396,1306,105,263,92,200,659,29,79,25,58,184,13,23,3,11,48,3,4,0,7,16,0,0,3,11,15,19,79,21,76,187,596,2343,682,1738,5359
LGA14920,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,107,5,29,157
LGA14950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,31,0,7,35
LGA15050,71,267,52,65,453,3,32,7,16,60,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,50,10,20,82,250,1370,230,530,2389
LGA15240,20,129,16,52,210,3,12,4,3,28,0,4,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,25,4,14,53,189,1194,167,542,2089
LGA15270,9,38,7,13,61,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,5,18,33,296,31,102,466
LGA15300,0,0,0,5,5,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,13,35,30,194,17,98,331
LGA15350,5,25,15,22,68,6,29,17,16,63,7,19,10,6,43,5,18,8,9,36,6,7,0,8,24,14,39,20,13,84,0,5,5,0,8,36,157,81,81,358
LGA15520,0,3,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,13,16,91,20,27,149
LGA15560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,0,20,51
LGA15650,0,11,0,7,15,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,15,38,270,29,103,443
LGA15700,4,25,0,11,41,0,3,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,5,25,58,239,35,121,454
LGA15750,0,7,0,0,9,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,13,22,156,24,67,267
LGA15800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,85,9,25,125
LGA15850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,19,76,8,26,132
LGA15900,77,423,94,152,750,34,142,32,55,268,6,42,10,7,65,5,23,4,8,44,0,0,9,6,11,0,10,6,0,22,7,49,9,35,99,297,1801,427,928,3445
LGA15950,0,61,33,28,123,8,107,39,46,194,15,99,26,37,175,12,67,32,30,139,8,40,18,26,87,26,67,55,34,177,0,6,8,8,28,69,498,219,231,1014
LGA15990,29,243,65,118,459,33,256,99,140,532,45,217,99,97,454,42,153,66,71,324,48,109,66,70,284,72,225,125,74,493,7,21,20,21,71,298,1351,582,718,2951
LGA16100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,9,10,51,3,21,84
LGA16150,25,81,10,23,139,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,6,33,101,656,72,223,1053
LGA16200,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,42,195,20,60,320
LGA16260,107,552,251,400,1306,68,257,124,216,661,34,91,49,71,241,8,45,33,28,119,0,14,3,10,29,6,14,3,13,41,9,61,20,52,153,348,1818,769,1371,4310
LGA16350,151,694,135,300,1286,67,227,50,99,444,14,73,14,24,123,0,14,3,11,35,0,3,0,4,11,0,6,0,6,14,12,97,12,52,178,520,3196,578,1532,5823
LGA16380,48,221,43,83,397,17,50,10,25,108,9,18,4,4,29,0,7,0,0,10,0,0,0,0,0,0,0,0,0,4,3,22,5,20,47,195,1036,218,502,1946
LGA16400,37,162,35,68,301,18,38,8,18,85,5,13,3,10,30,0,5,0,0,4,0,4,0,0,4,0,0,0,0,5,4,35,5,14,55,177,932,152,425,1688
LGA16490,18,108,28,40,198,7,46,12,13,83,3,22,4,8,43,0,11,0,0,16,0,0,0,0,0,0,0,0,0,0,0,16,3,3,28,69,562,90,219,936
LGA16550,15,169,57,105,348,19,202,65,109,399,32,114,32,66,236,13,67,28,28,142,8,32,12,18,80,26,64,39,34,167,3,29,8,30,70,157,975,347,676,2153
LGA16610,3,25,4,4,35,0,5,0,5,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,4,16,42,333,40,134,556
LGA16700,27,193,67,106,385,36,174,85,103,398,18,82,51,54,206,15,32,15,19,76,3,17,9,14,46,8,14,13,18,50,6,17,11,25,58,131,755,364,580,1829
LGA16900,59,303,67,143,572,26,115,21,39,203,8,16,9,7,33,0,6,0,0,7,0,0,0,0,0,0,4,0,0,3,4,28,5,25,61,188,1010,205,524,1923
LGA16950,42,187,24,82,339,10,34,4,9,57,0,3,3,4,13,0,4,0,0,11,0,0,0,0,0,0,0,0,0,3,3,26,3,21,58,204,1241,205,597,2252
LGA17000,3,27,3,8,43,0,4,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,13,35,255,31,99,414
LGA17040,3,19,9,7,32,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,8,0,4,10,22,158,26,56,268
LGA17080,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12,24,176,23,77,301
LGA17100,18,75,40,63,193,8,38,28,36,109,5,19,13,9,43,0,7,0,8,12,0,0,3,0,7,0,7,0,3,13,4,12,3,10,26,60,210,134,207,602
LGA17150,56,367,122,195,748,59,257,98,154,573,44,157,58,85,345,31,69,48,44,187,16,21,19,20,73,21,33,6,18,82,6,28,11,23,74,297,1358,494,856,3004
LGA17200,9,103,45,82,247,10,179,69,89,351,13,159,49,71,289,10,94,50,46,203,13,66,31,26,134,17,108,69,48,239,6,33,14,42,101,140,1152,480,825,2597
