SA3_CODE_2021,C21_75_84_No_need_assist_F,C21_75_84_No_need_assist_P,C21_75_84_Need_assist_ns_M,C21_75_84_Need_assist_ns_F,C21_75_84_Need_assist_ns_P,C21_75_84_Tot_M,C21_75_84_Tot_F,C21_75_84_Tot_P,C21_85over_Need_assist_M,C21_85over_Need_assist_F,C21_85over_Need_assist_P,C21_85over_No_need_assist_M,C21_85over_No_need_assist_F,C21_85over_No_need_assist_P,C21_85over_Need_assist_ns_M,C21_85over_Need_assist_ns_F,C21_85over_Need_assist_ns_P,C21_85over_Tot_M,C21_85over_Tot_F,C21_85over_Tot_P,C21_Tot_Need_assist_M,C21_Tot_Need_assist_F,C21_Tot_Need_assist_P,C21_Tot_No_need_assist_M,C21_Tot_No_need_assist_F,C21_Tot_No_need_assist_P,C21_Tot_Need_assist_ns_M,C21_Tot_Need_assist_ns_F,C21_Tot_Need_assist_ns_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
31701,3947,7261,229,300,536,4433,5478,9907,605,1329,1928,709,939,1643,114,196,314,1428,2464,3892,5317,5927,11248,68503,73974,142478,4315,4018,8334,78135,83919,162059
31801,1120,2249,130,121,248,1565,1579,3135,208,392,599,239,265,506,45,59,102,492,716,1213,1361,1448,2815,17294,17225,34523,2242,1889,4127,20897,20562,41467
31802,2962,5736,261,278,546,3886,4376,8267,427,937,1369,443,569,1010,96,172,268,966,1678,2648,5685,5686,11367,81260,84246,165509,9294,6651,15941,96239,96583,192820
31901,2990,5986,206,217,420,4039,4184,8227,455,820,1274,580,619,1198,68,97,161,1103,1536,2632,4459,4424,8883,38397,40589,78988,3114,2814,5925,45970,47827,93797
31902,1331,2858,206,176,378,2180,1928,4102,211,351,560,264,257,522,49,62,111,524,670,1198,2484,2264,4740,19979,20125,40101,2539,2295,4829,25002,24684,49678
31903,1427,2922,135,120,254,2115,2041,4148,245,370,624,228,258,481,36,62,100,509,690,1204,2666,2500,5168,21686,22524,44209,2007,1757,3771,26359,26781,53141
31904,2394,4753,217,277,492,3289,3462,6752,331,589,912,418,458,881,91,180,272,840,1227,2069,3420,3337,6757,24941,28000,52942,1900,1896,3798,30261,33233,63492
31905,1369,2881,135,126,261,2095,1935,4027,202,347,548,227,270,503,44,67,109,473,684,1159,2746,2495,5244,18977,19436,38410,2396,1574,3973,24119,23505,47629
39797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,43,9,44,110,24,130,153,33,183
39999,118,340,38,17,62,281,158,444,5,9,19,9,7,16,5,3,11,19,19,44,421,371,793,5326,4993,10318,2113,1442,3558,7860,6806,14670
40101,484,922,45,33,84,536,599,1140,59,134,192,73,90,161,23,54,73,155,278,425,409,443,850,11167,10936,22102,1195,879,2076,12771,12258,25026
40102,1819,3572,101,94,197,2129,2274,4406,230,443,668,336,401,734,43,55,99,609,899,1498,1743,1863,3607,35667,37052,72715,1773,1623,3401,39183,40538,79723
40103,1580,3010,44,63,108,1669,1959,3628,222,524,752,329,475,803,24,32,51,575,1031,1609,904,1293,2196,20539,22223,42764,548,530,1074,21991,24046,46030
40104,1670,3032,55,106,166,1762,2368,4132,342,679,1026,382,397,781,48,87,138,772,1163,1935,1528,1994,3516,24353,25495,49848,901,900,1801,26782,28389,55173
40105,1145,1976,49,54,102,1065,1547,2611,218,503,725,262,319,578,30,46,74,510,868,1377,904,1286,2181,16481,17490,33972,683,651,1333,18068,19427,37487
40106,597,1110,34,35,67,673,859,1526,131,303,428,147,187,339,15,32,46,293,522,818,637,903,1542,13739,14011,27742,508,491,1003,14884,15405,30289
40107,1065,1945,49,58,109,1114,1477,2599,283,685,969,223,297,519,27,60,89,533,1042,1572,900,1506,2404,16874,18329,35203,505,529,1035,18279,20364,38641
40201,921,1676,47,51,96,1028,1276,2301,155,308,465,209,210,421,19,35,57,383,553,935,1425,1410,2841,16324,16978,33308,817,749,1560,18566,19137,37709
40202,1444,2691,118,163,278,1792,2236,4027,260,544,801,304,362,666,79,122,203,643,1028,1676,4268,4257,8522,42073,43310,85383,3090,2936,6022,49431,50503,99932
