SA3_CODE_2021,C21_OTT_DS_F_a,C21_OTT_DS_OD,C21_OTT_DS_NS,C21_OTT_Tot,C21_TT_NS_DS_Sep_house,C21_TT_NS_DS_SemiDRTHT,C21_TT_NS_DS_F_a,C21_TT_NS_DS_OD,C21_TT_NS_DS_NS,C21_TT_NS_Tot,C21_Tot_DS_Sep_house,C21_Tot_DS_SemiDRTHT,C21_Tot_DS_F_a,C21_Tot_DS_OD,C21_Tot_DS_NS,C21_Tot_Tot
30201,9,0,0,196,275,110,31,0,0,416,13115,3018,770,4,19,16916
30202,312,0,0,763,514,182,360,56,8,1118,20265,3500,6458,225,32,30482
30203,134,0,5,282,249,110,295,0,8,669,10133,2270,5675,18,34,18126
30204,43,0,0,506,467,214,233,142,6,1067,17899,3559,2340,173,37,24011
30301,77,0,0,265,346,143,127,18,6,639,14622,4179,1687,143,29,20659
30302,382,0,4,664,430,115,770,3,13,1332,15878,3283,14456,20,64,33706
30303,64,0,0,422,551,178,269,50,8,1059,20542,3821,3292,413,45,28118
30304,31,0,0,223,281,94,109,0,3,492,11498,1670,1731,3,36,14946
30305,8,0,0,259,617,239,34,16,13,919,18258,3844,252,60,54,22470
30306,27,0,0,308,545,171,17,33,6,781,13293,3135,98,111,20,16663
30401,90,0,0,195,177,16,7,0,0,204,10606,831,165,6,4,11603
30402,23,0,0,219,231,30,13,0,0,275,15165,610,165,4,12,15955
30403,207,0,4,371,193,67,357,3,0,617,9992,1768,8912,19,62,20751
30404,51,0,0,333,299,101,113,0,0,507,16024,1428,2314,0,27,19795
30501,378,0,10,467,207,63,2386,123,56,2829,5184,1232,35407,194,273,42291
30502,36,0,0,115,265,150,327,3,10,753,9314,3105,5496,9,44,17963
30503,353,0,8,608,368,147,1501,5,17,2042,15907,3202,25496,25,160,44789
30504,120,0,10,264,268,54,388,14,15,743,13387,1231,9280,56,99,24060
30601,19,9,13,196,697,153,238,27,12,1137,17708,1962,2430,417,230,22747
30602,71,10,16,606,1697,560,1191,233,78,3762,27238,4676,8595,742,292,41543
30603,5,39,13,378,1127,85,117,153,47,1538,12252,867,688,1150,246,15199
30604,11,19,10,130,346,87,78,35,11,556,3758,715,660,492,200,5826
