SA3_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
40201,4,7,0,0,0,7,7,7,25,627,478,76,1182,41,42,80,1266,662,17,1944
40202,15,24,4,7,8,35,44,48,128,1571,1364,231,3158,242,263,509,3663,3124,82,6883
40203,3,7,4,0,4,10,17,17,49,949,703,85,1728,81,83,163,1892,1402,37,3327
40204,11,31,0,0,6,35,44,42,114,2116,1797,256,4172,185,216,402,4571,3357,73,8004
40205,6,14,0,5,5,14,8,5,27,1520,1090,141,2755,85,69,150,2906,1400,19,4325
40301,0,3,0,0,0,3,0,6,14,455,322,44,822,23,19,40,862,357,8,1225
40302,4,8,0,0,0,8,8,11,34,1448,1080,107,2637,69,72,138,2774,1530,35,4345
40303,0,8,0,0,0,8,0,7,20,886,595,58,1533,27,27,52,1589,635,21,2243
40304,9,24,0,3,6,29,41,33,102,2770,2510,311,5597,178,218,394,5993,3359,61,9413
40401,5,12,0,0,0,13,20,19,60,1692,1175,157,3023,100,101,205,3228,2189,52,5469
40402,3,8,0,0,0,8,20,18,42,896,708,89,1697,68,70,143,1839,1463,29,3335
40403,5,0,0,0,0,0,4,4,14,811,560,61,1429,47,35,82,1519,938,24,2476
40501,4,6,0,0,0,8,5,0,16,459,380,52,889,31,30,57,945,433,7,1386
40502,0,4,0,0,0,4,8,9,13,175,235,25,427,23,12,35,462,340,11,812
40503,0,0,0,0,0,0,14,18,31,262,297,36,591,41,36,72,666,571,27,1260
40504,7,12,0,0,5,14,23,13,43,160,223,40,424,36,17,56,479,460,14,959
40601,5,11,3,0,3,14,31,29,75,614,629,79,1324,67,62,127,1453,1005,46,2503
40602,5,8,0,0,5,8,18,20,46,270,218,53,539,46,36,76,625,500,28,1152
40701,3,11,0,0,0,11,5,4,23,472,607,74,1152,25,29,55,1205,755,16,1977
40702,7,17,0,0,0,17,13,14,44,711,727,95,1535,53,55,104,1636,874,29,2544
40703,0,14,3,0,5,17,32,16,63,764,738,105,1607,96,66,160,1770,1308,38,3116
49797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50101,0,6,0,0,0,4,6,10,22,624,750,79,1456,30,25,55,1515,553,18,2085
50102,5,18,0,0,6,19,23,20,65,1405,1224,172,2804,115,123,236,3046,1680,38,4762
50103,0,3,0,0,0,3,3,3,12,184,197,29,416,14,10,26,440,298,7,744
50201,7,20,0,0,0,18,16,34,69,1298,1261,169,2717,157,175,334,3054,1948,57,5062
50301,0,4,0,0,0,4,0,7,9,712,534,43,1292,42,39,73,1370,555,16,1938
50302,3,7,0,0,0,7,4,6,21,1236,704,79,2016,52,54,105,2121,829,17,2967
50401,6,11,0,0,0,11,15,13,35,1166,807,107,2086,92,92,179,2270,1220,35,3519
50402,3,4,0,0,0,4,6,10,25,605,382,62,1047,33,40,71,1122,565,16,1709
50403,18,33,0,0,0,32,24,29,91,2434,1635,251,4322,156,171,324,4647,2202,64,6910
50501,7,17,0,0,0,17,15,14,48,2319,1543,182,4046,105,115,214,4260,1568,41,5869
50502,10,26,7,0,7,30,20,47,100,2788,2048,207,5044,170,198,367,5410,2856,88,8347
50503,20,46,3,4,4,50,26,45,122,3318,2530,334,6177,250,265,517,6696,3134,80,9903
50601,9,15,4,6,7,17,15,33,68,1336,928,133,2399,139,154,291,2692,1573,52,4319
50602,5,5,0,0,0,9,20,11,40,894,568,66,1529,83,89,161,1693,1025,23,2748
50603,0,6,0,0,0,6,11,27,39,1114,797,87,1996,75,77,149,2147,1167,49,3365
50604,6,12,0,0,3,23,22,44,86,1653,1171,165,2994,154,162,320,3312,2046,73,5425
50605,6,13,0,0,0,12,10,5,24,881,605,83,1567,49,61,111,1677,724,17,2415
50606,0,3,0,0,0,3,13,6,20,402,306,46,759,24,26,52,805,369,3,1179
50607,0,0,0,0,0,0,10,10,18,473,325,31,834,25,27,54,878,432,18,1329
50701,3,12,0,6,6,12,14,29,53,1732,1321,155,3207,84,130,211,3424,1502,48,4971
50702,0,5,0,0,0,6,6,10,15,513,406,37,955,32,28,57,1013,509,17,1538
50703,5,7,0,0,0,11,11,19,39,682,497,82,1254,64,74,142,1401,873,16,2287
50704,5,12,0,0,3,12,10,14,45,1364,927,104,2397,55,82,138,2529,1178,33,3737
50705,14,33,0,0,0,33,32,51,113,2031,1559,254,3843,182,175,358,4201,2272,75,6551
50901,3,3,0,0,0,3,13,22,36,593,672,59,1326,37,50,86,1415,835,39,2293
50902,3,7,0,0,0,15,20,28,65,487,400,69,959,47,54,98,1064,720,47,1833
50903,0,0,0,0,0,3,6,3,10,156,125,36,308,26,9,35,345,227,12,586
51001,6,11,0,0,4,9,44,49,104,427,247,59,739,32,39,70,809,944,73,1827
51002,0,6,0,0,0,6,10,13,30,297,76,33,403,22,22,41,437,239,20,693
51003,0,0,0,0,0,0,0,4,13,307,104,31,442,4,12,19,457,140,7,603
51101,0,4,0,0,0,4,0,12,17,171,114,20,308,12,14,19,329,201,15,547
51102,0,0,0,0,0,0,7,5,12,93,61,7,167,4,15,18,184,121,5,311
51103,6,14,0,0,0,14,8,34,59,543,220,47,817,33,25,58,872,466,46,1385
51104,3,8,4,0,4,7,20,21,47,651,516,78,1246,61,67,129,1371,859,40,2277
59797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60101,3,4,0,5,5,6,17,7,33,293,320,58,677,51,48,97,771,627,15,1417
60102,4,5,0,0,0,4,16,15,39,898,768,89,1761,54,58,116,1873,971,36,2878
60103,0,8,0,3,3,7,29,14,55,939,813,118,1875,75,94,170,2047,1401,45,3489
60104,0,0,0,0,0,0,0,3,10,533,460,46,1044,22,13,42,1085,471,12,1571
60105,0,0,0,0,0,0,11,6,17,620,450,57,1129,28,33,60,1194,505,14,1702
60106,0,6,0,0,0,5,8,3,13,266,250,39,554,17,17,36,587,298,8,894
60201,8,9,0,0,4,13,31,19,60,1249,1165,129,2537,85,137,221,2762,1630,42,4431
60202,0,7,0,0,0,7,7,5,18,223,230,30,486,26,22,50,537,362,11,915
60203,5,8,0,0,0,8,11,8,28,350,401,58,809,39,37,78,889,739,23,1648
60301,0,0,0,0,0,0,3,5,9,115,92,12,227,16,12,28,252,208,7,470
60302,0,5,0,0,0,6,4,7,18,197,240,23,463,16,7,25,494,346,9,847
60303,0,0,0,0,0,0,0,5,4,42,65,11,115,8,6,12,126,111,3,245
60401,0,8,0,0,0,4,22,22,44,583,606,91,1281,53,72,126,1409,1052,35,2492
60402,4,9,0,0,0,9,20,20,48,593,593,86,1271,56,61,125,1389,902,36,2331
60403,0,0,0,0,0,0,5,3,7,151,150,18,324,27,19,43,369,284,8,662
69797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70101,0,0,0,0,0,0,0,5,6,397,128,24,545,19,12,29,575,184,8,772
70102,0,6,0,0,0,11,7,19,38,979,385,78,1446,49,37,84,1527,760,60,2349
70103,3,3,0,0,0,3,3,13,21,271,104,39,417,20,15,30,442,175,19,636
70104,0,7,0,0,0,8,10,11,26,887,294,72,1250,51,31,82,1336,494,32,1857
70201,4,12,0,0,0,9,23,28,62,523,227,58,806,55,25,76,886,813,43,1739
70202,0,0,0,0,0,0,0,4,9,39,24,7,78,22,8,26,105,202,4,313
70203,0,5,0,0,0,6,18,16,40,97,85,24,206,39,28,66,274,532,22,832
70204,0,9,0,0,0,6,10,9,26,117,65,16,206,16,17,37,244,433,19,690
70205,5,5,0,0,0,8,5,8,20,190,82,24,302,42,24,63,367,493,28,888
79797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101,3,3,0,0,0,3,10,16,30,1703,816,152,2678,55,66,126,2807,1325,33,4161
80103,0,0,0,0,0,0,0,0,0,18,9,0,28,0,0,0,24,17,0,45
80104,0,9,0,0,0,11,0,11,21,1528,559,106,2193,40,34,74,2267,700,25,2992
80105,0,0,0,0,0,5,0,9,12,716,290,38,1038,38,20,53,1095,483,17,1594
80106,0,0,0,0,0,0,3,3,9,502,146,28,678,15,16,26,703,235,8,947
80107,0,7,0,0,0,11,9,7,31,1917,802,155,2877,49,62,106,2990,1213,16,4215
80108,0,0,0,0,0,0,3,0,6,440,172,31,646,13,8,19,663,318,5,984
80109,0,0,0,0,0,5,0,3,11,611,219,41,874,21,16,38,907,375,6,1294
80110,0,0,0,0,0,0,0,0,5,212,79,11,305,3,7,10,314,79,0,394
80111,0,0,0,0,0,0,0,0,0,10,3,0,9,0,4,4,17,10,0,20
89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90101,0,0,0,0,0,0,0,0,0,13,6,0,23,0,0,0,24,12,0,34
90102,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,5,0,7
90103,0,0,0,0,0,0,0,4,5,3,7,0,10,0,0,0,8,9,4,25
90104,0,0,0,0,0,0,0,0,0,27,29,4,58,0,0,0,58,17,0,73
99797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
