SA3_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
60202,1673,1548,1596,1207,1151,841,941,1382,207,10538
60203,2601,2153,2518,1954,1643,1351,1564,2419,340,16548
60301,866,535,840,715,579,398,563,833,141,5466
60302,1351,1807,1435,1046,970,570,520,1177,209,9086
60303,546,380,416,361,267,167,163,563,72,2939
60401,2327,3352,3247,3025,2328,2023,1936,2742,371,21358
60402,2474,3067,3319,2998,2147,2000,1687,2954,401,21041
60403,1394,831,1030,846,643,499,828,1478,160,7713
69797,0,0,0,0,0,0,0,5,0,12
69999,24,50,48,39,27,21,37,50,11,309
70101,2812,4461,1975,2412,2168,1013,580,1051,304,16790
70102,3222,7289,3550,4081,3705,2035,1337,2322,507,28050
70103,1539,1423,2085,1290,1592,616,855,902,246,10538
70104,2111,3011,3179,3164,3096,1545,1246,1524,393,19252
70201,2054,3955,1949,3079,1929,962,593,1348,399,16261
70202,247,324,185,351,178,70,68,303,40,1768
70203,569,878,418,646,320,170,223,472,146,3851
70204,368,871,468,540,354,196,274,248,126,3441
70205,870,1247,902,1175,713,313,351,790,167,6522
79797,0,18,9,5,0,0,4,26,0,56
79999,54,107,49,62,46,19,31,107,22,500
80101,8798,16499,6345,6765,8161,3824,1508,3362,1150,56413
80103,137,101,91,76,80,38,42,67,13,649
80104,8147,14271,5233,5850,7628,3346,1364,2624,1097,49563
80105,8000,14050,2018,3843,4316,1886,392,1325,734,36561
80106,4269,7448,815,1374,2061,835,174,452,407,17839
80107,7386,11598,5984,5201,8518,3112,1769,2670,1058,47286
80108,2433,3990,1127,1171,1669,637,239,474,246,11985
80109,3927,7365,1618,2111,2695,1138,371,1116,401,20745
80110,1187,2726,547,685,964,355,136,243,141,6989
80111,82,77,63,33,42,8,11,31,7,354
89797,0,0,0,0,0,0,0,0,0,0
89999,28,51,25,30,27,21,5,19,0,216
90101,100,97,143,123,92,14,80,105,16,771
90102,37,34,40,39,21,12,11,46,0,239
90103,28,21,7,10,8,0,0,10,0,93
90104,187,145,199,158,157,112,45,113,18,1139
99797,0,0,0,0,0,0,0,0,0,0
99999,0,4,0,0,0,0,0,0,0,3
