Australian Bureau of Statistics

"2021 Census - selected dwelling characteristics"
"BEDRD Number of Bedrooms in Private Dwelling (ranges) and NPRD Number of Persons Usually Resident in Dwelling by SA1 (EN) by TEND Tenure Type"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

" None (includes studio apartments or bedsitters),  One person"
"TEND Tenure Type","Owned outright","Owned with a mortgage","Purchased under a shared equity scheme","Rented","Occupied rent free","Occupied under a life tenure scheme","Other","Total",
"Segment 13",254,98,0,478,12,25,4,871,
"Segment 14",152,250,4,1020,18,6,6,1458,
"Segment 15",89,266,0,1525,11,0,4,1896,
"Segment 16",1228,3643,22,21207,212,18,11,26335,
"Segment 17",71,185,8,921,8,4,5,1202,
"Segment 18",338,1110,7,6055,32,10,8,7557,
"Segment 19",91,104,0,302,14,3,5,523,
"Segment 20",305,170,3,728,35,22,3,1269,
"Segment 21",602,896,13,5292,81,40,18,6944,
"Segment 22",253,803,6,3878,50,7,8,5003,
"Segment 23",131,152,0,632,10,9,3,938,
"Segment 24",221,106,6,344,20,19,9,722,
"Segment 25",265,471,4,2179,31,35,7,2997,
"Segment 26",85,50,0,701,14,8,0,862,
"Segment 27",79,107,0,932,23,12,4,1162,
"Segment 28",91,92,0,495,9,5,0,701,
"Segment 29",122,74,5,612,9,40,4,876,
"Segment 30",162,87,4,496,7,28,9,793,
"Segment 31",523,553,19,5272,62,61,11,6495,
"Segment 32",118,158,11,2112,18,21,7,2441,
"Segment 33",165,139,0,163,16,7,4,495,
"Segment 34",335,169,0,204,35,7,3,759,
"Segment 35",743,198,6,320,33,36,12,1342,
"Segment 36",392,182,0,673,24,18,9,1301,
"Segment 37",410,205,9,1494,27,39,7,2195,
"Segment 38",1861,302,29,1389,53,288,22,3936,
"Segment 39",232,93,0,150,31,5,6,518,
"Segment 40",352,166,4,283,30,16,4,868,
"Segment 41",399,147,0,152,51,3,9,758,
"Segment 42",110,65,0,96,12,0,0,285,
"Segment 43",415,187,0,343,39,4,6,1001,
"Segment 44",1652,643,8,551,184,14,29,3078,
"Segment 45",397,157,0,147,48,3,9,768,
"Segment 46",682,226,0,350,74,5,8,1354,
"Segment 47",247,60,0,42,36,0,5,391,
"Segment 48",117,12,0,300,65,6,15,509,
"Segment 50",97,30,0,30,17,0,0,177,
"Total",16313,16105,193,77959,1763,1047,334,113723,


" One bedroom,  Three persons"
"TEND Tenure Type","Owned outright","Owned with a mortgage","Purchased under a shared equity scheme","Rented","Occupied rent free","Occupied under a life tenure scheme","Other","Total",
"SA1 (EN)",
"Segment 01",12,21,0,95,3,0,0,131,
"Segment 02",17,22,0,89,5,0,0,127,
"Segment 03",17,35,0,64,3,0,0,123,
"Segment 04",6,20,0,26,0,0,6,59,
"Segment 05",12,14,0,33,3,0,0,64,
"Segment 06",4,9,0,14,0,0,0,30,
"Segment 07",4,3,0,27,0,0,0,30,
"Segment 08",46,174,0,581,7,0,3,812,
"Segment 09",5,28,0,119,0,0,0,153,
"Segment 10",17,66,0,164,3,0,0,247,
"Segment 11",15,9,0,57,0,0,3,77,
"Segment 12",14,22,0,10,0,0,4,54,
"Segment 13",7,17,0,65,3,0,0,90,
"Segment 14",8,28,0,99,3,0,3,130,
"Segment 15",10,53,0,253,4,0,0,319,
"Segment 16",91,568,4,1943,8,0,5,2613,
"Segment 17",6,27,3,128,6,0,0,169,
"Segment 18",22,99,0,405,3,0,0,533,
"Segment 19",7,14,0,44,3,0,0,67,
"Segment 20",10,22,0,102,0,0,0,138,
"Segment 21",35,75,0,339,10,0,0,458,
"Segment 22",32,201,0,572,4,0,4,817,
"Segment 23",12,16,0,68,3,0,0,102,
"Segment 24",16,13,0,47,5,0,0,74,
"Segment 25",14,64,0,270,5,0,0,352,
"Segment 26",15,17,0,147,0,0,0,180,
"Segment 27",11,33,0,164,4,0,6,217,
"Segment 28",14,19,0,86,4,0,6,124,
"Segment 29",5,20,0,79,0,0,0,109,
"Segment 30",10,17,0,83,0,0,0,108,
"Segment 31",29,66,0,531,4,0,0,637,
"Segment 32",10,34,0,164,0,0,3,210,
"Segment 33",12,36,0,20,3,0,0,68,
"Segment 34",14,41,0,42,3,0,0,106,
"Segment 35",26,28,0,40,7,0,0,96,
"Segment 36",24,29,0,84,9,0,0,146,
"Segment 37",28,35,0,173,0,0,0,241,
"Segment 38",59,15,0,142,5,0,0,225,
"Segment 39",14,6,0,20,3,0,0,49,
"Segment 40",18,29,0,40,3,0,0,84,
"Segment 41",16,18,0,27,7,0,0,74,
"Segment 42",8,7,0,24,0,0,0,40,
"Segment 43",21,24,0,69,10,0,0,130,
"Segment 44",85,89,0,91,14,0,5,285,
"Segment 45",24,30,0,20,4,0,5,80,
"Segment 46",35,29,0,43,12,0,0,122,
"Segment 47",7,3,0,4,0,0,0,19,
"Segment 48",7,8,0,81,9,0,0,103,
"Segment 50",6,15,0,13,4,0,0,32,
"Total",921,2240,14,7820,198,14,53,11267,


" One bedroom,  Four persons"
"TEND Tenure Type","Owned outright","Owned with a mortgage","Purchased under a shared equity scheme","Rented","Occupied rent free","Occupied under a life tenure scheme","Other","Total",
"SA1 (EN)",
"Segment 01",4,5,0,24,8,0,0,33,
"Segment 02",9,7,0,31,0,0,0,52,
"Segment 03",5,13,0,23,6,0,0,42,
"Segment 04",8,9,0,14,5,0,3,44,
"Segment 05",6,12,0,13,4,0,0,38,
"Segment 06",0,5,0,13,0,0,0,15,
"Segment 07",0,11,0,11,0,0,0,21,
"Segment 08",8,37,0,100,4,0,0,149,
"Segment 09",5,11,0,58,0,0,3,81,
"Segment 10",6,18,0,39,0,0,0,61,
"Segment 11",6,9,0,19,0,0,0,27,
"Segment 12",7,5,0,10,6,0,0,23,
"Segment 13",10,14,0,21,4,0,0,47,
"Segment 14",0,23,0,34,0,0,0,59,
"Segment 15",0,18,0,60,3,0,0,76,
"Segment 16",24,140,0,346,5,0,3,504,
"Segment 17",4,10,0,44,0,0,0,61,
"Segment 18",10,23,0,69,0,0,0,106,
"Segment 19",0,11,0,14,0,0,0,28,
"Segment 20",12,11,0,48,3,0,0,74,
"Segment 21",9,14,0,61,3,0,0,92,
"Segment 22",10,56,0,135,0,0,0,203,
"Segment 23",5,9,0,14,4,0,0,29,
"Segment 24",0,16,0,16,0,0,0,37,
"Segment 25",7,25,0,61,0,3,0,93,
"Segment 26",8,6,0,69,0,0,0,85,
"Segment 27",8,18,0,61,7,0,0,94,
"Segment 28",6,7,0,29,0,0,0,39,
"Segment 29",4,18,0,39,0,0,0,55,
"Segment 30",8,14,0,30,0,0,0,51,
"Segment 31",9,32,0,121,6,0,5,168,
"Segment 32",3,4,0,42,4,0,0,62,
"Segment 33",4,19,0,13,0,0,0,40,
"Segment 34",7,21,0,15,4,0,0,51,
"Segment 35",18,27,0,26,5,0,0,68,
"Segment 36",4,20,0,25,3,0,0,63,
"Segment 37",9,24,0,44,0,0,0,82,
"Segment 38",21,15,0,41,7,0,0,78,
"Segment 39",12,10,0,9,4,0,0,24,
"Segment 40",8,16,0,19,5,0,0,48,
"Segment 41",5,17,0,5,3,0,0,32,
"Segment 42",0,0,0,8,0,0,0,11,
"Segment 43",15,18,0,20,0,0,0,55,
"Segment 44",32,32,0,28,6,0,0,105,
"Segment 45",13,14,0,9,3,0,0,40,
"Segment 46",22,18,0,21,4,0,0,73,
"Segment 47",10,0,0,3,3,0,0,18,
"Segment 48",4,0,0,37,0,0,0,50,
"Segment 50",3,0,0,0,0,0,0,8,
"Total",385,855,5,1993,122,7,32,3399,


" One bedroom,  Five persons"
"TEND Tenure Type","Owned outright","Owned with a mortgage","Purchased under a shared equity scheme","Rented","Occupied rent free","Occupied under a life tenure scheme","Other","Total",
"SA1 (EN)",
"Segment 01",0,3,0,8,0,0,0,9,
"Segment 02",0,0,0,9,4,0,0,15,
"Segment 03",0,0,0,5,3,0,0,11,
"Segment 04",0,5,0,7,0,0,0,17,
"Segment 05",0,6,0,9,0,0,0,18,
"Segment 06",0,3,0,3,0,0,0,5,
"Segment 07",0,0,0,3,0,0,0,10,
"Segment 08",4,4,0,15,3,0,0,25,
"Segment 09",0,0,0,22,0,0,0,22,
"Segment 10",0,0,0,13,0,0,0,19,
"Segment 11",0,8,0,9,0,0,3,19,
"Segment 12",0,8,0,4,0,0,0,15,
"Segment 13",0,5,0,6,0,0,0,12,
"Segment 14",5,3,0,10,0,0,0,13,
"Segment 15",0,3,0,6,0,0,0,7,
"Segment 16",3,25,0,31,0,0,0,59,
"Segment 17",0,4,0,6,0,0,0,12,
"Segment 18",0,3,0,17,0,0,0,19,
"Segment 19",0,4,0,8,0,0,0,10,
"Segment 20",4,4,0,13,0,0,0,22,
"Segment 21",0,0,0,13,0,0,0,15,
"Segment 22",6,11,0,16,0,0,0,29,
"Segment 23",0,0,0,9,0,0,0,15,
"Segment 24",0,11,0,3,0,0,0,16,
"Segment 25",0,0,0,18,0,0,0,23,
"Segment 26",3,3,0,21,0,3,0,33,
"Segment 27",5,6,0,22,0,0,0,28,
"Segment 28",0,3,0,18,0,0,0,24,
"Segment 29",6,6,0,16,0,0,0,18,
"Segment 30",0,6,0,15,0,0,0,19,
"Segment 31",3,4,0,37,0,0,0,47,
"Segment 32",3,3,0,16,0,0,0,22,
"Segment 33",3,6,0,4,0,0,0,15,
"Segment 34",0,3,0,3,0,0,0,14,
"Segment 35",5,5,0,8,4,0,0,22,
"Segment 36",0,6,0,10,0,0,0,16,
"Segment 37",3,5,0,26,0,0,0,33,
"Segment 38",3,5,0,15,0,0,0,20,
"Segment 39",4,0,0,5,0,0,0,8,
"Segment 40",0,4,0,11,0,0,0,21,
"Segment 41",3,3,0,0,3,0,0,10,
"Segment 42",0,5,0,0,0,0,0,4,
"Segment 43",5,8,0,3,0,0,0,18,
"Segment 44",13,19,0,13,0,0,0,48,
"Segment 45",4,3,0,6,4,0,0,13,
"Segment 46",4,10,0,0,4,0,0,12,
"Segment 47",0,4,0,0,0,0,0,4,
"Segment 48",10,0,0,29,0,0,0,32,
"Segment 50",0,0,0,0,0,0,0,0,
"Total",117,218,5,534,32,13,13,935,


" One bedroom,  Six persons"
"TEND Tenure Type","Owned outright","Owned with a mortgage","Purchased under a shared equity scheme","Rented","Occupied rent free","Occupied under a life tenure scheme","Other","Total",
"SA1 (EN)",
"Segment 01",0,0,0,0,0,0,0,0,
"Segment 02",0,0,0,0,0,0,0,0,
"Segment 03",0,0,0,3,0,0,0,9,
"Segment 04",0,3,0,5,4,0,0,5,
"Segment 05",0,0,0,0,0,0,0,7,
"Segment 06",0,0,0,6,0,0,0,6,
"Segment 07",0,0,0,0,0,0,0,8,
"Segment 08",0,0,0,4,0,0,0,3,
"Segment 09",0,0,0,9,0,0,0,6,
"Segment 10",0,0,0,3,0,0,0,8,
"Segment 11",0,0,0,3,0,0,0,8,
"Segment 12",0,4,0,0,0,0,0,7,
"Segment 13",0,0,0,7,0,0,0,12,
"Segment 14",0,0,0,8,0,0,0,8,
"Segment 15",0,0,0,0,0,0,0,0,
"Segment 16",0,3,0,8,0,0,0,14,
"Segment 17",0,0,0,6,0,0,0,10,
"Segment 18",0,0,0,10,0,0,0,10,
"Segment 19",6,0,0,3,0,0,0,7,
"Segment 20",0,0,0,7,0,0,0,7,
"Segment 21",0,6,0,5,0,0,0,8,
"Segment 22",0,0,0,7,0,0,0,7,
"Segment 23",0,0,0,4,0,0,0,4,
"Segment 24",0,5,0,0,0,0,0,3,
"Segment 25",0,0,0,13,0,0,0,13,
"Segment 26",0,0,0,5,0,0,0,10,
"Segment 27",0,3,0,18,0,0,0,20,
"Segment 28",0,0,0,6,0,0,0,8,
"Segment 29",0,0,0,3,0,0,0,10,
"Segment 30",0,0,0,5,0,0,0,11,
"Segment 31",0,0,0,13,0,0,0,15,
"Segment 32",0,0,0,13,0,0,0,16,
"Segment 33",0,4,0,0,0,0,0,6,
"Segment 34",0,3,0,5,0,0,0,10,
"Segment 35",5,0,0,3,0,0,0,12,
"Segment 36",0,0,0,5,0,0,0,8,
"Segment 37",7,0,0,3,0,0,0,12,
"Segment 38",0,4,0,5,0,0,0,11,
"Segment 39",0,3,0,0,0,0,0,4,
"Segment 40",4,0,0,3,0,0,0,13,
"Segment 41",0,0,0,0,0,0,0,5,
"Segment 42",0,0,0,0,0,0,0,0,
"Segment 43",0,3,0,3,0,0,0,10,
"Segment 44",13,14,0,12,5,0,0,37,
"Segment 45",7,0,0,0,3,0,0,10,
"Segment 46",0,0,0,5,0,0,0,11,
"Segment 47",0,0,0,0,0,0,0,4,
"Segment 48",0,0,0,11,4,0,0,15,
"Segment 50",0,0,0,0,0,0,0,0,
"Total",56,73,0,253,23,5,5,421,


" One bedroom,  Seven persons"
"TEND Tenure Type","Owned outright","Owned with a mortgage","Purchased under a shared equity scheme","Rented","Occupied rent free","Occupied under a life tenure scheme","Other","Total",
"SA1 (EN)",
"Segment 01",0,0,0,0,0,0,0,0,
"Segment 02",0,0,0,8,0,0,0,6,
"Segment 03",0,0,0,0,0,0,0,3,
"Segment 04",0,0,0,0,0,0,0,3,
"Segment 05",0,0,0,0,0,0,0,5,
"Segment 06",0,0,0,0,0,0,0,0,
"Segment 07",0,0,0,0,0,0,0,0,
"Segment 08",0,0,0,3,0,0,0,3,
"Segment 09",0,0,0,12,0,0,0,13,
"Segment 10",0,0,0,5,0,0,0,5,
"Segment 11",0,0,0,0,0,0,0,3,
"Segment 12",0,0,0,5,0,0,0,5,
"Segment 13",0,0,0,0,0,0,0,5,
"Segment 14",0,0,0,0,0,0,0,3,
"Segment 15",0,0,0,0,0,0,0,0,
"Segment 16",0,0,0,0,0,0,0,4,
"Segment 17",0,0,0,5,0,0,0,4,
"Segment 18",0,0,0,3,0,0,0,3,
"Segment 19",0,0,0,0,0,0,0,0,
"Segment 20",0,0,0,3,0,0,0,3,
"Segment 21",0,0,0,0,0,0,0,0,
"Segment 22",0,0,0,9,0,0,0,9,
"Segment 23",0,0,0,0,0,0,0,0,
"Segment 24",0,0,0,4,0,0,0,4,
"Segment 25",0,0,0,0,0,0,0,0,
"Segment 26",0,0,0,6,0,0,0,6,
"Segment 27",0,0,0,6,0,0,0,4,
"Segment 28",0,0,0,3,0,0,0,3,
"Segment 29",0,0,0,4,0,0,0,3,
"Segment 30",0,0,0,5,0,0,0,3,
"Segment 31",0,0,0,0,0,0,0,0,
"Segment 32",0,0,0,4,0,0,0,0,
"Segment 33",0,0,0,0,0,0,0,0,
"Segment 34",0,3,0,0,0,0,0,8,
"Segment 35",0,0,0,0,0,0,0,0,
"Segment 36",0,0,0,0,0,0,0,0,
"Segment 37",0,0,0,6,0,0,0,6,
"Segment 38",0,0,0,0,0,0,0,0,
"Segment 39",0,0,0,0,0,0,0,0,
"Segment 40",0,0,0,0,0,0,0,0,
"Segment 41",0,0,0,0,0,0,0,0,
"Segment 42",0,0,0,0,0,0,0,0,
"Segment 43",0,0,0,0,0,0,0,0,
"Segment 44",0,8,0,0,0,0,0,9,
"Segment 45",0,0,0,0,0,0,0,0,
"Segment 46",0,0,0,8,0,0,0,8,
"Segment 47",0,0,0,0,0,0,0,0,
"Segment 48",0,0,0,7,0,0,0,10,
"Segment 50",0,0,0,0,0,0,0,0,
"Total",14,14,0,106,11,0,0,147,


" One bedroom,  Eight or more persons"
"TEND Tenure Type","Owned outright","Owned with a mortgage","Purchased under a shared equity scheme","Rented","Occupied rent free","Occupied under a life tenure scheme","Other","Total",
"SA1 (EN)",
"Segment 01",0,0,0,0,0,0,0,0,
"Segment 02",0,0,0,0,0,0,0,0,
"Segment 03",0,0,0,0,0,0,0,0,
"Segment 04",0,0,0,0,0,0,0,0,
"Segment 05",0,0,0,0,0,0,0,0,
"Segment 06",0,0,0,0,0,0,0,0,
"Segment 07",0,0,0,3,0,0,0,3,
"Segment 08",0,0,0,0,0,0,0,0,
"Segment 09",0,0,0,10,0,0,0,10,
"Segment 10",0,0,0,0,0,0,0,0,
"Segment 11",0,0,0,4,0,0,0,4,
"Segment 12",0,0,0,0,0,0,0,0,
"Segment 13",0,0,0,0,0,0,0,0,
"Segment 14",0,0,0,0,0,0,0,0,
"Segment 15",0,0,0,0,0,0,0,0,
"Segment 16",0,0,0,0,0,0,0,0,
"Segment 17",0,0,0,3,0,0,0,3,
"Segment 18",0,0,0,0,0,0,0,0,
"Segment 19",0,0,0,0,0,0,0,0,
"Segment 20",3,0,0,5,0,0,0,3,
"Segment 21",0,0,0,6,0,0,0,6,
"Segment 22",0,0,0,0,0,0,0,0,
"Segment 23",0,0,0,0,0,0,0,0,
"Segment 24",0,0,0,0,0,0,0,0,
"Segment 25",0,0,0,3,0,0,0,8,
"Segment 26",0,0,0,5,0,0,0,5,
"Segment 27",0,0,0,7,0,0,0,8,
"Segment 28",0,0,0,0,0,0,0,0,
"Segment 29",0,0,0,0,0,0,0,0,
"Segment 30",0,0,0,0,0,0,0,4,
"Segment 31",0,0,0,4,0,0,0,4,
"Segment 32",0,0,0,7,0,0,0,7,
"Segment 33",0,0,0,0,0,0,0,0,
"Segment 34",0,0,0,0,0,0,0,0,
"Segment 35",0,0,0,3,0,0,0,3,
"Segment 36",0,0,0,0,0,0,0,0,
"Segment 37",0,0,0,0,0,0,0,0,
"Segment 38",4,0,0,4,0,0,0,3,
"Segment 39",0,0,0,0,0,0,0,0,
"Segment 40",0,0,0,0,0,0,0,3,
"Segment 41",0,0,0,0,0,0,0,0,
"Segment 42",0,0,0,0,0,0,0,0,
"Segment 43",0,0,0,5,0,0,0,5,
"Segment 44",0,4,0,0,0,0,0,5,
"Segment 45",0,0,0,0,0,0,0,0,
"Segment 46",0,0,0,0,0,0,0,0,
"Segment 47",0,0,0,0,0,0,0,0,
"Segment 48",6,0,0,7,0,0,0,11,
"Segment 50",0,0,0,0,0,0,0,0,
"Total",19,5,0,84,5,0,5,114,


" One bedroom,  Not applicable"
"TEND Tenure Type","Owned outright","Owned with a mortgage","Purchased under a shared equity scheme","Rented","Occupied rent free","Occupied under a life tenure scheme","Other","Total",
"SA1 (EN)",
"Segment 01",52,19,0,182,20,0,8,281,
"Segment 02",47,8,0,115,6,0,8,193,
"Segment 03",115,10,0,153,10,3,16,311,
"Segment 04",63,8,0,44,9,0,4,129,
"Segment 05",54,8,0,44,4,0,11,118,
"Segment 06",22,8,0,27,10,0,0,70,
"Segment 07",6,0,0,9,4,0,0,13,
"Segment 08",122,87,0,662,34,3,17,929,
"Segment 09",8,4,0,33,0,0,0,43,
"Segment 10",9,9,0,89,6,0,4,116,
"Segment 11",17,0,0,33,0,0,3,54,
"Segment 12",54,3,0,41,3,0,4,108,
"Segment 13",162,11,0,114,7,0,3,303,
"Segment 14",232,20,0,244,34,0,7,538,
"Segment 15",8,12,0,80,3,0,3,106,
"Segment 16",131,143,0,1323,47,0,17,1672,
"Segment 17",15,12,0,79,12,0,0,114,
"Segment 18",40,45,0,374,19,0,7,484,
"Segment 19",38,6,0,55,5,0,4,109,
"Segment 20",232,29,0,189,15,0,20,493,
"Segment 21",213,63,0,586,27,8,15,908,
"Segment 22",24,21,0,157,4,0,0,208,
"Segment 23",18,7,0,59,7,0,3,90,
"Segment 24",118,4,0,105,7,0,8,242,
"Segment 25",94,19,3,208,9,6,13,354,
"Segment 26",10,3,0,47,3,0,5,69,
"Segment 27",8,7,0,64,3,5,0,94,
"Segment 28",35,4,0,77,4,0,0,121,
"Segment 29",35,3,0,134,15,0,0,195,
"Segment 30",39,0,0,80,8,0,4,134,
"Segment 31",709,53,0,1265,151,4,37,2214,
"Segment 32",31,3,6,256,0,7,0,314,
"Segment 33",103,14,0,74,9,0,7,209,
"Segment 34",164,14,0,90,13,0,0,283,
"Segment 35",671,25,0,305,19,0,24,1053,
"Segment 36",379,18,0,273,18,0,8,705,
"Segment 37",484,35,3,640,43,4,20,1228,
"Segment 38",2433,63,4,1073,65,20,63,3717,
"Segment 39",293,23,0,132,19,0,3,467,
"Segment 40",399,12,0,219,13,0,19,662,
"Segment 41",910,26,3,234,41,0,21,1227,
"Segment 42",61,4,0,73,9,0,3,150,
"Segment 43",895,29,0,296,34,0,14,1273,
"Segment 44",2056,82,0,933,125,5,63,3272,
"Segment 45",96,17,0,69,8,0,6,194,
"Segment 46",2100,52,0,838,96,3,65,3159,
"Segment 47",1999,52,0,632,220,4,50,2953,
"Segment 48",816,24,3,406,124,4,33,1411,
"Segment 50",235,4,0,143,16,0,6,416,
"Total",16871,1133,34,13363,1398,86,642,33522,


" Two bedrooms,  One person"
"TEND Tenure Type","Owned outright","Owned with a mortgage","Purchased under a shared equity scheme","Rented","Occupied rent free","Occupied under a life tenure scheme","Other","Total",
"SA1 (EN)",
"Segment 01",6265,2036,58,5515,299,679,62,14909,
"Segment 02",7244,2567,41,5324,240,591,56,16062,
"Segment 03",6862,1853,73,4174,295,1331,93,14681,
"Segment 04",1555,845,9,1136,81,37,7,3675,
"Segment 05",1795,613,6,829,86,145,23,3501,
"Segment 06",401,428,10,646,22,38,3,1551,
"Segment 07",387,448,7,896,24,5,9,1769,
"Segment 08",17275,13058,103,26390,788,517,108,58234,
"Segment 09",2719,1198,25,2596,144,222,27,6928,
"Segment 10",4266,3150,34,6958,169,430,49,15052,
"Segment 11",4198,1606,51,2882,142,590,46,9516,
"Segment 12",1350,851,9,928,48,53,19,3254,
"Segment 13",4755,1687,86,3564,71,898,56,11127,
"Segment 14",4324,4538,56,9821,248,251,48,19286,
"Segment 15",2019,3255,16,6507,125,32,20,11981,
"Segment 16",7500,9086,53,22889,789,57,70,40437,
"Segment 17",2312,1980,46,5337,125,154,18,9966,
"Segment 18",5398,6523,30,12953,380,125,33,25444,
"Segment 19",2815,2046,34,3471,113,107,26,8621,
"Segment 20",8458,3827,96,7328,274,1090,84,21156,
"Segment 21",6546,3521,67,9513,390,877,73,20991,
"Segment 22",3830,3946,29,7852,266,143,25,16082,
"Segment 23",4713,2493,32,5395,218,396,40,13288,
"Segment 24",4621,1945,71,4144,108,800,54,11744,
"Segment 25",10121,8284,121,17123,401,839,103,36998,
"Segment 26",2124,1512,12,4246,126,113,34,8164,
"Segment 27",3521,2452,34,6279,186,228,45,12744,
"Segment 28",1934,1257,24,3502,96,90,29,6931,
"Segment 29",4610,2670,70,8502,172,764,65,16856,
"Segment 30",5191,2965,88,7913,115,889,91,17252,
"Segment 31",11785,9290,169,38227,642,978,142,61220,
"Segment 32",2398,1507,56,17168,131,339,43,21638,
"Segment 33",2164,1291,20,2126,94,57,19,5766,
"Segment 34",3057,1156,19,1644,156,121,27,6190,
"Segment 35",7605,1850,78,3409,210,1053,72,14278,
"Segment 36",10307,3773,64,12800,338,596,75,27938,
"Segment 37",13707,5984,114,26258,518,1022,122,47729,
"Segment 38",31822,4558,611,17681,575,8995,520,64759,
"Segment 39",1238,412,7,1043,121,50,11,2879,
"Segment 40",2546,885,34,2887,154,139,29,6668,
"Segment 41",1188,393,3,1124,139,23,16,2892,
"Segment 42",821,284,5,643,62,59,13,1882,
"Segment 43",2172,722,26,2347,130,174,31,5602,
"Segment 44",6865,2139,39,4183,569,337,94,14228,
"Segment 45",1953,654,4,1120,204,84,30,4054,
"Segment 46",3907,1077,20,2909,398,173,36,8518,
"Segment 47",463,108,0,257,120,9,10,969,
"Segment 48",486,156,3,1979,367,9,13,3019,
"Segment 50",252,74,5,190,29,6,3,559,
"Total",243841,128949,2680,342572,11509,26712,2707,758960,


" Two bedrooms,  Two persons"
"TEND Tenure Type","Owned outright","Owned with a mortgage","Purchased under a shared equity scheme","Rented","Occupied rent free","Occupied under a life tenure scheme","Other","Total",
"SA1 (EN)",
"Segment 01",4543,2279,53,6898,164,335,25,14292,
"Segment 02",4851,3124,27,6604,142,303,39,15082,
"Segment 03",5164,2338,38,6017,175,705,60,14497,
"Segment 04",1293,1291,3,1191,59,28,8,3868,
"Segment 05",1605,860,9,843,50,95,16,3482,
"Segment 06",273,450,4,583,19,19,3,1353,
"Segment 07",284,417,0,838,23,10,4,1569,
"Segment 08",10714,14039,52,43241,450,244,63,68800,
"Segment 09",1882,1504,12,4078,143,125,21,7772,
"Segment 10",2525,3450,26,8770,106,232,30,15138,
"Segment 11",2473,1651,24,3506,116,357,27,8157,
"Segment 12",1092,1031,14,752,44,34,10,2977,
"Segment 13",4565,1443,71,3018,64,746,39,9943,
"Segment 14",2414,4291,24,9927,115,101,17,16902,
"Segment 15",1020,2936,15,8161,61,14,13,12213,
"Segment 16",6721,11728,48,47015,604,38,58,66220,
"Segment 17",1401,1995,31,6180,82,95,12,9806,
"Segment 18",3529,6442,15,23554,232,45,20,33843,
"Segment 19",1691,1962,17,2978,47,50,13,6755,
"Segment 20",4644,3529,55,6668,127,555,36,15619,
"Segment 21",4763,4197,55,16854,264,484,40,26649,
"Segment 22",2691,4906,31,14673,248,56,33,22643,
"Segment 23",2863,2513,12,6466,115,130,20,12122,
"Segment 24",2972,1991,50,3197,73,584,30,8896,
"Segment 25",4910,7030,48,17339,243,357,46,29967,
"Segment 26",1368,1487,16,5373,76,55,21,8401,
"Segment 27",2214,2421,23,7411,149,102,27,12354,
"Segment 28",1387,1356,14,3722,81,72,16,6656,
"Segment 29",2460,1982,43,5825,83,482,38,10918,
"Segment 30",2728,2246,49,5378,84,454,38,10974,
"Segment 31",5968,7206,63,33714,320,414,50,47736,
"Segment 32",1438,1533,42,10909,88,143,28,14173,
"Segment 33",1632,1578,8,1719,53,32,15,5037,
"Segment 34",2605,1512,14,1318,69,74,23,5612,
"Segment 35",6152,2004,43,2441,124,772,50,11585,
"Segment 36",6332,3316,42,7599,129,333,29,17774,
"Segment 37",7140,4862,51,15756,196,499,66,28565,
"Segment 38",20054,3988,363,11756,267,5720,298,42451,
"Segment 39",1144,548,10,704,69,34,11,2511,
"Segment 40",2327,1093,45,1981,91,102,19,5659,
"Segment 41",1479,682,3,814,133,20,9,3136,
"Segment 42",790,362,0,423,46,35,3,1662,
"Segment 43",2082,1026,12,1725,98,69,28,5045,
"Segment 44",7272,3018,24,2730,407,222,69,13743,
"Segment 45",2204,966,14,789,128,60,12,4175,
"Segment 46",3475,1325,9,1643,259,89,24,6831,
"Segment 47",537,201,0,174,99,7,16,1018,
"Segment 48",388,168,0,1556,249,3,13,2380,
"Segment 50",256,125,0,155,19,7,4,569,
"Total",164308,132384,1603,374959,7090,15553,1612,697515,


" Two bedrooms,  Three persons"
"TEND Tenure Type","Owned outright","Owned with a mortgage","Purchased under a shared equity scheme","Rented","Occupied rent free","Occupied under a life tenure scheme","Other","Total",
"SA1 (EN)",
"Segment 01",424,755,3,1904,40,3,3,3136,
"Segment 02",541,1268,0,1920,55,6,4,3788,
"Segment 03",458,824,4,1672,40,3,8,3014,
"Segment 04",188,566,0,348,14,0,0,1115,
"Segment 05",192,365,0,263,14,0,4,844,
"Segment 06",44,159,0,150,0,0,0,353,
"Segment 07",43,204,0,346,7,0,0,595,
"Segment 08",1452,5181,8,11154,124,7,13,17929,
"Segment 09",396,996,4,2080,40,0,3,3512,
"Segment 10",420,1672,6,3402,31,3,8,5535,
"Segment 11",367,850,4,1283,31,4,9,2551,
"Segment 12",131,408,0,196,17,0,3,758,
"Segment 13",147,455,6,803,17,3,4,1433,
"Segment 14",325,1445,8,2573,22,0,8,4379,
"Segment 15",219,1519,0,4022,23,4,3,5787,
"Segment 16",1446,5504,26,16588,167,10,20,23747,
"Segment 17",322,976,5,2702,19,0,3,4032,
"Segment 18",517,1773,10,5327,58,0,8,7691,
"Segment 19",209,726,6,800,18,0,3,1758,
"Segment 20",529,1310,4,1809,29,3,8,3691,
"Segment 21",621,1344,3,3675,55,8,8,5716,
"Segment 22",827,2995,8,8587,63,10,6,12493,
"Segment 23",491,1034,0,2069,44,0,4,3646,
"Segment 24",245,620,3,791,16,0,4,1680,
