Australian Bureau of Statistics

"2021 Census - selected dwelling characteristics"
"HIND Total Household Income (weekly) and STRD Dwelling Structure by SA1 (EN) by TEND Tenure Type"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

" Negative income,  Separate house"
"TEND Tenure Type","Owned outright","Owned with a mortgage","Purchased under a shared equity scheme","Rented","Occupied rent free","Occupied under a life tenure scheme","Other","Total",
"Segment 01",11,3,0,18,0,0,0,38,
"Segment 02",16,0,0,16,0,4,0,41,
"Segment 03",13,3,0,11,0,4,4,37,
"Segment 04",4,0,0,3,0,0,0,11,
"Segment 05",0,0,0,0,0,0,0,0,
"Segment 06",0,0,0,0,0,0,0,0,
"Segment 07",3,0,0,0,0,0,0,5,
"Segment 08",31,8,0,73,0,3,0,115,
"Segment 09",9,0,0,3,0,0,0,13,
"Segment 10",6,0,0,22,3,0,0,37,
"Segment 11",4,0,0,11,0,0,0,20,
"Segment 12",0,0,0,0,0,0,0,5,
"Segment 13",0,0,0,4,0,0,0,4,
"Segment 14",7,0,0,33,0,0,0,46,
"Segment 15",5,0,0,18,0,0,0,30,
"Segment 16",3,0,0,11,0,0,0,12,
"Segment 17",7,0,0,21,0,0,0,33,
"Segment 18",10,4,0,38,0,0,0,49,
"Segment 19",6,0,0,5,0,0,0,7,
"Segment 20",20,0,0,26,0,3,0,50,
"Segment 21",6,0,0,28,0,7,0,40,
"Segment 22",3,3,0,36,3,0,0,45,
"Segment 23",17,3,0,26,0,3,0,46,
"Segment 24",12,0,0,17,0,4,0,25,
"Segment 25",13,5,0,50,0,3,0,74,
"Segment 26",9,0,0,42,0,0,0,57,
"Segment 27",8,0,0,54,0,0,0,66,
"Segment 28",5,0,0,15,0,0,0,18,
"Segment 29",8,0,0,29,0,4,0,40,
"Segment 30",8,7,0,16,0,0,0,34,
"Segment 31",31,8,0,157,4,4,3,207,
"Segment 32",10,0,0,97,0,0,0,104,
"Segment 33",3,0,0,4,0,0,0,3,
"Segment 34",0,0,0,6,0,0,0,3,
"Segment 35",3,0,0,7,0,5,0,16,
"Segment 36",6,0,0,25,0,0,0,32,
"Segment 37",29,0,0,95,0,0,0,127,
"Segment 38",53,4,0,56,0,17,0,131,
"Segment 39",0,0,0,0,0,0,0,0,
"Segment 40",8,0,0,15,0,0,0,20,
"Segment 41",0,0,0,4,0,0,0,4,
"Segment 42",0,0,0,6,0,0,0,7,
"Segment 43",5,0,0,11,0,0,0,13,
"Segment 44",0,0,0,0,0,0,0,0,
"Segment 45",0,0,0,0,0,0,0,0,
"Segment 46",0,0,0,11,0,0,0,10,
"Segment 47",0,0,0,0,0,0,0,0,
"Segment 48",0,0,0,12,0,0,0,11,
"Segment 50",0,0,0,0,0,0,0,0,
"Total",380,65,5,1135,22,64,18,1689,


" Negative income,  Flat or apartment in a three storey block"
"TEND Tenure Type","Owned outright","Owned with a mortgage","Purchased under a shared equity scheme","Rented","Occupied rent free","Occupied under a life tenure scheme","Other","Total",
"SA1 (EN)",
"Segment 01",7,0,0,11,0,0,0,22,
"Segment 02",8,0,0,5,0,0,0,18,
"Segment 03",12,0,0,14,0,0,0,34,
"Segment 04",0,0,0,0,0,0,0,0,
"Segment 05",0,0,0,0,0,0,0,0,
"Segment 06",0,0,0,0,0,0,0,0,
"Segment 07",0,0,0,0,0,0,0,0,
"Segment 08",50,15,0,97,3,4,4,167,
"Segment 09",6,3,0,5,0,0,0,15,
"Segment 10",8,6,0,24,0,0,0,34,
"Segment 11",3,0,0,3,0,0,0,8,
"Segment 12",0,0,0,0,0,0,0,0,
"Segment 13",0,0,0,0,0,0,0,0,
"Segment 14",3,0,0,10,0,0,0,12,
"Segment 15",8,3,0,25,0,0,0,40,
"Segment 16",8,3,0,35,0,0,0,47,
"Segment 17",10,3,0,14,0,0,0,33,
"Segment 18",13,9,0,46,0,0,0,70,
"Segment 19",0,0,0,0,0,0,0,0,
"Segment 20",0,0,0,0,0,0,0,4,
"Segment 21",16,9,0,26,0,0,0,51,
"Segment 22",15,11,0,53,0,0,0,78,
"Segment 23",0,0,0,0,0,0,0,8,
"Segment 24",3,0,0,3,0,0,0,8,
"Segment 25",5,0,0,19,0,0,0,26,
"Segment 26",3,5,0,25,0,0,3,35,
"Segment 27",0,3,0,27,0,0,0,31,
"Segment 28",0,0,0,15,0,0,0,16,
"Segment 29",0,0,0,3,0,0,0,6,
"Segment 30",3,0,0,4,0,0,0,3,
"Segment 31",20,4,0,71,3,0,0,106,
"Segment 32",0,0,0,83,0,3,0,90,
"Segment 33",0,0,0,0,0,0,0,0,
"Segment 34",0,0,0,0,0,0,0,0,
"Segment 35",0,0,0,0,0,0,0,0,
"Segment 36",0,0,0,0,0,0,0,4,
"Segment 37",0,0,0,5,0,0,0,9,
"Segment 38",23,0,0,4,0,4,0,31,
"Segment 39",0,0,0,0,0,0,0,0,
"Segment 40",0,0,0,0,0,0,0,0,
"Segment 41",0,0,0,0,0,0,0,0,
"Segment 42",0,0,0,0,0,0,0,0,
"Segment 43",0,0,0,0,0,0,0,0,
"Segment 44",0,0,0,0,0,0,0,0,
"Segment 45",0,0,0,0,0,0,0,0,
"Segment 46",0,0,0,0,0,0,0,0,
"Segment 47",0,0,0,0,0,0,0,0,
"Segment 48",0,0,0,0,0,0,0,0,
"Segment 50",0,0,0,0,0,0,0,0,
"Total",243,74,6,649,17,23,15,1016,


" Negative income,  Flat or apartment in a four to eight storey block"
"TEND Tenure Type","Owned outright","Owned with a mortgage","Purchased under a shared equity scheme","Rented","Occupied rent free","Occupied under a life tenure scheme","Other","Total",
"SA1 (EN)",
"Segment 01",14,0,0,10,0,0,0,25,
"Segment 02",7,0,0,3,0,3,0,17,
"Segment 03",23,3,0,17,0,4,0,42,
"Segment 04",0,0,0,0,0,0,0,0,
"Segment 05",0,0,0,0,0,0,0,0,
"Segment 06",0,0,0,0,0,0,0,0,
"Segment 07",0,0,0,0,0,0,0,0,
"Segment 08",60,11,0,65,0,9,0,147,
"Segment 09",9,0,0,4,0,0,0,11,
"Segment 10",14,3,0,22,0,0,0,40,
"Segment 11",0,0,0,0,0,0,0,4,
"Segment 12",0,0,0,0,0,0,0,0,
"Segment 13",0,0,0,0,0,0,0,4,
"Segment 14",4,0,0,0,0,0,0,8,
"Segment 15",5,3,0,31,0,0,0,41,
"Segment 16",28,16,0,92,5,0,0,138,
"Segment 17",4,0,0,18,0,0,0,19,
"Segment 18",22,8,0,62,4,0,0,102,
"Segment 19",0,0,0,0,0,0,0,0,
"Segment 20",0,0,0,4,0,0,0,7,
"Segment 21",12,0,0,36,0,0,0,50,
"Segment 22",27,17,0,73,4,0,0,117,
"Segment 23",3,0,0,4,0,0,0,7,
"Segment 24",0,0,0,0,0,0,0,5,
"Segment 25",7,4,0,13,0,3,0,28,
"Segment 26",4,0,0,8,0,0,0,11,
"Segment 27",0,5,0,14,0,0,0,17,
"Segment 28",0,3,0,4,0,0,0,7,
