SA2_CODE_2021,Ot_ty_Ed_Ins_Ft_st_C11_P,Ot_ty_Ed_Ins_Ft_st_C16_M,Ot_ty_Ed_Ins_Ft_st_C16_F,Ot_ty_Ed_Ins_Ft_st_C16_P,Ot_ty_Ed_Ins_Ft_st_C21_M,Ot_ty_Ed_Ins_Ft_st_C21_F,Ot_ty_Ed_Ins_Ft_st_C21_P,Ot_ty_Ed_Ins_Pt_st_C11_M,Ot_ty_Ed_Ins_Pt_st_C11_F,Ot_ty_Ed_Ins_Pt_st_C11_P,Ot_ty_Ed_Ins_Pt_st_C16_M,Ot_ty_Ed_Ins_Pt_st_C16_F,Ot_ty_Ed_Ins_Pt_st_C16_P,Ot_ty_Ed_Ins_Pt_st_C21_M,Ot_ty_Ed_Ins_Pt_st_C21_F,Ot_ty_Ed_Ins_Pt_st_C21_P,O_t_E_I_F_P_s_s_ns_C11_M,O_t_E_I_F_P_s_s_ns_C11_F,O_t_E_I_F_P_s_s_ns_C11_P,O_t_E_I_F_P_s_s_ns_C16_M,O_t_E_I_F_P_s_s_ns_C16_F,O_t_E_I_F_P_s_s_ns_C16_P,O_t_E_I_F_P_s_s_ns_C21_M,O_t_E_I_F_P_s_s_ns_C21_F,O_t_E_I_F_P_s_s_ns_C21_P,Oth_ty_Edu_Ins_Tot_C11_M,Oth_ty_Edu_Ins_Tot_C11_F,Oth_ty_Edu_Ins_Tot_C11_P,Oth_ty_Edu_Ins_Tot_C16_M,Oth_ty_Edu_Ins_Tot_C16_F,Oth_ty_Edu_Ins_Tot_C16_P,Oth_ty_Edu_Ins_Tot_C21_M,Oth_ty_Edu_Ins_Tot_C21_F,Oth_ty_Edu_Ins_Tot_C21_P,Type_Educ_Insti_ns_C11_M,Type_Educ_Insti_ns_C11_F,Type_Educ_Insti_ns_C11_P,Type_Educ_Insti_ns_C16_M,Type_Educ_Insti_ns_C16_F,Type_Educ_Insti_ns_C16_P,Type_Educ_Insti_ns_C21_M,Type_Educ_Insti_ns_C21_F,Type_Educ_Insti_ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
201011484,33,5,24,30,14,18,31,31,45,81,26,52,77,32,52,88,0,0,4,0,3,3,0,0,0,45,71,117,28,76,103,46,75,119,551,565,1119,553,621,1173,458,542,1001,1784,1921,3701,1759,2008,3770,1682,1984,3664
201021009,12,6,5,13,7,3,5,0,25,26,8,22,34,11,22,31,0,0,0,0,0,0,0,0,0,7,37,42,14,28,45,16,25,40,198,146,351,247,246,490,224,195,422,826,792,1626,859,906,1760,909,956,1871
201021010,21,8,17,26,9,3,15,7,21,34,9,16,21,8,23,33,0,0,0,0,0,0,0,0,0,28,28,52,19,32,46,18,24,44,227,223,452,365,426,794,309,304,612,942,1029,1975,1019,1211,2229,1057,1087,2137
201021011,16,0,8,11,0,8,10,18,42,60,8,22,36,20,36,56,0,0,0,0,0,0,0,0,0,24,49,74,10,32,44,27,44,70,311,344,656,424,457,884,378,428,806,1045,1147,2186,1129,1238,2371,1167,1309,2476
201021012,5,3,9,9,8,7,15,6,18,24,19,26,42,7,12,21,0,0,3,0,0,0,0,0,0,14,21,35,22,32,52,17,18,37,174,143,315,272,255,525,242,209,451,822,812,1635,880,914,1789,931,977,1901
201031013,5,5,0,4,0,6,6,7,11,13,4,11,12,4,4,11,0,0,0,0,0,0,0,0,0,8,12,20,6,11,16,4,8,12,106,95,197,153,148,304,183,164,346,407,418,825,401,431,832,457,447,907
201031014,5,3,3,9,5,0,5,3,13,24,4,10,17,3,14,17,0,0,0,0,0,0,0,0,0,3,16,26,8,13,26,5,12,25,237,116,348,562,185,745,499,210,714,579,486,1069,917,572,1481,857,643,1499
201031015,12,0,6,6,17,7,21,7,10,19,11,12,18,8,17,31,0,0,0,0,0,3,0,0,0,10,20,34,11,16,28,24,27,54,123,118,245,160,155,319,202,173,372,550,569,1120,644,664,1311,716,716,1427
201031016,21,8,12,18,7,3,7,16,40,53,10,16,30,14,16,28,0,0,0,0,0,0,3,0,3,24,55,74,17,32,43,15,20,40,277,265,542,312,376,682,266,283,550,926,961,1892,964,1053,2011,935,1005,1940
201031017,15,4,12,18,4,4,10,10,10,16,10,13,22,3,16,20,0,0,0,0,0,0,0,0,0,13,20,31,14,28,37,6,22,35,152,127,282,233,200,435,291,250,537,599,587,1187,680,616,1298,733,692,1426
