SA2_CODE_2021,C21_OD_H_f_so_FH_Tot,C21_OD_H_f_so_LP_H,C21_OD_H_f_so_GH,C21_OD_H_f_so_OH,C21_OD_H_f_so_Tot,C21_OD_Tot_FH_CF_no_ch,C21_OD_Tot_FH_CF_w_ch,C21_OD_Tot_FH_One_PFam,C21_OD_Tot_FH_oth_fa,C21_OD_Tot_FH_Tot,C21_OD_Tot_LP_H,C21_OD_Tot_GH,C21_OD_Tot_OH,C21_OD_Tot_Tot,C21_DS_ns_FH_CF_no_ch,C21_DS_ns_FH_CF_w_ch,C21_DS_ns_FH_One_PFam,C21_DS_ns_FH_oth_fa,C21_DS_ns_FH_Tot,C21_DS_ns_LP_H,C21_DS_ns_GH,C21_DS_ns_OH,C21_DS_NS_Tot,C21_Tot_FH_CF_no_ch,C21_Tot_FH_CF_w_ch,C21_Tot_FH_One_PFam,C21_Tot_FH_oth_fa,C21_Tot_FH_Tot,C21_Tot_LP_H,C21_Tot_GH,C21_Tot_OH,C21_Tot_Tot
701011007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,294,111,7,677,350,95,110,1237
701011008,0,0,0,0,0,4,0,0,0,4,4,0,33,43,0,0,0,0,0,4,0,0,9,476,378,111,24,991,443,175,176,1784
701011009,0,0,0,0,0,10,0,0,0,11,25,0,216,251,0,0,0,0,5,10,0,20,37,310,312,92,11,725,237,89,300,1354
701021010,0,0,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,178,228,94,12,516,118,48,43,719
701021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,290,128,10,611,125,30,52,814
701021012,0,0,0,0,0,10,5,0,0,13,20,0,232,258,0,0,0,0,3,6,0,9,19,103,164,48,13,327,78,17,292,717
701021013,0,0,0,0,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0,11,0,6,10,247,371,90,17,728,197,53,96,1074
701021014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3
701021015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
701021016,4,0,0,0,3,3,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,10,287,261,113,22,683,458,75,96,1317
701021017,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,13,13
