SA2_CODE_2021,C21_75_79_Div_P,C21_75_79_Wid_M,C21_75_79_Wid_F,C21_75_79_Wid_P,C21_75_79_Nvr_marrd_M,C21_75_79_Nvr_marrd_F,C21_75_79_Nvr_marrd_P,C21_75_79_Tot_M,C21_75_79_Tot_F,C21_75_79_Tot_P,C21_80_84_Married_M,C21_80_84_Married_F,C21_80_84_Married_P,C21_80_84_Sep_M,C21_80_84_Sep_F,C21_80_84_Sep_P,C21_80_84_Div_M,C21_80_84_Div_F,C21_80_84_Div_P,C21_80_84_Wid_M,C21_80_84_Wid_F,C21_80_84_Wid_P,C21_80_84_Nvr_marrd_M,C21_80_84_Nvr_marrd_F,C21_80_84_Nvr_marrd_P,C21_80_84_Tot_M,C21_80_84_Tot_F,C21_80_84_Tot_P,C21_85_over_Married_M,C21_85_over_Married_F,C21_85_over_Married_P,C21_85_over_Seprtd_M,C21_85_over_Seprtd_F,C21_85_over_Seprtd_P,C21_85_over_Divorce_M,C21_85_over_Divorce_F,C21_85_over_Divorce_P,C21_85_over_Wid_M,C21_85_over_Wid_F,C21_85_over_Wid_P,C21_85_over_Nvr_mard_M,C21_85_over_Nvr_mard_F,C21_85_over_Nvr_mard_P,C21_85_over_Tot_M,C21_85_over_Tot_F,C21_85_over_Tot_P,C21_Tot_Married_M,C21_Tot_Married_F,C21_Tot_Married_P,C21_Tot_Sep_M,C21_Tot_Sep_F,C21_Tot_Sep_P,C21_Tot_Div_M,C21_Tot_Div_F,C21_Tot_Div_P,C21_Tot_Wid_M,C21_Tot_Wid_F,C21_Tot_Wid_P,C21_Tot_nver_marrie_M,C21_Tot_nver_marrie_F,C21_Tot_nver_marrie_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
318011461,35,6,30,36,6,4,5,184,156,337,88,53,142,4,0,4,7,0,10,8,48,54,6,0,12,116,105,226,46,19,64,0,0,0,0,3,3,25,108,139,0,3,3,77,135,205,1685,1675,3362,131,78,211,307,219,522,96,313,408,1111,759,1869,3324,3046,6373
318011462,48,19,52,66,19,5,23,182,165,350,69,46,109,9,0,4,14,14,32,18,63,86,6,0,9,115,122,243,48,18,67,0,0,0,10,8,19,29,93,124,9,0,6,92,123,210,1258,1273,2526,126,151,278,277,382,658,108,347,457,1302,1191,2492,3066,3340,6411
318011463,19,6,14,16,5,0,5,85,45,131,24,16,36,0,0,0,11,0,11,6,13,14,6,0,3,43,30,69,5,8,10,0,0,0,3,0,3,9,17,29,0,0,0,22,18,43,811,813,1628,67,52,116,194,106,302,44,82,128,512,391,908,1633,1448,3077
318011464,23,4,46,46,18,3,25,106,133,239,66,46,110,0,4,3,6,11,22,13,66,82,4,4,13,95,133,228,62,30,81,4,0,6,8,0,9,26,116,147,4,0,11,101,153,254,816,822,1639,80,84,158,165,169,333,75,293,367,721,542,1264,1855,1902,3760
318011465,36,10,53,60,9,4,13,177,163,334,78,47,129,8,0,8,13,3,19,24,57,79,11,4,14,134,109,244,59,22,84,0,0,3,3,6,6,27,77,103,4,0,4,94,110,201,1535,1509,3042,93,81,170,273,218,492,100,284,389,854,577,1433,2853,2670,5522
318011466,0,0,6,8,4,0,4,4,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,67,133,21,14,31,9,9,21,9,22,31,595,636,1227,698,747,1444
318021467,24,6,20,32,7,4,9,72,83,148,30,24,59,0,0,5,7,12,18,8,44,53,0,0,0,50,88,134,28,9,34,0,0,0,0,6,7,3,35,37,0,3,5,31,54,83,692,700,1390,67,104,172,162,222,386,34,169,204,943,780,1725,1901,1967,3868
318021468,20,3,36,40,4,5,9,113,137,252,53,35,86,0,0,0,6,10,7,11,35,41,0,9,12,71,81,152,29,26,57,0,0,0,3,5,8,15,77,98,0,0,0,52,109,166,1843,1815,3660,90,109,201,172,287,459,70,228,298,2625,1241,3867,4804,3677,8479
318021469,28,7,25,38,5,0,4,50,77,128,25,25,52,0,0,0,9,6,18,7,27,33,3,0,4,48,59,107,24,12,34,0,0,0,3,5,7,15,83,98,0,0,3,49,94,144,572,585,1158,35,64,100,124,152,271,47,183,231,451,414,865,1222,1400,2620
318021470,8,3,18,20,3,0,4,60,61,121,27,11,33,0,0,0,4,3,6,7,5,16,0,0,3,33,19,57,11,7,15,0,0,0,7,0,6,0,19,19,0,0,0,12,30,42,1711,1747,3460,93,103,199,178,229,404,38,130,162,1211,1110,2327,3236,3320,6548
318021471,29,30,64,93,12,9,14,186,206,392,94,68,160,3,4,3,4,19,24,13,82,98,7,5,8,115,170,295,47,17,66,0,0,0,0,3,6,18,85,107,6,7,12,75,115,192,1657,1697,3357,167,189,356,317,459,776,103,403,506,1834,1709,3546,4078,4457,8538
318021472,24,9,52,63,8,5,11,112,153,266,61,36,95,0,0,0,3,19,24,9,62,69,3,0,5,76,114,186,24,13,38,3,0,4,0,3,3,17,57,72,4,5,6,46,77,129,967,962,1931,81,100,184,201,295,496,63,241,301,1041,894,1934,2350,2491,4845
318021474,19,5,15,18,6,0,6,41,45,80,22,19,43,0,0,0,0,3,3,8,17,29,3,0,3,40,43,79,14,7,25,0,0,0,0,3,3,16,61,72,3,0,3,35,75,100,1116,1118,2236,66,90,157,134,266,402,47,151,192,1742,1953,3691,3097,3579,6681
318021475,59,5,35,36,21,5,23,92,106,195,31,19,50,0,0,0,11,7,17,11,36,52,9,6,14,66,74,135,12,10,23,0,0,0,7,5,11,9,37,41,11,5,13,36,46,88,752,762,1510,119,132,249,352,377,727,56,189,247,1397,1244,2641,2676,2699,5378
318021476,37,15,34,53,9,6,16,113,130,245,49,34,83,0,4,7,3,5,13,9,44,54,3,0,10,75,92,164,18,13,37,0,0,0,0,5,7,17,52,74,0,0,0,40,76,117,1029,1043,2070,121,132,253,326,383,708,82,224,304,1429,1310,2744,2980,3094,6070
318021477,17,13,38,48,8,11,15,88,107,190,36,25,59,6,0,7,4,19,23,4,29,36,0,0,5,47,79,127,22,11,33,4,0,4,0,4,4,11,54,60,0,0,5,36,76,106,557,554,1111,61,76,136,136,238,380,38,183,222,730,641,1374,1517,1701,3217
318021478,30,5,25,26,11,7,18,55,79,135,23,12,33,0,0,0,0,4,4,8,25,27,4,0,4,33,42,74,17,4,28,0,0,0,0,6,6,3,27,30,5,3,5,28,37,63,735,731,1465,85,102,191,209,320,527,38,127,158,1073,1140,2216,2143,2418,4557
318021479,36,5,24,28,9,3,13,56,65,126,14,15,32,0,0,0,12,10,27,4,20,29,5,3,10,48,56,101,18,3,23,0,0,0,0,10,6,7,60,66,0,8,12,30,79,108,665,666,1324,59,117,171,199,321,524,37,162,199,925,815,1739,1887,2077,3965
318021480,34,11,33,44,0,0,4,130,110,234,40,27,69,3,0,3,7,10,14,3,21,22,0,0,0,51,50,105,21,8,31,0,0,0,0,0,4,4,28,31,0,0,6,27,38,63,1670,1723,3393,162,218,379,303,435,744,78,198,274,1764,1609,3371,3983,4181,8161
318021481,50,17,51,65,6,11,19,127,183,316,61,37,98,0,5,9,8,12,19,9,62,70,4,0,9,85,118,199,31,18,44,0,0,0,3,7,13,21,111,129,3,4,9,59,138,192,1176,1197,2372,97,154,255,260,416,680,74,342,423,1313,1144,2459,2926,3256,6189
